station_id,state_name,city_name,temperature_f
KPHX,Arizona,Pheonix,90
PHNL,Hawaii,Honolulu,87
KIAH,Texas,Houston,83
KDFW,Texas,Dallas-Fort Worth,77
KMIA,Florida,Miami,76
KCRP,Texas,Corpus Christi,75
KMCI,Missouri,Kansas City,66
KSFO,California,San Francisco,65
KLAX,California,Los Angeles,61
KMSP,Minnesota,Minneapolis-Saint Paul,60
KPDX,Oregon,Portland,60
KINL,Minnesota,International Falls,57
KSEA,Washington,Seattle,56
KORD,Illinois,Chicago,54
KJFK,New York,New York,52
KGPI,Montana,Kalispell,45
PANC,Alaska,Anchorage,45
