Breed,CanonicalBreed,Variety,Group,SizeCategory,WeightRangeLbs,LifespanYears,OriginCountry,HistoricalPurpose
Affenpinscher,Affenpinscher,,Toy,Toy,7-10,12-15,Germany,Ratting/vermin control
Afghan Hound,Afghan Hound,,Hound,Large,50-60,12-18,Afghanistan,Sighthound - hunting gazelle and hare
Airedale Terrier,Airedale Terrier,,Terrier,Large,40-65,11-14,England,All-purpose working terrier - vermin and otter hunting
Beagle (15 Inch),Beagle,15 Inch,Hound,Small-Medium,20-30,12-15,England,Scent hound - hunting rabbits in packs
Bedlington Terrier,Bedlington Terrier,,Terrier,Medium,17-23,11-16,England,Vermin hunting
Bichon Frise,Bichon Frise,,Non-Sporting,Small,12-18,14-15,Mediterranean (France/Belgium),Companion lapdog
Bloodhound,Bloodhound,,Hound,Giant,80-110,10-12,Belgium/France,Scent tracking
Boxer,Boxer,,Working,Large,50-80,10-12,Germany,Guarding/working dog; descended from bull-baiting stock
Bull Terrier (Colored),Bull Terrier,Colored,Terrier,Medium-Large,50-70,12-13,England,Vermin hunting/ratting; descended from bull-baiting stock
Bull Terrier (White),Bull Terrier,White,Terrier,Medium-Large,50-70,12-13,England,Vermin hunting/ratting; descended from bull-baiting stock
Bulldog,Bulldog,,Non-Sporting,Medium,40-50,8-10,England,Bull-baiting (historical); now companion
Collie (Rough),Collie,Rough coat,Working,Large,50-75,12-14,Scotland,Herding sheep
Doberman Pinscher,Doberman Pinscher,,Working,Large,60-100,10-13,Germany,Guarding/personal protection
Fox Terrier (Smooth),Fox Terrier,Smooth coat,Terrier,Small,15-19,12-15,England,Fox hunting - bolting foxes from dens
Fox Terrier (Wire),Fox Terrier,Wire coat,Terrier,Small,15-19,12-15,England,Fox hunting - bolting foxes from dens
German Shepherd,German Shepherd Dog,,Herding,Large,50-90,9-13,Germany,Herding sheep; later military/police work
German Shepherd Dog,German Shepherd Dog,,Herding,Large,50-90,9-13,Germany,Herding sheep; later military/police work
Giant Schnauzer,Giant Schnauzer,,Working,Giant,55-85,10-12,Germany,Cattle droving/guarding
Kerry Blue Terrier,Kerry Blue Terrier,,Terrier,Medium,33-40,12-15,Ireland,Vermin hunting/general farm dog
