Year,Winner,Image,Breed,Group,Owner,Ref(s)
1907,Ch. Warren Remedy,,Fox Terrier (Smooth),Terrier,Winthrop Rutherfurd,[15]
1908,Ch. Warren Remedy,,Fox Terrier (Smooth),Terrier,Winthrop Rutherfurd,[16]
1909,Ch. Warren Remedy,,Fox Terrier (Smooth),Terrier,Winthrop Rutherfurd,[16]
1910,Ch. Sabine Rarebit,,Fox Terrier (Smooth),Terrier,F. H. Farwell,[19][20]
1911,Ch. Tickle Em Jock,,Scottish Terrier,Terrier,A. Albright Jr.,[21]
1912,Ch. Kenmare Sorceress,,Airedale Terrier,Terrier,William P. Wolcott,[22]
1913,Ch. Strathtay Prince Albert,,Bulldog,Non-Sporting,Alex H. Stewart,[17]
1914,Ch. Slumber,,Old English Sheepdog,Working[A],Mrs. Tyler Morse,[23]
1915,Ch. Matford Vic,,Fox Terrier (Wire),Terrier,George W. Quintard,[24]
1916,Ch. Matford Vic,,Fox Terrier (Wire),Terrier,George W. Quintard,[25]
1917,Ch. Conejo Wycollar Boy,,Fox Terrier (Wire),Terrier,Mr. Bowser Briones of North Florida,[26]
1918,Ch. Haymarket Faultless,,Bull Terrier (White),Terrier,R. H. Elliot,[27]
1919,Ch. Briergate Bright Beauty,,Airedale Terrier,Terrier,G. L. Davis,[28]
1920,Ch. Conejo Wycollar Boy,,Fox Terrier (Wire),Terrier,Mrs. Roy A. Rainey,[29]
1921,Ch. Midkiff Seductive,,Spaniel (Cocker) Parti[B],Sporting,William T. Payne,[30]
1922,Ch. Boxwood Barkentine,,Airedale Terrier,Terrier,Frederic C. Hood,[31]
1923,Not awarded,Not awarded,Not awarded,Not awarded,Not awarded,[3]
1924,Ch. Barberry Hill Bootlegger,,Sealyham Terrier,Terrier,Bayard Warren,[32]
1925,Ch. Governor Moscow,,Pointer,Sporting,Robert F. Maloney,[32]
1926,Ch. Signal Circuit of Halleston,,Fox Terrier (Wire),Terrier,Stanley Halle,[33][34]
1927,Ch. Pinegrade Perfection,,Sealyham Terrier,Terrier,Frederic C. Brown,[35]
1928,Ch. Talavera Margaret,,Fox Terrier (Wire),Terrier,Reginald M. Lewis,[36][37]
1929,Laund Loyalty of Bellhaven,,Collie (Rough),Working[A],Florence B. Ilch,[13]
1930,Ch. Pendley Calling of Blarney,,Fox Terrier (Wire),Terrier,John Grenville Bates,[10]
1931,Ch. Pendley Calling of Blarney,,Fox Terrier (Wire),Terrier,John Grenville Bates,[10]
1932,Ch. Nancolleth Markable,,Pointer,Sporting,Geraldine Rockefeller Dodge,[38]
1933,Ch. Warland Protector of Shelterock,,Airedale Terrier,Terrier,S. M. Stewart,[39]
1934,Ch. Flornell Spicy Bit of Halleston,,Fox Terrier (Wire),Terrier,Stanley Halle,[40]
1935,Ch. Nunsoe Duc de la Terrace of Blakeen,,Poodle (Standard),Non-Sporting,Mrs. Sherman Hoyt,[34]
1936,Ch. St. Margaret Mignificent of Clairedale,,Sealyham Terrier,Terrier,Claire Knapp,[41][42]
1937,Ch. Flornell Spicy Piece of Halleston,,Fox Terrier (Wire),Terrier,Stanley Halle,[34]
1938,Ch. Daro of Maridor,,Setter (English),Sporting,Dwight Ellis,[12]
1939,Ch. Ferry v. Rauhfelsen of Giralda,,Doberman Pinscher,Working,Geraldine Rockefeller Dodge,[43]
1940,Ch. My Own Brucie,,Spaniel (Cocker) Black[B],Sporting,Herman E. Mellenthin,[10][44]
1941,Ch. My Own Brucie,,Spaniel (Cocker) Black[B],Sporting,Herman E. Mellenthin,[10][44]
1942,Ch. Wolvey Pattern of Edgerstoune,,West Highland White Terrier,Terrier,Constance Winant,[45]
1943,Ch. Pitter Patter of Piperscroft,,Poodle (Miniature),Non-Sporting,Mrs. P. H. B. Frelinghuysen,[46]
1944,Ch. Flornell-Rare-Bit of Twin Ponds,,Welsh Terrier,Terrier,Mrs. Edward P. Alker,[47]
1945,Ch. Shieling's Signature,,Scottish Terrier,Terrier,Mr. & Mrs. T. H. Snethen,[21]
1946,Ch. Hetherington Model Rhythm,,Fox Terrier (Wire),Terrier,Mr. & Mrs. T. H. Carruthers,[48]
1947,Ch. Warlord of Mazelaine,,Boxer,Working,Mr. & Mrs. Richard C. Kettles Jr.,[48]
1948,Ch. Rock Ridge Night Rocket,,Bedlington Terrier,Terrier,Mr. & Mrs. William A. Rockefeller,[49]
1949,Ch. Mazelaine Zazarac Brandy,,Boxer,Working,Mr. & Mrs. John Phelps Wagner,[50]
1950,Ch. Walsing Winning Trick of Edgerstoune,,Scottish Terrier,Terrier,Constance Winant,[51]
1951,Ch. Bang Away of Sirrah Crest,,Boxer,Working,Dr. & Mrs. R. C. Harris,[50]
1952,Ch. Rancho Dobe's Storm,,Doberman Pinscher,Working,Mr. & Mrs. Len Carey,[52]
1953,Ch. Rancho Dobe's Storm,,Doberman Pinscher,Working,Mr. & Mrs. Len Carey,[53]
1954,Ch. Carmor's Rise and Shine,,Spaniel (Cocker) ASCOB[B],Sporting,Mrs. Carl E. Morgan,[54]
1955,Ch. Kippax Fearnought,,Bulldog,Non-Sporting,John A. Saylor,[55]
1956,Ch. Wilber White Swan,,Poodle (Toy),Toy,Bertha Smith,[10]
1957,Ch. Shirkhan of Grandeur,,Afghan Hound,Hound,"Sunny Shay, Dorothy Chenade",[56]
1958,Ch. Puttencove Promise,,Poodle (Standard),Non-Sporting,Mrs. George Puttnam,[57]
1959,Ch. Fontclair Festoon,,Poodle (Miniature),Non-Sporting,Clarence Dillon,[58]
1960,Ch. Chik T'Sun of Caversham,,Pekingese,Toy,Mr. & Mrs. C. C. Venable,[59]
1961,Ch. Cappoquin Little Sister,,Poodle (Toy),Toy,Florence Michelson,[10]
1962,Ch. Elfinbrook Simon,,West Highland White Terrier,Terrier,Barbara Worcester,[60]
1963,Ch. Wakefield's Black Knight,,Spaniel (English Springer),Sporting,Mrs. W. J. S. Borie,[61]
1964,Ch. Courtenay Fleetfoot of Pennyworth,,Whippet,Hound,Peggy Newcombe,[34][42]
1965,Ch. Carmichael's Fanfare,,Scottish Terrier,Terrier,Mr. & Mrs. Charles C. Stalter,[62]
1966,Ch. Zeloy Mooremaide's Magic,,Fox Terrier (Wire),Terrier,Marion G. Bunker,[63]
1967,Ch. Bardene Bingo,,Scottish Terrier,Terrier,E. H. Stuart,[64]
