observation_date,M12013USM144NNBR_20050801
1875-01-01,87
1875-02-01,86
1875-03-01,104
1875-04-01,86
1875-05-01,85
1875-06-01,98
1875-07-01,69
1875-08-01,76
1875-09-01,73
1875-10-01,77
1875-11-01,97
1875-12-01,72
1876-01-01,83
1876-02-01,80
1876-03-01,90
1876-04-01,73
1876-05-01,85
1876-06-01,69
1876-07-01,61
1876-08-01,73
1876-09-01,70
1876-10-01,79
1876-11-01,90
1876-12-01,77
1877-01-01,98
1877-02-01,87
1877-03-01,74
1877-04-01,83
1877-05-01,92
1877-06-01,72
1877-07-01,86
1877-08-01,69
1877-09-01,77
1877-10-01,102
1877-11-01,77
1877-12-01,78
1878-01-01,91
1878-02-01,72
1878-03-01,70
1878-04-01,95
1878-05-01,67
1878-06-01,71
1878-07-01,83
1878-08-01,62
1878-09-01,68
1878-10-01,100
1878-11-01,79
1878-12-01,73
1879-01-01,96
1879-02-01,92
1879-03-01,84
1879-04-01,93
1879-05-01,104
1879-06-01,88
1879-07-01,91
1879-08-01,97
1879-09-01,103
1879-10-01,148
1879-11-01,151
1879-12-01,136
1880-01-01,140
1880-02-01,133
1880-03-01,145
1880-04-01,146
1880-05-01,139
1880-06-01,128
1880-07-01,114
1880-08-01,106
1880-09-01,120
1880-10-01,139
1880-11-01,175
1880-12-01,179
1881-01-01,191
1881-02-01,193
1881-03-01,171
1881-04-01,161
1881-05-01,197
1881-06-01,185
1881-07-01,165
1881-08-01,155
1881-09-01,156
1881-10-01,184
1881-11-01,175
1881-12-01,182
1882-01-01,181
1882-02-01,165
1882-03-01,182
1882-04-01,170
1882-05-01,141
1882-06-01,149
1882-07-01,152
1882-08-01,156
1882-09-01,173
1882-10-01,182
1882-11-01,193
1882-12-01,168
1883-01-01,150
1883-02-01,147
1883-03-01,140
1883-04-01,142
1883-05-01,142
1883-06-01,140
1883-07-01,126
1883-08-01,132
1883-09-01,138
1883-10-01,165
1883-11-01,136
1883-12-01,137
1884-01-01,149
1884-02-01,139
1884-03-01,128
1884-04-01,135
1884-05-01,146
1884-06-01,113
1884-07-01,103
1884-08-01,96
1884-09-01,101
1884-10-01,113
1884-11-01,103
1884-12-01,113
1885-01-01,107
1885-02-01,100
1885-03-01,97
1885-04-01,97
1885-05-01,97
1885-06-01,100
1885-07-01,112
1885-08-01,97
1885-09-01,105
1885-10-01,145
1885-11-01,153
1885-12-01,147
1886-01-01,134
1886-02-01,137
1886-03-01,135
1886-04-01,120
1886-05-01,116
1886-06-01,134
1886-07-01,123
1886-08-01,118
1886-09-01,129
