played,album,artist,title,station,Count
11/23/23,Home For Christmas,Amy Grant,Rockin' Around The Christmas Tree,litefm,7
11/20/23,Merry Christmas,Mariah Carey,All I Want for Christmas Is You,957bigfm,6
11/20/23,The Andy Williams Christmas Album,Andy Williams,It's the Most Wonderful Time of the Year,kool108,6
11/20/23,Christmas With The Rat Pack,Dean Martin,Let It Snow! Let It Snow! Let It Snow!,957bigfm,6
11/20/23,The Andy Williams Christmas Album,Andy Williams,It's the Most Wonderful Time of the Year,litefm,6
11/21/23,The Andy Williams Christmas Album,Andy Williams,It's the Most Wonderful Time of the Year,litefm,6
11/21/23,Merry Christmas,Mariah Carey,All I Want for Christmas Is You,litefm,6
11/21/23,Merry Christmas,Johnny Mathis,Sleigh Ride,star1021,6
11/22/23,A Jolly Christmas From Frank Sinatra,Frank Sinatra,Jingle Bells,kool108,6
11/22/23,A Jolly Christmas From Frank Sinatra,Frank Sinatra,Jingle Bells,987theriver,6
11/22/23,Merry Christmas,Mariah Carey,All I Want for Christmas Is You,957bigfm,6
11/23/23,A Jolly Christmas From Frank Sinatra,Frank Sinatra,Jingle Bells,987theriver,6
11/23/23,A Jolly Christmas From Frank Sinatra,Frank Sinatra,Jingle Bells,magic107,6
11/23/23,Christmas With The Rat Pack,Dean Martin,Let It Snow! Let It Snow! Let It Snow!,kool108,6
11/23/23,A Jolly Christmas From Frank Sinatra,Frank Sinatra,Jingle Bells,star1021,6
11/24/23,The Andy Williams Christmas Album,Andy Williams,It's the Most Wonderful Time of the Year,magic107,6
11/24/23,The Andy Williams Christmas Album,Andy Williams,It's the Most Wonderful Time of the Year,star1021,6
11/24/23,Jingle Bell Rock,Brenda Lee,Jingle Bell Rock,987theriver,6
11/24/23,Jingle Bell Rock,Brenda Lee,Jingle Bell Rock,kg95,6
11/24/23,Merry Christmas,Mariah Carey,All I Want for Christmas Is You,957bigfm,6
11/24/23,Jingle Bell Rock,Brenda Lee,Jingle Bell Rock,star1021,6
11/24/23,Jingle Bell Rock,Brenda Lee,Jingle Bell Rock,kost1035,6
11/24/23,A Jolly Christmas From Frank Sinatra,Frank Sinatra,Jingle Bells,kg95,6
11/24/23,A Jolly Christmas From Frank Sinatra,Frank Sinatra,Jingle Bells,kost1035,6
11/25/23,The Andy Williams Christmas Album,Andy Williams,It's the Most Wonderful Time of the Year,987theriver,6
11/25/23,The Andy Williams Christmas Album,Andy Williams,It's the Most Wonderful Time of the Year,star1021,6
11/25/23,The Andy Williams Christmas Album,Andy Williams,It's the Most Wonderful Time of the Year,kg95,6
11/25/23,Rockin' Around The Christmas Tree/The Decca Christmas Recordings,Brenda Lee,Rockin' Around The Christmas Tree,957bigfm,6
11/26/23,The Christmas Collection,Amy Grant,Winter Wonderland,987theriver,6
11/26/23,Rockin' Around The Christmas Tree/The Decca Christmas Recordings,Brenda Lee,Rockin' Around The Christmas Tree,957bigfm,6
11/26/23,The Christmas Collection,Amy Grant,Winter Wonderland,star1021,6
11/26/23,The Andy Williams Christmas Album,Andy Williams,It's the Most Wonderful Time of the Year,kg95,6
11/27/23,Merry Christmas,Johnny Mathis,Sleigh Ride,kool108,6
11/27/23,Merry Christmas,Mariah Carey,All I Want for Christmas Is You,kool108,6
11/27/23,The Andy Williams Christmas Album,Andy Williams,It's the Most Wonderful Time of the Year,magic107,6
11/27/23,Merry Christmas,Mariah Carey,All I Want for Christmas Is You,kost1035,6
11/28/23,The Andy Williams Christmas Album,Andy Williams,It's the Most Wonderful Time of the Year,kool108,6
11/28/23,A Jolly Christmas From Frank Sinatra,Frank Sinatra,Jingle Bells,kg95,6
11/29/23,Merry Christmas,Mariah Carey,All I Want for Christmas Is You,987theriver,6
11/29/23,Rockin' Around The Christmas Tree/The Decca Christmas Recordings,Brenda Lee,Rockin' Around The Christmas Tree,957bigfm,6
11/29/23,Merry Christmas,Mariah Carey,All I Want for Christmas Is You,star1021,6
11/29/23,Merry Christmas,Mariah Carey,All I Want for Christmas Is You,kg95,6
11/30/23,The Andy Williams Christmas Album,Andy Williams,It's the Most Wonderful Time of the Year,magic107,6
11/30/23,The Andy Williams Christmas Album,Andy Williams,It's the Most Wonderful Time of the Year,kg95,6
11/30/23,Christmas With The Rat Pack,Dean Martin,Let It Snow! Let It Snow! Let It Snow!,957bigfm,6
11/30/23,Merry Christmas,Mariah Carey,All I Want for Christmas Is You,kost1035,6
12/1/23,A Jolly Christmas From Frank Sinatra,Frank Sinatra,Jingle Bells,magic107,6
12/1/23,A Jolly Christmas From Frank Sinatra,Frank Sinatra,Jingle Bells,star1021,6
12/1/23,The Christmas Collection,Amy Grant,Winter Wonderland,star1021,6
12/2/23,Merry Christmas,Mariah Carey,All I Want for Christmas Is You,987theriver,6
12/2/23,Merry Christmas,Mariah Carey,All I Want for Christmas Is You,star1021,6
12/2/23,Merry Christmas,Johnny Mathis,Sleigh Ride,star1021,6
12/2/23,Merry Christmas,Mariah Carey,All I Want for Christmas Is You,kool108,6
12/2/23,Merry Christmas,Johnny Mathis,Sleigh Ride,kg95,6
12/2/23,The Christmas Collection,Amy Grant,Winter Wonderland,kool108,6
12/2/23,The Christmas Collection,Amy Grant,Winter Wonderland,star1021,6
12/3/23,Jingle Bell Rock,Brenda Lee,Jingle Bell Rock,kool108,6
12/3/23,A Jolly Christmas From Frank Sinatra,Frank Sinatra,Jingle Bells,magic107,6
12/3/23,Merry Christmas,Mariah Carey,All I Want for Christmas Is You,kost1035,6
12/4/23,The Christmas Collection,Amy Grant,Winter Wonderland,magic107,6
12/4/23,Merry Christmas,Mariah Carey,All I Want for Christmas Is You,957bigfm,6
12/4/23,The Christmas Collection,Amy Grant,Winter Wonderland,star1021,6
12/5/23,A Jolly Christmas From Frank Sinatra,Frank Sinatra,Jingle Bells,957bigfm,6
12/5/23,Merry Christmas,Mariah Carey,All I Want for Christmas Is You,star1021,6
12/5/23,Christmas With The Rat Pack,Dean Martin,Let It Snow! Let It Snow! Let It Snow!,kg95,6
12/5/23,The Andy Williams Christmas Album,Andy Williams,It's the Most Wonderful Time of the Year,kool108,6
12/5/23,The Andy Williams Christmas Album,Andy Williams,It's the Most Wonderful Time of the Year,kg95,6
12/5/23,Merry Christmas,Mariah Carey,All I Want for Christmas Is You,kost1035,6
12/6/23,Merry Christmas,Johnny Mathis,Sleigh Ride,magic107,6
12/6/23,The Andy Williams Christmas Album,Andy Williams,It's the Most Wonderful Time of the Year,957bigfm,6
12/6/23,The Christmas Collection,Amy Grant,Winter Wonderland,kool108,6
12/6/23,Merry Christmas,Mariah Carey,All I Want for Christmas Is You,kost1035,6
12/7/23,The Andy Williams Christmas Album,Andy Williams,It's the Most Wonderful Time of the Year,star1021,6
12/8/23,The Christmas Collection,Amy Grant,Winter Wonderland,magic107,6
12/8/23,The Christmas Collection,Amy Grant,Winter Wonderland,kg95,6
12/9/23,Merry Christmas,Johnny Mathis,Sleigh Ride,987theriver,6
