domain_id,domain,email_count,sender_count,first_seen,last_seen
1,InsideApple.Apple.com,1,1,2015-04-06 10:30:52+00:00,2015-04-06 10:30:52+00:00
2,a.grubhub.com,5,1,2017-12-16 02:32:14+00:00,2018-05-03 00:02:11+00:00
3,academia-mail.com,1,1,2019-07-17 22:16:34+00:00,2019-07-17 22:16:34+00:00
4,airbnb.com,7,1,2017-06-10 14:35:19+00:00,2025-02-13 07:14:54+00:00
5,amazon.com,1,1,2021-11-25 16:00:59+00:00,2021-11-25 16:00:59+00:00
6,app.postmates.com,16,2,2017-09-02 17:47:58+00:00,2021-03-30 00:31:54+00:00
7,bumble.com,2,1,2019-04-17 00:45:55+00:00,2021-01-19 17:58:54+00:00
8,cafezupas.com,1,1,2020-12-07 15:37:34+00:00,2020-12-07 15:37:34+00:00
9,chess.com,1,1,2020-03-29 07:22:03+00:00,2020-03-29 07:22:03+00:00
10,chicago-fire.com,1,1,2020-06-15 20:01:39+00:00,2020-06-15 20:01:39+00:00
11,communication.microsoft.com,2,1,2020-09-06 04:24:24+00:00,2023-09-01 20:48:43+00:00
12,concepts.app,3,1,2022-06-12 13:19:52+00:00,2023-04-01 13:04:57+00:00
13,count.co,3,1,2026-06-03 10:57:55+00:00,2026-06-19 12:53:19+00:00
14,data.world,3,2,2020-08-11 21:41:17+00:00,2021-02-04 18:22:52+00:00
15,delighted.com,1,1,2019-07-05 17:29:32+00:00,2019-07-05 17:29:32+00:00
16,discover.offerup.com,1,1,2018-10-19 20:21:27+00:00,2018-10-19 20:21:27+00:00
17,do312.com,14,1,2018-04-02 17:49:10+00:00,2018-10-31 15:51:48+00:00
18,doordash.com,26,1,2019-08-09 17:47:31+00:00,2026-06-27 16:57:44+00:00
19,e-exclusive.dominos.com,1,1,2021-12-16 16:14:01+00:00,2021-12-16 16:14:01+00:00
20,e-offers.dominos.com,1,1,2024-11-20 16:30:21+00:00,2024-11-20 16:30:21+00:00
