email_id,body_text,body_length
1,"View Web Version:
https://t3.mail.adobe.com/r/?id=t812b8478-3af3-4f02-a6f7-f9867f8b7968,15b31c1a,48b50e&e=cDE9JTQweDRQMGlBNFNLSiUyQlVZSUhySVJZOGpUN29XbVBHbXhnWHpXUWxQV0pMeTFzb3gzWlJPWllFQ3M3dE9UUHlSVHc5V25iTE0wWTVrOUJDVzRKOE9ObDRtYWozT1pBNkpkVEJ2aFhpa2JOTUhFVSUzRA&s=lcuEzxSaKRj7_kLJ96sWUv4Ze5YfKGo-hWi9JjavE5U

Unfortunately, your email client cannot display HTML or your
settings are turned off. To view this email, please click or 
copy and paste the link above into your browser.

******************************************************************

This is a marketing email from Adobe, 345 Park Avenue, San Jose, CA 95110 USA. Click below to unsubscribe:  https://t3.mail.adobe.com/r/?id=t812b8478-3af3-4f02-a6f7-f9867f8b7968,15b31c1a,48b50f&e=cDE9JTQwQmd5RE95dXJtODRVUkxZWUxSNm1jaFlHbWlFM01LMHFDajRCaGx0UmxLTSUzRCZwMj0mcDM9MjM&s=ivA_DOkM3vKtv9f-bmdUqG5pbUCT9ZCO8U9JpUNaqrA  

To ensure future delivery of email, please add mail@mail.adobe.com
https://t3.mail.adobe.com/r/?id=t812b8478-3af3-4f02-a6f7-f9867f8b7968,15b31c1a,48b510
to your address book, contacts, or safe sender list.

Your privacy is important to us. Please review Adobe's 
Privacy Policy:
https://t3.mail.adobe.com/r/?id=t812b8478-3af3-4f02-a6f7-f9867f8b7968,15b31c1a,48b511




",1273
2,"DoorDash 
 Good on food, groceries, and more. 
 ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­ ͏ ‌     ­
 Restaurants 
 | 
 Grocery 
 | 
 Retail 
 Use those credits, Sample Good news — your $5.99* in credits are still here, waiting to be put to work. Think of it like found money: cover dinner, restock the fridge, or grab those can’t-miss essentials. 
 Order now 
 More than menus 
 Shop groceries → 
 Shop convenience → 
 Shop beauty → 
 Unlock more savings with DashPass Because saving on groceries and takeout just makes sense. 
 $0 delivery fees And reduced service fees on eligible orders. 1 
 Grocery savings and more Use your benefits on eligible orders at 100,000+ grocery, convenience, and retail stores nationwide. 
 Save on Lyft rides Get 5-10% off Lyft rides when you link your accounts. 2 
 Share DashPass for free Add a loved one to your DashPass for free with Family Sharing. 3 
 Join DashPass 
 Download the app 
 Sign up for DashPass 
 Refer and Earn Credit 
 Deliver with DoorDash 
 ©2026 DoorDash Inc. 303 2nd Street, South Tower, Suite 800 San Francisco, CA 94107 Privacy Policy 
 Help Center | Unsubscribe 
 *Terms and Conditions: Cre",2000
3,"FreePrints Photobooks 
 Your free photo book is waiting for you. 
  ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌
 ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ 
 FreePrints Photobooks 
 FreePrints 
 This email has been sent to sample.user@example.com because you have made a purchase from FreePrints Photobooks in the past or have asked us to keep you informed of special discounts. 
 If you would like to unsubscribe from these emails, please click here . 
 This email was sent from FreePrints, 23801 Calabasas Rd., Calabasas, CA 91302.    Patents 
 View In Browser",696
4,"View this post on the web at https://drstephenleebphd.substack.com/p/live-with-stephen-leeb-phd



Unsubscribe https://substack.com/redirect/2/eyJlIjoiaHR0cHM6Ly9kcnN0ZXBoZW5sZWVicGhkLnN1YnN0YWNrLmNvbS9hY3Rpb24vZGlzYWJsZV9lbWFpbD90b2tlbj1leUoxYzJWeVgybGtJam8wTWpBMk5ESTBNRFFzSW5CdmMzUmZhV1FpT2pJd01EYzVOamc1Tnl3aWFXRjBJam94Tnpnd05qZzJPREUxTENKbGVIQWlPakU0TVRJeU1qSTRNVFVzSW1semN5STZJbkIxWWkweE9EVTBNVFUwSWl3aWMzVmlJam9pWkdsellXSnNaVjlsYldGcGJDSjkubGMzb1BwLWlOSGFCTEtONmpoeW91N0JQVzhTSHlwd0dCVVI3OE1XWmZybyIsInAiOjIwMDc5Njg5NywicyI6MTg1NDE1NCwiZiI6dHJ1ZSwidSI6NDIwNjQyNDA0LCJpYXQiOjE3ODA2ODY4MTUsImV4cCI6MjA5NjI2MjgxNSwiaXNzIjoicHViLTAiLCJzdWIiOiJsaW5rLXJlZGlyZWN0In0.YkjbVmKbhkOz7V-eUqd6OcdQZCLZpe7EbQBBPDITxWY?",715
5,"Have you had your eyes on American Eagle Outfitters? Check out the newest listings! 
 New Listings From American Eagle Outfitters 
 Sample, items from American Eagle Outfitters were just listed on Poshmark! Check them out before they're gone. 
 Shop Now 
 American Eagle ... 
 $20  $40 
 American Eagle ... 
 $20  $35 
 American eagle ... 
 $7 
 American Eagle ... 
 $20 
 American Eagle ... 
 $18 
 American Eagle ... 
 $29 
 American Eagle ... 
 $15  $45 
 American Eagle ... 
 $15 
 American Eagle ... 
 $11  $25 
 American Eagle ... 
 $13 
 Y2K American Ea... 
 $40 
 American Eagle ... 
 $28 
 Shop Now 
 Privacy 
 Terms 
 Download 
 203 Redwood Shores Pkwy, 8th Floor Redwood City, CA 94065
 Copyright © 2026 Poshmark, Inc.
 Email
 Settings 
 Unsubscribe 
 Privacy 
 Terms 
 Download 
 203 Redwood Shores Pkwy, 8th Floor Redwood City, CA 94065
 Copyright © 2026 Poshmark, Inc.
 Email Settings 
 Unsubscribe",912
6,"SHEIN 
 PSA: Stock is limited, but there's still time to save! 
  ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ 
 PSA: Stock is limited, but there's still time to save! 
 View in Browser 
The Budget Finds You'll Actually Want
 You received this message because you've registered or accepted our invitation to receive emails from SHEIN, or you've made a purchase from ﻿S﻿H﻿E﻿I﻿N﻿.﻿c﻿o﻿m﻿.﻿ Please Note: To stop receiving emails, click  UNSUBSCRIBE. Do not directly reply to this email, as it was generated automatically and thus your unsubscription request will not be processed. Please contact  customer service  if you have any questions. 7﻿5﻿7﻿ S﻿ A﻿l﻿a﻿m﻿e﻿d﻿a﻿ S﻿t﻿, L﻿o﻿s﻿ A﻿n﻿g﻿e﻿l﻿e﻿s﻿, C﻿a﻿l﻿i﻿f﻿o﻿r﻿n﻿i﻿a﻿ 9﻿0﻿0﻿2﻿1﻿, U﻿S﻿ 
 Privacy POLICY 
 | 
 Conditions & Terms",995
7,"SHEIN 
 Snag frugal & fab drops at UNBEATABLE prices! 
  ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ 
Snag frugal & fab drops at UNBEATABLE prices!
 View in Browser 
Uncover Boujee Budget Finds Under a Fiver
 You received this message because you've registered or accepted our invitation to receive emails from SHEIN, or you've made a purchase from ﻿S﻿H﻿E﻿I﻿N﻿.﻿c﻿o﻿m﻿.﻿ Please Note: To stop receiving emails, click  UNSUBSCRIBE. Do not directly reply to this email, as it was generated automatically and thus your unsubscription request will not be processed. Please contact  customer service  if you have any questions. 7﻿5﻿7﻿ S﻿ A﻿l﻿a﻿m﻿e﻿d﻿a﻿ S﻿t﻿, L﻿o﻿s﻿ A﻿n﻿g﻿e﻿l﻿e﻿s﻿, C﻿a﻿l﻿i﻿f﻿o﻿r﻿n﻿i﻿a﻿ 9﻿0﻿0﻿2﻿1﻿, U﻿S﻿ 
 Privacy POLICY 
 | 
 Conditions & Terms",981
8,"SHEIN 
 Bestselling bags, viral shoes & can't-miss jewelry 
  ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ 
 Bestselling bags, viral shoes & can't-miss jewelry
 View in Browser 
It's All in the Details
 You received this message because you've registered or accepted our invitation to receive emails from SHEIN, or you've made a purchase from ﻿S﻿H﻿E﻿I﻿N﻿.﻿c﻿o﻿m﻿.﻿ Please Note: To stop receiving emails, click  UNSUBSCRIBE. Do not directly reply to this email, as it was generated automatically and thus your unsubscription request will not be processed. Please contact  customer service  if you have any questions. 7﻿5﻿7﻿ S﻿ A﻿l﻿a﻿m﻿e﻿d﻿a﻿ S﻿t﻿, L﻿o﻿s﻿ A﻿n﻿g﻿e﻿l﻿e﻿s﻿, C﻿a﻿l﻿i﻿f﻿o﻿r﻿n﻿i﻿a﻿ 9﻿0﻿0﻿2﻿1﻿, U﻿S﻿ 
 Privacy POLICY 
 | 
 Conditions & Terms",972
9,"Have you had your eyes on Patagonia? Check out the newest listings! 
 New Listings From Patagonia 
 Sample, items from Patagonia were just listed on Poshmark! Check them out before they're gone. 
 Shop Now 
 Patagonia Bivy ... 
 $80 
 Patagonia Capil... 
 $19 
 Women’s Patagon... 
 $45 
 Patagonia Black... 
 $30  $55 
 Patagonia Navy ... 
 $30 
 Patagonia Women... 
 $45 
 Patagonia Bette... 
 $40 
 Patagonia black... 
 $30  $59 
 Patagonia Dirt ... 
 $25 
 Patagonia Capil... 
 $30 
 Patagonia Biker... 
 $21 
 Patagonia Organ... 
 $10  $80 
 Shop Now 
 Privacy 
 Terms 
 Download 
 203 Redwood Shores Pkwy, 8th Floor Redwood City, CA 94065
 Copyright © 2026 Poshmark, Inc.
 Email
 Settings 
 Unsubscribe 
 Privacy 
 Terms 
 Download 
 203 Redwood Shores Pkwy, 8th Floor Redwood City, CA 94065
 Copyright © 2026 Poshmark, Inc.
 Email Settings 
 Unsubscribe",860
10,"Hello friends, 
 We just added two new ways to keep Whisper Memos organized and connected: Labels and Webhooks. 
 Labels help you group related memos inside the app. Webhooks let you send memos to your own tools, scripts, and internal workflows. 
 Open Whisper Memos 
 Labels 
 You can now create labels like Journal, Ideas, Meetings, Clients, or Workouts, and use them to keep related recordings together. 
 Create them in Settings → Labels . Each label can have its own name, color, and icon, so it is easy to spot in the memo list. 
 Assign labels manually 
 Sometimes you record first and decide where the memo belongs later. For that, long-press any finished memo and choose Assign to Label . 
 Each memo can have one label. You can also clear the label later from the same menu. 
 Labels with agents 
 Labels also work with agents. Add an Assign label step to an agent, and Whisper Memos will apply that label whenever the agent runs. 
 For example, a meeting agent can summarize the memo, send it to email, and label it as Meetings in one workflow. 
 Webhooks 
 Webhooks are for custom workflows. Open Settings → Integrations → Webhooks , add a URL, and Whisper Memos can send new memo data to your endpoint as an HTTP POST request. 
 You can send JSON or plain text. For JSON, you can choose which fields to include and rename the keys, so it can fit the tool on the other side. 
 Getting started 
 Update Whisper Memos and open Settings → Labels or Settings → Integrations → Webhooks . 
 Open Whisper Memos 
 As always, thank you for using the app. If you have a moment, please leave a rating on the App Store . It really helps other people find Whisper Memos. 
 —Vojtech 
 Unsubscribe",1694
