email_id,label
1,Archived
1,Spam
1,Category Promotions
1,Unread
1,Personal
2,Archived
2,Spam
2,Category Promotions
2,Unread
2,Personal
3,Archived
3,Spam
3,Category Promotions
3,Unread
3,Personal
4,Archived
4,Spam
4,Category Updates
4,Unread
4,Personal
5,Archived
5,Spam
5,Category Promotions
5,Unread
5,Personal
6,Archived
6,Spam
6,Category Promotions
6,Unread
6,Personal
7,Archived
7,Spam
7,Category Promotions
7,Unread
7,Personal
8,Archived
8,Spam
8,Category Promotions
8,Unread
8,Personal
9,Archived
9,Spam
9,Category Promotions
9,Unread
9,Personal
10,Spam
10,Category Updates
10,Unread
11,Archived
11,Spam
11,Category Promotions
11,Unread
11,Personal
12,Archived
12,Spam
12,Category Promotions
12,Unread
12,Personal
13,Archived
13,Spam
13,Category Promotions
13,Unread
13,Personal
14,Archived
14,Spam
14,Category Promotions
14,Unread
14,Personal
15,Archived
15,Spam
15,Category Promotions
15,Unread
15,Personal
16,Archived
16,Spam
16,Category Promotions
16,Unread
16,Personal
17,Archived
17,Spam
17,Category Promotions
17,Unread
17,Personal
18,Archived
18,Spam
18,Category Promotions
18,Unread
18,Personal
19,Archived
19,Spam
19,Category Promotions
19,Unread
19,Personal
20,Archived
20,Spam
20,Category Promotions
20,Unread
20,Personal
21,Archived
21,Spam
21,Category Promotions
21,Unread
21,Personal
22,Spam
22,Category Promotions
22,Unread
23,Archived
23,Spam
23,Category Promotions
23,Unread
23,Personal
24,Spam
24,Category Promotions
24,Unread
25,Spam
25,Category Updates
25,Unread
26,Archived
26,Spam
26,Category Promotions
26,Unread
26,Personal
27,Archived
27,Spam
27,Category Promotions
27,Unread
27,Personal
28,Spam
28,Category Updates
28,Unread
29,Archived
29,Spam
29,Category Promotions
29,Unread
29,Personal
30,Archived
30,Spam
30,Category Promotions
30,Unread
30,Personal
31,Archived
31,Spam
31,Category Updates
31,Unread
31,Personal
32,Spam
32,Category Updates
32,Unread
33,Archived
33,Spam
33,Category Promotions
33,Unread
33,Personal
34,Archived
34,Spam
34,Category Promotions
34,Unread
34,Personal
35,Archived
35,Spam
35,Category Promotions
35,Unread
35,Personal
36,Archived
36,Spam
36,Category Promotions
36,Unread
36,Personal
37,Archived
37,Spam
37,Category Promotions
37,Unread
37,Personal
38,Archived
38,Spam
38,Category Promotions
38,Unread
38,Personal
39,Spam
39,Category Promotions
39,Unread
40,Archived
40,Spam
40,Category Updates
40,Unread
40,Personal
41,Archived
41,Spam
41,Category Updates
41,Unread
41,Personal
42,Archived
42,Spam
42,Category Updates
42,Unread
42,Personal
43,Archived
43,Spam
43,Category Promotions
43,Unread
43,Personal
44,Archived
44,Spam
44,Category Promotions
44,Unread
44,Personal
45,Archived
45,Spam
45,Category Updates
45,Unread
45,Personal
46,Spam
46,Category Updates
46,Unread
47,Spam
47,Category Promotions
47,Unread
48,Archived
48,Spam
48,Category Promotions
48,Unread
48,Personal
49,Archived
49,Spam
49,Category Promotions
49,Unread
49,Personal
50,Archived
50,Spam
50,Category Promotions
50,Unread
50,Personal
51,Archived
51,Spam
51,Category Promotions
51,Unread
51,Personal
52,Archived
52,Spam
52,Category Promotions
52,Unread
52,Personal
53,Spam
53,Category Promotions
53,Unread
54,Archived
54,Spam
54,Category Promotions
54,Unread
54,Personal
55,Archived
55,Spam
55,Category Promotions
55,Unread
55,Personal
56,Archived
56,Spam
56,Category Promotions
56,Unread
56,Personal
57,Archived
57,Spam
57,Category Promotions
57,Unread
57,Personal
58,Archived
58,Spam
58,Category Promotions
58,Unread
58,Personal
59,Archived
59,Spam
59,Category Promotions
59,Unread
59,Personal
60,Archived
60,Spam
60,Category Promotions
60,Unread
60,Personal
61,Archived
61,Spam
61,Category Promotions
61,Unread
61,Personal
62,Archived
62,Spam
62,Category Promotions
62,Unread
62,Personal
63,Archived
63,Spam
63,Category Promotions
