City,Attribute,Value
Battle Lake,1980,708
Battle Lake,1990,698
Battle Lake,2000,686
Battle Lake,2010,875
Battle Lake,2020,857
Big Lake,1970,1015
Big Lake,1980,2210
Big Lake,1990,3113
Big Lake,2000,6063
Big Lake,2010,10060
Big Lake,2020,11686
Bingham Lake,1980,222
Bingham Lake,1990,155
Bingham Lake,2000,167
Bingham Lake,2010,126
Bingham Lake,2020,137
Buffalo Lake,1980,782
Buffalo Lake,1990,734
Buffalo Lake,2000,768
Buffalo Lake,2010,733
Buffalo Lake,2020,660
Cass Lake,1970,1317
Cass Lake,1980,1001
Cass Lake,1990,923
Cass Lake,2000,860
Cass Lake,2010,770
Cass Lake,2020,675
Clear Lake,1980,266
Clear Lake,1990,315
Clear Lake,2000,266
Clear Lake,2010,545
Clear Lake,2020,641
Detroit Lakes,1970,5797
Detroit Lakes,1980,7106
Detroit Lakes,1990,6635
Detroit Lakes,2000,7348
Detroit Lakes,2010,8569
Detroit Lakes,2020,9869
Eagle Lake,1980,1470
Eagle Lake,1990,1703
Eagle Lake,2000,1787
Eagle Lake,2010,2422
Eagle Lake,2020,3278
East Gull Lake,1980,586
East Gull Lake,1990,687
East Gull Lake,2000,978
East Gull Lake,2010,1004
East Gull Lake,2020,986
Elbow Lake,1970,1484
Elbow Lake,1980,1358
Elbow Lake,1990,1186
Elbow Lake,2000,1275
Elbow Lake,2010,1176
Elbow Lake,2020,1276
Fifty Lakes,1980,263
Fifty Lakes,1990,299
Fifty Lakes,2000,392
Fifty Lakes,2010,387
Fifty Lakes,2020,443
Forest Lake,1970,3207
Forest Lake,1980,4596
Forest Lake,1990,5833
Forest Lake,2000,6798
Forest Lake,2010,18375
Forest Lake,2020,20611
Gem Lake,1980,394
Gem Lake,1990,439
Gem Lake,2000,419
Gem Lake,2010,393
Gem Lake,2020,528
Heron Lake,1980,783
Heron Lake,1990,730
Heron Lake,2000,768
Heron Lake,2010,698
Heron Lake,2020,602
Howard Lake,1970,1162
Howard Lake,1980,1240
Howard Lake,1990,1343
Howard Lake,2000,1853
Howard Lake,2010,1962
Howard Lake,2020,2071
Hoyt Lakes,1970,3634
Hoyt Lakes,1980,3186
Hoyt Lakes,1990,2348
Hoyt Lakes,2000,2082
Hoyt Lakes,2010,2017
Hoyt Lakes,2020,2020
Lake Benton,1980,869
Lake Benton,1990,693
