City,Lat,Lon,Distance_To_Metro
Battle Lake,46.285,-95.718611,160
Big Lake,45.3325,-93.746111,45
Bingham Lake,43.909444,-95.045833,117
Buffalo Lake,44.736667,-94.618333,75
Cass Lake,47.377222,-94.6,188
Clear Lake,45.445,-93.998889,59
Crosslake,46.676389,-94.106944,134
Detroit Lakes,46.817222,-95.845278,189
Eagle Lake,44.163611,-93.882222,62
East Gull Lake,46.385833,-94.377778,122
Elbow Lake,45.994167,-95.976667,160
Fifty Lakes,46.761667,-94.089722,139
Forest Lake,45.253611,-92.958333,28
Gem Lake,45.058056,-93.040556,13
Ham Lake,45.254444,-93.215833,27
Heron Lake,43.798056,-95.319722,132
Howard Lake,45.066667,-94.066667,49
Hoyt Lakes,47.519722,-92.138611,189
Lake Benton,44.264167,-96.289167,163
Lake Bronson,48.735556,-96.662778,316
Lake City,44.445556,-92.270556,50
Lake Crystal,44.105278,-94.218889,76
Lake Elmo,44.998889,-92.909444,13
Lake Henry,45.461944,-94.796389,92
Lake Lillian,44.946111,-94.879722,87
Lake Park,46.886389,-96.094444,201
Lake Shore,46.503889,-94.363611,129
Lake St. Croix Beach,44.921944,-92.77,16
Lake Wilson,43.996389,-95.953611,153
Lakefield,43.678056,-95.169444,131
Lakeland,44.956389,-92.765833,17
Lakeland Shores,44.949167,-92.763333,17
Lakeville,44.649722,-93.2425,17
Lino Lakes,45.1675,-93.0975,21
Long Lake,44.986667,-93.571667,25
Madison Lake,44.2075,-93.8175,58
Maple Lake,45.229167,-94.001944,51
Medicine Lake,45.001944,-93.421389,18
Minnesota Lake,43.840833,-93.827778,80
Moose Lake,46.454167,-92.761944,111
Mountain Lake,43.940556,-94.927778,111
Pequot Lakes,46.603889,-94.297222,133
Prior Lake,44.724722,-93.441667,20
Red Lake Falls,47.882222,-96.274167,258
Rice Lake,46.879167,-92.12,147
Round Lake,43.537222,-95.47,149
Silver Lake,44.904167,-94.198611,54
Spring Lake Park,45.116111,-93.247778,19
Squaw Lake,47.6325,-94.136389,197
Sturgeon Lake,46.386389,-92.824167,106
Sunfish Lake,44.867222,-93.096944,0
Twin Lakes,43.560833,-93.423611,92
White Bear Lake,45.063889,-93.008333,14
Wolf Lake,46.803056,-95.3525,172
Wood Lake,44.651389,-95.535833,121
