Abbrev,Full Name
ATL,Atlanta United
CHI,Chicago Fire
CLB,Columbus Crew
COL,Colorado Rapids
DAL,FC Dallas
DC,DC United
HOU,Houston Dynamo
KC,Sporting Kansas City
LA,LA Galaxy
LAFC,LAFC
MNUFC,Minnesota United
MTL,Montreal Impact
NE,New England Revolution
NYCFC,New York City FC
NYRB,New York Red Bulls
ORL,Orlando City SC
PHI,Philadelphia Union
POOL,
POR,Portland Timbers
RSL,Real Salt Lake
SEA,Seattle Sounders FC
SJ,San Jose Earthquakes
TOR,Toronto FC
VAN,Vancouver Whitecaps
NY,New York Red Bulls
CHV,Chivas USA
