Club,Last Name,First Name,Playing Position,2021 Base Salary,2021 Guaranteed Comp.,Austin FC,Pereira,Danny,M,"$81,375.00","$99,793.00",Colorado Rapids,Anderson,Sebastian,D,"$90,000.00","$91,667.00",Columbus Crew,Molino,Kevin,"$667,000.00","$667,000.00.1",FC Cincinnati,Blackett,Tyler,"$398,400.00","$398,400.00.1",FC Dallas,Ricaurte,Andres,"$450,000.00","$487,178.00",Inter Miami,De Magalhaes Silva,Gregore,"$550,000.00","$651,000.00",LA Galaxy,Neal,Jalen,"$103,625.00",Major League Soccer,Ruiz,Sergio,"$300,000.00","$363,000.00",Montreal,Maciel,Emanuel,"$118,182.00","$129,811.00",Nashville SC,Saunders,Tor,GK,"$63,547.00","$63,547.00.1",New York City FC,Mizell,Cody,"$81,375.00.1",Orlando City SC,Cunha,Antonio Carlos,"$840,000.00","$865,000.00",Philadelphia Union,Miscic,Selmir,"$70,026.00",Real Salt Lake,Farnsworth,Zackery,"$96,125.00",San Jose Earthquakes,Salinas,Shea,F,"$280,000.00","$280,000.00.1",Sporting Kansas City,Isimat-Mirin,Nicolas,"$950,000.00","$1,028,124.00",Toronto FC,Westberg,Quentin,"$275,000.00","$288,583.00"
Atlanta United,Adams,"Mohammed ""Mo""",M,"$121,000.00","$141,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlanta United,Ambrose,Mikey,D,"$81,375.00","$81,375.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlanta United,Araujo,Luiz,F-M,"$3,600,000.00","$3,941,667.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlanta United,Barco,Ezequiel,M,"$1,875,000.00","$2,358,333.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlanta United,Bauer,Josh,D,"$63,547.00","$63,547.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlanta United,Bello,George,D,"$135,000.00","$139,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlanta United,Campbell,George,D,"$80,000.00","$80,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlanta United,Chol,Machop,M,"$63,547.00","$63,547.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlanta United,Conway,Jackson,F,"$63,547.00","$63,547.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlanta United,Damm,Jurgen,M,"$1,290,000.00","$1,582,509.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlanta United,De John,Alex,D,"$81,375.00","$81,375.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlanta United,Escobar,Franco,D,"$450,000.00","$450,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlanta United,Franco,Alan,D,"$378,000.00","$505,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlanta United,Guzan,Brad,GK,"$805,000.00","$805,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlanta United,Hernandez,Ronald,D,"$250,000.00","$250,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlanta United,Hyndman,Emerson,M,"$900,000.00","$900,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlanta United,Ibarra,Franco,D-M,"$300,000.00","$370,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlanta United,Kann,Alec,GK,"$115,000.00","$115,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlanta United,Lennon,Brooks,D,"$375,000.00","$375,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlanta United,Lopez Samaniego,Erik,F,"$340,000.00","$508,300.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlanta United,Lundgaard,Ben,GK,"$81,375.00","$81,375.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlanta United,Martinez,Josef,F,"$3,500,000.00","$3,891,667.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
