Team,First Name,Last Name,2023 Base Salary,2023 Guaranteed Comp,Position
Atlanta United,Luis,Abram,"$556,364","$695,977",D
Atlanta United,Thiago,Almada,"$1,650,000","$2,332,000",M-F
Atlanta United,Osvaldo,Alonso,"$88,200","$88,200",D-M
Atlanta United,Esequiel,Barco,"$2,200,000","$2,200,000",M
Atlanta United,Miguel,Berry,"$135,000","$135,000",F
Atlanta United,Erik,Centeno,"$67,360","$79,136",D
Atlanta United,Machop,Chol,"$89,716","$89,716",M
Atlanta United,Noah,Cobb,"$67,360","$67,360",D
Atlanta United,Jackson,Conway,"$89,716","$89,716",F
Atlanta United,Clément,Diop,"$85,444","$85,444",GK
Atlanta United,Derrick,Etienne Jr.,"$676,250","$676,250",M
Atlanta United,Ajani,Fortune,"$67,360","$67,360",M
Atlanta United,Justin,Garces,"$68,775","$68,775",GK
Atlanta United,Georgios,Giakoumakis,"$1,576,636","$2,160,453",F
Atlanta United,Brad,Guzan,"$600,000","$612,500",GK
Atlanta United,Ronald,Hernández,"$375,000","$375,000",D
Atlanta United,Franco,Ibarra,"$550,000","$620,000",D-M
Atlanta United,Brooks,Lennon,"$700,000","$700,000",D
Atlanta United,Saba,Lobjanidze,"$2,052,000","$2,150,750",M
Atlanta United,Aiden,McFadden,"$85,444","$85,444",D
Atlanta United,Efraín,Morales,"$85,444","$85,444",D
Atlanta United,Edwin,Mosquera,"$375,000","$412,000",M
Atlanta United,Tristan,Muyumba,"$450,000","$491,600",D-M
Atlanta United,Juan José,Purata,"$400,000","$483,500",D
Atlanta United,Miles,Robinson,"$1,400,000","$1,437,500",D
Atlanta United,Matheus,Rossetto,"$650,000","$764,375",M
Atlanta United,Amar,Sejdic,"$85,444","$92,111",D-M
Atlanta United,Xande,Silva,"$480,000","$524,250",M
Atlanta United,Santiago,Sosa,"$575,000","$693,100",D-M
Atlanta United,Jamal,Thiaré,"$977,679","$1,072,679",F
Atlanta United,Quentin,Westberg,"$200,000","$200,000",GK
Atlanta United,Caleb,Wiley,"$85,444","$87,044",D
Atlanta United,Tyler,Wolff,"$120,000","$124,500",M
Austin FC,Charlie,Asensio,"$68,775","$68,775",D
Austin FC,Matt,Bersano,"$125,000","$132,500",GK
Austin FC,Will,Bruin,"$200,000","$200,000",F
Austin FC,Julio,Cascante,"$620,000","$693,750",D
Austin FC,Sofiane,Djeffal,"$75,325","$75,325",M
Austin FC,Moussa,Djitté,"$600,000","$600,000",F
Austin FC,Sebastián,Driussi,"$3,800,000","$6,022,500",M-F
Austin FC,Ethan,Finlay,"$425,000","$425,000",M
Austin FC,CJ,Fodrey,"$67,360","$69,360",M
Austin FC,Jon,Gallagher,"$300,000","$300,000",D
Austin FC,Matt,Hedges,"$776,250","$908,859",D
Austin FC,Héctor,Jiménez,"$85,444","$85,444",D
Austin FC,Kipp,Keller,"$100,000","$112,500",D
Austin FC,Zan,Kolmanic,"$325,000","$325,000",D
Austin FC,Damian,Las,"$67,360","$67,360",GK
Austin FC,Nick,Lima,"$375,000","$375,000",D
Austin FC,Adam,Lundqvist,"$350,000","$397,500",D
Austin FC,Alfonso,Ocampo-Chávez,"$67,360","$83,360",F
Austin FC,Daniel,Pereira,"$100,000","$118,414",M
Austin FC,Rodney,Redes,"$440,000","$440,000",M
Austin FC,Emiliano,Rigoni,"$1,599,996","$2,047,996",M
Austin FC,Alexander,Ring,"$1,500,000","$1,640,000",M
Austin FC,Memo,Rodríguez,"$180,000","$210,167",M
Austin FC,Jhohan,Romaña,"$460,000","$460,000",D
Austin FC,Brad,Stuver,"$408,000","$430,813",GK
Austin FC,Maximiliano,Urruti,"$700,000","$736,250",F
Austin FC,Leo,Väisänen,"$600,000","$654,500",D
Austin FC,Jhojan,Valencia,"$400,000","$445,125",D-M
Austin FC,Owen,Wolff,"$100,000","$113,053",M
Austin FC,Gyasi,Zardes,"$800,000","$800,000",F
CF Montreal,Fernando,Álvarez,"$85,444","$117,444",D
CF Montreal,Jean-Aniel,Assi,"$85,444","$94,749",M
CF Montreal,Zachary,Brault-Guillard,"$275,000","$319,375",D
CF Montreal,George,Campbell,"$325,000","$365,625",D
CF Montreal,Mathieu,Choinière,"$250,000","$276,667",M
CF Montreal,Gabriele,Corbo,"$216,350","$216,350",D
CF Montreal,Bryce,Duke,"$150,000","$231,875",M
CF Montreal,Ahmed,Hamdi,"$500,000","$597,500",M-F
CF Montreal,Aarón,Herrera,"$725,000","$820,220",D
CF Montreal,Sunusi,Ibrahim,"$200,000","$291,250",F
CF Montreal,Ilias,Iliadis,"$85,444","$92,319",D-M
CF Montreal,Ousman,Jabang,"$67,360","$67,360",D-M
CF Montreal,Logan,Ketterer,"$88,200","$88,200",GK
CF Montreal,Jojea,Kwizera,"$68,775","$68,775",M
CF Montreal,Lassi,Lappalainen,"$630,000","$660,000",M
CF Montreal,Ariel,Lassiter,"$220,000","$240,280",M
CF Montreal,Matko,Miljevic,"$545,455","$593,364",M
CF Montreal,Chinonso,Offor,"$200,000","$257,875",F
CF Montreal,Kwadwo,Opoku,"$310,344","$512,100",M
CF Montreal,James,Pantemis,"$144,996","$163,996",GK
CF Montreal,Samuel,Piette,"$397,375","$469,563",D-M
CF Montreal,Romell,Quioto,"$950,000","$1,035,000",F
CF Montreal,Sean,Rea,"$85,444","$92,340",M-F
CF Montreal,Nathan-Dylan,Saliba,"$67,360","$79,169",M
CF Montreal,Jonathan,Sirois,"$85,444","$89,780",GK
CF Montreal,Róbert Orri,Thorkelsson,"$175,000","$198,500",D
CF Montreal,Mason,Toye,"$550,000","$608,000",F
CF Montreal,Jules-Anthony,Vilsaint,"$85,444","$92,319",F
CF Montreal,Victor,Wanyama,"$1,440,000","$1,800,000",D-M
CF Montreal,Joel,Waterman,"$161,369","$288,202",D
CF Montreal,Rida,Zouhir,"$85,444","$92,340",M
Charlotte FC,Harrison,Afful,"$85,444","$85,444",D
Charlotte FC,Patrick,Agyemang,"$67,360","$67,360",F
Charlotte FC,Scott,Arfield,"$400,000","$437,500",M
Charlotte FC,Ben,Bender,"$85,444","$105,444",M
Charlotte FC,Nimfasha,Berchimas,"$67,360","$82,294",M
Charlotte FC,Brandt,Bronico,"$310,000","$348,375",M
Charlotte FC,Nathan,Byrne,"$560,000","$607,833",D
Charlotte FC,Brandon,Cambridge,"$67,360","$75,386",M
Charlotte FC,Enzo,Copetti,"$1,000,000","$1,142,250",F
Charlotte FC,Guzmán,Corujo,"$625,000","$658,500",D
Charlotte FC,Brecht,Dejaegere,"$820,000","$999,375",M
Charlotte FC,Hamady,Diop,"$67,360","$74,860",D
Charlotte FC,McKinze,Gaines,"$100,000","$102,750",M
Charlotte FC,Chris,Hegardt,"$85,444","$92,956",D-M
Charlotte FC,Derrick,Jones,"$325,000","$347,969",M
Charlotte FC,Kamil,Józwiak,"$1,100,000","$1,217,000",M
Charlotte FC,Kristijan,Kahlina,"$500,000","$526,875",GK
