,Date,Phase (degrees), Distance (M) ,Declination (degrees),Azimuth (degrees),Altitude (degrees)
0,9:57:40 PM,45," 404,804,068 ",26.3275715,325.1346814,-10.3668082
1,9:57:40 PM,36," 402,481,123 ",24.24704657,314.6150699,-6.629488338
2,9:57:40 PM,27," 398,993,622 ",21.02130747,304.0225666,-1.771883728
3,9:57:40 PM,19," 394,571,698 ",16.78031272,293.2050496,1.19085074
4,9:57:40 PM,12," 389,527,615 ",11.68204524,282.0211339,4.683918342
5,9:57:40 PM,6," 384,232,222 ",5.911009793,270.3490783,8.130576089
6,9:57:40 PM,2," 379,080,753 ",-0.314914986,258.1007733,11.29250545
7,9:57:40 PM,0," 374,450,502 ",-6.732567878,245.2403193,13.99229054
8,9:57:40 PM,1," 370,655,579 ",-13.02174668,231.8027144,16.06383826
9,9:57:40 PM,4," 367,908,874 ",-18.80061208,217.9035527,17.36343372
10,9:57:40 PM,10," 366,300,740 ",-23.63856459,203.7276453,17.80102345
11,9:57:40 PM,18," 365,801,536 ",-27.10052407,189.4935037,17.35652328
12,9:57:40 PM,28," 366,287,922 ",-28.8306227,175.4045173,16.08440566
13,9:57:40 PM,39," 367,584,280 ",-28.6530988,161.6083958,14.09781185
14,9:57:40 PM,50," 369,507,116 ",-26.62946623,148.1801756,11.54842324
15,9:57:40 PM,61," 371,900,142 ",-23.02514744,135.1291047,8.599717878
16,9:57:40 PM,72," 374,652,664 ",-18.21297983,122.4188194,5.420602483
17,9:57:40 PM,81," 377,699,859 ",-12.58218792,109.9897533,2.207351083
18,9:57:40 PM,89," 381,007,351 ",-6.490107451,97.77740925,-0.673143425
19,9:57:40 PM,95," 384,547,168 ",-0.251034636,85.72457739,-3.312680384
20,9:57:40 PM,98," 388,272,184 ",5.857159174,73.78787924,-7.59018945
21,9:57:40 PM,100," 392,095,634 ",11.58280722,61.93970033,-10.30539626
22,9:57:40 PM,99," 395,880,839 ",16.69345734,50.16643836,-12.64108617
23,9:57:40 PM,97," 399,442,426 ",20.97504847,38.46420011,-14.57363441
24,9:57:40 PM,93," 402,558,692 ",24.23870104,26.83312048,-16.07548885
25,9:57:40 PM,87," 404,991,531 ",26.3348278,15.2714885,-17.13232061
26,9:57:40 PM,80," 406,510,810 ",27.17052605,3.771021723,-17.73856991
27,9:57:40 PM,72," 406,919,487 ",26.72197248,352.3140259,-17.89259921
28,9:57:40 PM,63," 406,077,541 ",25.03366024,340.8726667,-17.59243289
29,9:57:40 PM,53," 403,922,553 ",22.20340245,329.4101886,-16.83295683
30,9:57:40 PM,44," 400,486,325 ",18.3609583,317.8833154,-15.60528497
31,9:57:40 PM,34," 395,906,057 ",13.65115877,306.2454381,-13.89890051
32,9:57:40 PM,25," 390,428,182 ",8.228554168,294.4494008,-11.70698523
33,9:57:40 PM,16," 384,402,060 ",2.264961721,282.4498786,-9.035101457
34,9:57:40 PM,9," 378,259,531 ",-4.032413843,270.2049886,-5.720971578
35,9:57:40 PM,4," 372,478,275 ",-10.396772,257.6773288,-1.39750313
36,9:57:40 PM,1," 367,528,131 ",-16.47894486,244.8357809,1.694704618
37,9:57:40 PM,0," 363,807,504 ",-21.83971364,231.6592805,5.409430001
38,9:57:40 PM,3," 361,582,993 ",-25.97948555,218.1441119,9.14039053
39,9:57:40 PM,8," 360,949,861 ",-28.42822858,204.3144405,12.57270232
40,9:57:40 PM,15," 361,827,509 ",-28.88607001,190.233705,15.46208835
41,9:57:40 PM,25," 363,991,693 ",-27.33747817,176.0109425,17.61011454
42,9:57:40 PM,35," 367,132,794 ",-24.0446698,161.7955157,18.8850701
43,9:57:40 PM,46," 370,920,054 ",-19.42634683,147.7573186,19.22590849
44,9:57:40 PM,58," 375,054,967 ",-13.9229824,134.0575027,18.64050151
45,9:57:40 PM,68," 379,303,430 ",-7.92173341,120.8205414,17.19242286
46,9:57:40 PM,77," 383,505,394 ",-1.741015538,108.1176122,14.98300522
47,9:57:40 PM,85," 387,565,593 ",4.354656703,95.96421942,12.13605345
48,9:57:40 PM,92," 391,432,756 ",10.13278815,84.32831597,8.789053283
49,9:57:40 PM,96," 395,073,480 ",15.37550423,73.14243319,5.093903436
50,9:57:40 PM,99," 398,447,883 ",19.87159292,62.31521047,1.286615222
51,9:57:40 PM,100," 401,491,038 ",23.42044361,51.73988514,-1.954708789
52,9:57:40 PM,99," 404,103,119 ",25.84835415,41.29987268,-7.351931961
53,9:57:40 PM,96," 406,149,712 ",27.03324583,30.87216822,-11.4502222
54,9:57:40 PM,91," 407,471,113 ",26.92735166,20.3302647,-15.31034033
55,9:57:40 PM,86," 407,898,843 ",25.56479538,9.548435423,-18.84791216
56,9:57:40 PM,78," 407,277,032 ",23.04816711,358.4095053,-21.93914821
57,9:57:40 PM,70," 405,486,521 ",19.52120954,346.8181551,-24.44736272
58,9:57:40 PM,61," 402,469,001 ",15.14185073,334.7203328,-26.22148728
59,9:57:40 PM,51," 398,249,796 ",10.0665319,322.1252727,-27.10083145
60,9:57:40 PM,41," 392,956,772 ",4.449402424,309.1209204,-26.92892413
61,9:57:40 PM,31," 386,833,018 ",-1.544842866,295.8678945,-25.57644934
