FID,X,Y,Call_Taken,Location,Day,x2,y2
1,-10380253.852058,5623290.566926,12/29/2015 12:00:00 AM,2326 Central Ave NE,Day 1,-10380253.8520573,5623290.56692601
2,-10383337.554427,5618287.072067,12/29/2015 12:00:00 AM,618 1ST N,Day 1,-10383337.5544262,5618287.07206662
3,-10383081.88681,5615995.743947,12/29/2015 12:00:00 AM,1824 3rd ave s,Day 1,-10383081.8868091,5615995.74394715
4,-10380804.397644,5614750.562962,12/29/2015 12:00:00 AM,2519 bloomington ave s,Day 1,-10380804.3976434,5614750.56296247
5,-10380229.976954,5626288.119748,12/29/2015 12:00:00 AM,3447 Central Ave NE,Day 1,-10380229.976953,5626288.11974823
6,-10384731.421954,5627437.89912,12/29/2015 12:00:00 AM,4540 Lyndale Ave n,Day 1,-10384731.4219533,5627437.89912003
7,-10384705.06942,5627712.809874,12/29/2015 12:00:00 AM,4643 lyndale ave n,Day 1,-10384705.0694191,5627712.80987435
8,-10379007.136858,5616254.842316,12/29/2015 12:00:00 AM,702 25th ave s,Day 1,-10379007.1368565,5616254.84231621
9,-10384662.919607,5627956.443479,12/29/2015 12:00:00 AM,4729 Lyndale Ave n,Day 1,-10384662.919606,5627956.44347912
10,-10384701.968156,5627734.437127,12/29/2015 12:00:00 AM,4651 lyndale ave. n,Day 1,-10384701.968155,5627734.43712711
11,-10381943.008856,5608157.284405,12/29/2015 12:00:00 AM,4859 Chicago av s,Day 1,-10381943.0088552,5608157.28440454
12,-10379006.965041,5616208.469167,12/29/2015 12:00:00 AM,720 25th ave s,Day 1,-10379006.9650399,5616208.46916746
13,-10379007.117767,5616249.689744,12/29/2015 12:00:00 AM,704 25th ave s,Day 1,-10379007.1177658,5616249.68974413
14,0,0,12/29/2015 12:00:00 AM,chicago ave s/34th st e,Day 1
15,-10379007.003222,5616218.774312,12/29/2015 12:00:00 AM,716 25th Ave s,Day 1,-10379007.0032214,5616218.77431163
16,-10383067.975459,5615636.513343,12/29/2015 12:00:00 AM,2005 3rd Ave S,Day 1,-10383067.9754576,5615636.51334253
17,-10382808.688892,5613284.451711,12/29/2015 12:00:00 AM,3040 4TH AVE S,Day 1,-10382808.6888905,5613284.4517114
18,-10381927.492188,5610727.571089,12/29/2015 12:00:00 AM,3953 chicago ave s,Day 1,-10381927.4921874,5610727.57108904
19,-10383086.217812,5609150.535711,12/29/2015 12:00:00 AM,4504 3rd av s,Day 1,-10383086.2178111,5609150.5357109
20,-10381930.337021,5621668.977788,12/29/2015 12:00:00 AM,357 13th Ave NE,Day 1,-10381930.3370199,5621668.9777885
21,-10382796.487802,5613228.472784,12/29/2015 12:00:00 AM,3063 4TH AVE S,Day 1,-10382796.4878008,5613228.47278422
22,-10382642.454696,5615107.012052,12/29/2015 12:00:00 AM,506 24th st e,Day 1,-10382642.454695,5615107.01205243
23,-10383308.761578,5619873.016167,12/29/2015 12:00:00 AM,726 1st St N,Day 1,-10383308.7615772,5619873.0161673
24,-10383066.540691,5610844.172038,12/29/2015 12:00:00 AM,3909 3rd ave s,Day 1,-10383066.5406904,5610844.17203826
25,-10380200.0422,5617325.525726,12/29/2015 12:00:00 AM,1823 Washington Ave S,Day 1,-10380200.042199,5617325.52572619
26,-10384787.433043,5625665.684366,12/29/2015 12:00:00 AM,3931 lyndale ave n,Day 1,-10384787.4330417,5625665.68436588
27,-10380253.052266,5617321.396088,12/29/2015 12:00:00 AM,1810 Washington Ave s,Day 1,-10380253.0522648,5617321.39608807
28,-10378968.683688,5616259.145384,12/29/2015 12:00:00 AM,2517 7th st s,Day 1,-10378968.6836875,5616259.14538413
29,-10383082.582348,5609642.769835,12/29/2015 12:00:00 AM,4332 3rd Avenue South,Day 1,-10383082.5823466,5609642.76983504
30,-10383067.433864,5610263.457123,12/29/2015 12:00:00 AM,4113  3 av s,Day 1,-10383067.433863,5610263.45712315
