X,Y,OBJECTID,Citation_N,Date,Address,Ordinance,Ordinance_,Latitude,Longitude,Ward,Neighborho,Community,Tow_Zone,Day_ID,Snow_Emerg
-93.298900000751,44.9536999985576,1,271120330506,2020/01/20 00:00:00+00,1427 27TH ST W,478.1000(c),Snow emergency parking restrictions - odd number address,44.953733,-93.298907,7,East Isles,Calhoun Isle,3,3,Newton
-93.3009999990463,44.9541999995708,2,271120330505,2020/01/20 00:00:00+00,1611 27TH ST W,478.1000(c),Snow emergency parking restrictions - odd number address,44.954218,-93.30104,7,East Isles,Calhoun Isle,3,3,Newton
-93.2980999983847,44.9556000009179,3,271120330504,2020/01/20 00:00:00+00,1425 26TH ST W,478.1000(c),Snow emergency parking restrictions - odd number address,44.955594,-93.298056,7,East Isles,Calhoun Isle,3,3,Newton
-93.2972000017762,44.9609000012279,4,271120330503,2020/01/20 00:00:00+00,1509 22ND ST W,478.1000(c),Snow emergency parking restrictions - odd number address,44.960933,-93.297183,7,Lowry Hill,Calhoun Isle,3,3,Newton
-93.291400000453,44.9653999991715,5,271120330501,2020/01/20 00:00:00+00,929 SUMMIT AVE S,478.1000(c),Snow emergency parking restrictions - odd number address,44.965442,-93.291386,7,Lowry Hill,Calhoun Isle,3,3,Newton
-93.2906999997795,44.9653999991715,6,271120330500,2020/01/20 00:00:00+00,905 SUMMIT AVE S,478.1000(c),Snow emergency parking restrictions - odd number address,44.965449,-93.290708,7,Lowry Hill,Calhoun Isle,3,3,Newton
-93.2899999991059,44.9653999991715,7,271120330499,2020/01/20 00:00:00+00,825 SUMMIT AVE S,478.1000(c),Snow emergency parking restrictions - odd number address,44.965402,-93.289988,7,Lowry Hill,Calhoun Isle,3,3,Newton
-93.2912000007927,44.9671999998391,8,271120330498,2020/01/20 00:00:00+00,917 MOUNT CUR AVE,478.1000(c),Snow emergency parking restrictions - odd number address,44.967216,-93.291188,7,Lowry Hill,Calhoun Isle,3,3,Newton
-93.2906999997795,44.9670000001788,9,271120330497,2020/01/20 00:00:00+00,913 MOUNT CUR AVE,478.1000(c),Snow emergency parking restrictions - odd number address,44.966965,-93.290665,7,Lowry Hill,Calhoun Isle,3,3,Newton
-93.290600001812,44.966899998486,10,271120330496,2020/01/20 00:00:00+00,907 MOUNT CUR AVE,478.1000(c),Snow emergency parking restrictions - odd number address,44.966907,-93.290571,7,Lowry Hill,Calhoun Isle,3,3,Newton
-93.2903999984264,44.9668000005186,11,271120330495,2020/01/20 00:00:00+00,901 MOUNT CUR AVE,478.1000(c),Snow emergency parking restrictions - odd number address,44.966784,-93.290447,7,Lowry Hill,Calhoun Isle,3,3,Newton
-93.2901999987662,44.9666000008583,12,271120330494,2020/01/20 00:00:00+00,819 MOUNT CUR AVE,478.1000(c),Snow emergency parking restrictions - odd number address,44.966634,-93.29024,7,Lowry Hill,Calhoun Isle,3,3,Newton
-93.2659000009298,44.9651999995112,13,271120330493,2020/01/20 00:00:00+00,631 18TH ST E,478.1000(c),Snow emergency parking restrictions - odd number address,44.965215,-93.265918,6,Ventura Village,Phillips,3,3,Newton
-93.2659999988973,44.9651999995112,14,271120330492,2020/01/20 00:00:00+00,629 18TH ST E,478.1000(c),Snow emergency parking restrictions - odd number address,44.965202,-93.26602,6,Ventura Village,Phillips,3,3,Newton
-93.2661000005901,44.9651999995112,15,271120330491,2020/01/20 00:00:00+00,627 18TH ST E,478.1000(c),Snow emergency parking restrictions - odd number address,44.965188,-93.266145,6,Ventura Village,Phillips,3,3,Newton
-93.2664999999106,44.9651999995112,16,271120330490,2020/01/20 00:00:00+00,625 18TH ST E,478.1000(c),Snow emergency parking restrictions - odd number address,44.965199,-93.266499,6,Ventura Village,Phillips,3,3,Newton
-93.2664999999106,44.9651999995112,17,271120330489,2020/01/20 00:00:00+00,623 18TH ST E,478.1000(c),Snow emergency parking restrictions - odd number address,44.965195,-93.26647,6,Ventura Village,Phillips,3,3,Newton
-93.2615000009537,44.9640000015497,18,271120330488,2020/01/20 00:00:00+00,921 19TH ST E,478.1000(c),Snow emergency parking restrictions - odd number address,44.963952,-93.261469,6,Ventura Village,Phillips,3,3,Newton
-93.2595000006258,44.9640000015497,19,271120330487,2020/01/20 00:00:00+00,1001 19TH ST E,478.1000(c),Snow emergency parking restrictions - odd number address,44.963958,-93.259469,6,Ventura Village,Phillips,3,3,Newton
-93.2573999986053,44.9638999998569,20,271120330486,2020/01/20 00:00:00+00,1109 19TH ST E,478.1000(c),Snow emergency parking restrictions - odd number address,44.96393,-93.257444,6,Ventura Village,Phillips,3,3,Newton
-93.2586000002921,44.9651000015438,21,271120330485,2020/01/20 00:00:00+00,1029 18TH ST E,478.1000(c),Snow emergency parking restrictions - odd number address,44.965132,-93.258596,6,Ventura Village,Phillips,3,3,Newton
-93.2565999999642,44.9651000015438,22,271120330484,2020/01/20 00:00:00+00,1307 18TH ST E,478.1000(c),Snow emergency parking restrictions - odd number address,44.965137,-93.256628,6,Ventura Village,Phillips,3,3,Newton
-93.2562999986112,44.9651000015438,23,271120330483,2020/01/20 00:00:00+00,1309 18TH ST E,478.1000(c),Snow emergency parking restrictions - odd number address,44.965135,-93.256337,6,Ventura Village,Phillips,3,3,Newton
-93.2553999982774,44.9642999991775,24,271120330482,2020/01/20 00:00:00+00,1821 14TH AVE S,478.1000(c),Snow emergency parking restrictions - odd number address,44.964349,-93.25541,6,Ventura Village,Phillips,3,3,Newton
-93.2553999982774,44.96420000121,25,271120330481,2020/01/20 00:00:00+00,1823 14TH AVE S,478.1000(c),Snow emergency parking restrictions - odd number address,44.964194,-93.255442,6,Ventura Village,Phillips,3,3,Newton
-93.2553999982774,44.9640999995172,26,271120330480,2020/01/20 00:00:00+00,1827 14TH AVE S,478.1000(c),Snow emergency parking restrictions - odd number address,44.964099,-93.255431,6,Ventura Village,Phillips,3,3,Newton
-93.2553000003099,44.9629999995232,27,271120330479,2020/01/20 00:00:00+00,1919 14TH AVE S,478.1000(c),Snow emergency parking restrictions - odd number address,44.962966,-93.255333,6,Ventura Village,Phillips,3,3,Newton
-93.2553999982774,44.9631000012159,28,271120330478,2020/01/20 00:00:00+00,1919 14TH AVE S,478.1000(c),Snow emergency parking restrictions - odd number address,44.963129,-93.255396,6,Ventura Village,Phillips,3,3,Newton
-93.2553999982774,44.9631000012159,29,271120330477,2020/01/20 00:00:00+00,1913 14TH AVE S,478.1000(c),Snow emergency parking restrictions - odd number address,44.963144,-93.255386,6,Ventura Village,Phillips,3,3,Newton
-93.2553999982774,44.9631999991834,30,271120330476,2020/01/20 00:00:00+00,1913 14TH AVE S,478.1000(c),Snow emergency parking restrictions - odd number address,44.963227,-93.255404,6,Ventura Village,Phillips,3,3,Newton
-93.2553999982774,44.9635999985039,31,271120330475,2020/01/20 00:00:00+00,1911 14TH AVE S,478.1000(c),Snow emergency parking restrictions - odd number address,44.963645,-93.255439,6,Ventura Village,Phillips,3,3,Newton
-93.2597000002861,44.9640999995172,32,271120330474,2020/01/20 00:00:00+00,1825 10TH AVE S,478.1000(c),Snow emergency parking restrictions - odd number address,44.964051,-93.259672,6,Ventura Village,Phillips,3,3,Newton
-93.2597000002861,44.9637999981642,33,271120330473,2020/01/20 00:00:00+00,1901 10TH AVE S,478.1000(c),Snow emergency parking restrictions - odd number address,44.96378,-93.259699,6,Ventura Village,Phillips,3,3,Newton
-93.2652000002563,45.0328000001609,34,271120329871,2020/01/20 00:00:00+00,3527 2 1/2 ST NE,478.1000(c),Snow emergency parking restrictions - odd number address,45.032776,-93.265157,1,Columbia Park,Northeast,2,3,Newton
-93.2663999982178,45.0333999991417,35,271120329870,2020/01/20 00:00:00+00,3551 2ND ST NE,478.1000(c),Snow emergency parking restrictions - odd number address,45.033393,-93.266417,1,Columbia Park,Northeast,2,3,Newton
-93.2677000015974,45.0328000001609,36,271120329869,2020/01/20 00:00:00+00,3531 MAIN ST NE,478.1000(c),Snow emergency parking restrictions - odd number address,45.032832,-93.267677,1,Columbia Park,Northeast,2,3,Newton
-93.263900000602,45.0322000011802,37,271120329868,2020/01/20 00:00:00+00,3507 3RD ST NE,478.1000(c),Snow emergency parking restrictions - odd number address,45.032196,-93.263868,1,Columbia Park,Northeast,2,3,Newton
-93.2637999989092,45.0322000011802,38,271120329867,2020/01/20 00:00:00+00,3509 3RD ST NE,478.1000(c),Snow emergency parking restrictions - odd number address,45.032191,-93.263844,1,Columbia Park,Northeast,2,3,Newton
-93.2556999996305,45.0315000005066,39,271120329866,2020/01/20 00:00:00+00,629 35TH AVE NE,478.1000(c),Snow emergency parking restrictions - odd number address,45.031509,-93.255685,1,Columbia Park,Northeast,2,3,Newton
-93.257500000298,45.0315999984741,40,271120329865,2020/01/20 00:00:00+00,3509 SPAIN PL,478.1000(c),Snow emergency parking restrictions - odd number address,45.031628,-93.257492,1,Columbia Park,Northeast,2,3,Newton
-93.2540000006557,45.0335999988019,41,271120329864,2020/01/20 00:00:00+00,3549 VALLEY ST NE,478.1000(c),Snow emergency parking restrictions - odd number address,45.033627,-93.253951,1,Columbia Park,Northeast,2,3,Newton
-93.2443000003695,45.0089000016451,42,271120329863,2020/01/20 00:00:00+00,1029 20TH AVE NE,478.1000(c),Snow emergency parking restrictions - odd number address,45.008942,-93.244264,1,Windom Park,Northeast,2,3,Newton
-93.2459000013769,45.0089999996126,43,271120329862,2020/01/20 00:00:00+00,959 20TH AVE NE,478.1000(c),Snow emergency parking restrictions - odd number address,45.00897,-93.245871,1,Windom Park,Northeast,2,3,Newton
-93.2467000000179,45.0089999996126,44,271120329861,2020/01/20 00:00:00+00,931 20TH AVE NE,478.1000(c),Snow emergency parking restrictions - odd number address,45.008959,-93.246673,1,Windom Park,Northeast,2,3,Newton
-93.2465999983251,45.0089000016451,45,271120329860,2020/01/20 00:00:00+00,935 20TH AVE NE,478.1000(c),Snow emergency parking restrictions - odd number address,45.008939,-93.246636,1,Windom Park,Northeast,2,3,Newton
-93.2485000006855,45.0089000016451,46,271120329859,2020/01/20 00:00:00+00,911 20TH AVE NE,478.1000(c),Snow emergency parking restrictions - odd number address,45.008912,-93.248536,1,Holland,Northeast,2,3,Newton
-93.2406999990344,44.984999999404,47,271120329858,2020/01/20 00:00:00+00,529 9 1/2 AVE SE,478.1000(c),Snow emergency parking restrictions - odd number address,44.985006,-93.240749,3,Marcy Holmes,University,4,3,Newton
-93.2406999990344,44.984999999404,48,271120329857,2020/01/20 00:00:00+00,531 9 1/2 AVE SE,478.1000(c),Snow emergency parking restrictions - odd number address,44.98503,-93.240693,3,Marcy Holmes,University,4,3,Newton
-93.2410999983549,44.9864999987185,49,271120329856,2020/01/20 00:00:00+00,813 7TH ST SE,478.1000(c),Snow emergency parking restrictions - odd number address,44.98648,-93.241055,3,Marcy Holmes,University,4,3,Newton
-93.2415000014007,44.9866999983788,50,271120329855,2020/01/20 00:00:00+00,805 7TH ST SE,478.1000(c),Snow emergency parking restrictions - odd number address,44.986689,-93.241514,3,Marcy Holmes,University,4,3,Newton
-93.242499999702,44.9871000014246,51,271120329854,2020/01/20 00:00:00+00,715 7TH ST SE,478.1000(c),Snow emergency parking restrictions - odd number address,44.987096,-93.242473,3,Marcy Holmes,University,4,3,Newton
-93.2426999993622,44.987199999392,52,271120329853,2020/01/20 00:00:00+00,709 7TH ST SE,478.1000(c),Snow emergency parking restrictions - odd number address,44.987155,-93.242722,3,Marcy Holmes,University,4,3,Newton
-93.2454000003636,44.9882000014186,53,271120329852,2020/01/20 00:00:00+00,509 7TH ST SE,478.1000(c),Snow emergency parking restrictions - odd number address,44.988245,-93.24543,3,Marcy Holmes,University,4,3,Newton
-93.2468000017107,44.9888000003994,54,271120329851,2020/01/20 00:00:00+00,415 7TH ST SE,478.1000(c),Snow emergency parking restrictions - odd number address,44.988791,-93.2468,3,Marcy Holmes,University,4,3,Newton
-93.2479999996722,44.9893000014126,55,271120329850,2020/01/20 00:00:00+00,323 7TH ST SE,478.1000(c),Snow emergency parking restrictions - odd number address,44.989289,-93.247976,3,Marcy Holmes,University,4,3,Newton
-93.2397999987006,44.9869999997318,56,271120329849,2020/01/20 00:00:00+00,727 9TH AVE SE,478.1000(c),Snow emergency parking restrictions - odd number address,44.986977,-93.239803,3,Marcy Holmes,University,4,3,Newton
-93.2401000000536,44.9866999983788,57,271120329848,2020/01/20 00:00:00+00,715 9TH AVE SE,478.1000(c),Snow emergency parking restrictions - odd number address,44.986672,-93.240122,3,Marcy Holmes,University,4,3,Newton
-93.2402999997139,44.9866000004113,58,271120329847,2020/01/20 00:00:00+00,711 9TH AVE SE,478.1000(c),Snow emergency parking restrictions - odd number address,44.986586,-93.240255,3,Marcy Holmes,University,4,3,Newton
