X,Y,OBJECTID,Call_Taken,Customer,Location,Latitude,Longitude,Ward,Neighborho,Community,Tow_Zone,Day_ID,Snow_Emerg
-10382753.3215643,5609058.52852071,1,01/18/2020 09:18pm,Snow Emergency,"4525 4th Ave s,Minneapolis,MN",44.92078,-93.26986,8,Regina,Nokomis,5,1,Newton
-10381987.4434885,5612554.03462001,2,01/18/2020 09:24pm,Snow Emergency,"3300 Chicago AVE S,Minneapolis,MN",44.94301,-93.26298,9,Central,Powderhorn,5,1,Newton
-10384605.6779173,5627598.7391567,3,01/18/2020 09:26pm,Snow Emergency,"4600 lyndale ave n ,Minneapolis,MN",45.03859,-93.2865,4,Camden Industrial,Camden,1,1,Newton
-10384605.6779173,5627598.7391567,4,01/18/2020 09:30pm,Snow Emergency,"4600 LYNDALE AVE N,Minneapolis,MN",45.03859,-93.2865,4,Camden Industrial,Camden,1,1,Newton
-10382743.3028486,5610078.89404488,5,01/18/2020 09:31pm,Snow Emergency,"4149 4TH AVE S,Minneapolis,MN",44.92727,-93.26977,8,Bryant,Powderhorn,5,1,Newton
-10384605.6779173,5627598.7391567,6,01/18/2020 09:38pm,Snow Emergency,"4600 block Lyndale ave N,Minneapolis,MN",45.03859,-93.2865,4,Camden Industrial,Camden,1,1,Newton
-10381994.1226656,5613104.50758885,7,01/18/2020 09:40pm,Snow Emergency,"3100 Chicago ave so,Minneapolis,MN",44.94651,-93.26304,9,Central,Powderhorn,5,1,Newton
-10384605.6779173,5627598.7391567,8,01/18/2020 09:41pm,Snow Emergency,"4600 block Lyndale ave N,Minneapolis,MN",45.03859,-93.2865,4,Camden Industrial,Camden,1,1,Newton
-10385316.7867807,5615494.89298207,9,01/18/2020 09:45pm,Snow Emergency,"2103 DUPONT AVE S ,Minneapolis,MN",44.961706,-93.292888,7,Lowry Hill,Calhoun Isle,3,1,Newton
-10381965.1795648,5610288.01249512,10,01/18/2020 09:48pm,Snow Emergency,"4100 CHICAGO AVE S,Minneapolis,MN",44.9286,-93.26278,8,Bryant,Powderhorn,5,1,Newton
-10382804.3058395,5610952.19222105,11,01/18/2020 09:50pm,Snow Emergency,"3840 4TH AVE S,Minneapolis,MN",44.932824,-93.270318,8,Bryant,Powderhorn,5,1,Newton
-10384752.5082892,5623608.14111665,12,01/18/2020 09:51pm,Snow Emergency,"3200 LYNDALE AVE N ,Minneapolis,MN",45.013253,-93.287819,4,McKinley,Camden,1,1,Newton
