X,Y,OBJECTID,Snow_Emerg,Snow_Eme_1,Snow_Eme_2,Citation_N,Date,Address,Latitude,Longitude,Ordinance,Ordinanc_1,Ward,Neighborho,Community,Day,Tow_Zone
-93.2379790002307,45.0238479999853,1,Oliver,2020-2021,2,271121300000,2021/01/25 00:00:00+00,1416 31ST AVE NE,45.023848,-93.237979,478.1000(b),Snow emergency parking restrictions - even number address,1,Audubon Park,Northeast,2,2
-93.2377709996319,45.0237930001469,2,Oliver,2020-2022,2,271121300000,2021/01/25 00:00:00+00,1420 31ST AVE NE,45.023793,-93.237771,478.1000(b),Snow emergency parking restrictions - even number address,1,Audubon Park,Northeast,2,2
-93.2374880000711,45.02382599987,3,Oliver,2020-2023,2,271121300000,2021/01/25 00:00:00+00,1516 31ST AVE NE,45.023826,-93.237488,478.1000(b),Snow emergency parking restrictions - even number address,1,Audubon Park,Northeast,2,2
-93.2374409997024,45.0238370003773,4,Oliver,2020-2024,2,271121300000,2021/01/25 00:00:00+00,1518 31ST AVE NE,45.023837,-93.237441,478.1000(b),Snow emergency parking restrictions - even number address,1,Audubon Park,Northeast,2,2
-93.2374859999789,45.0238130001699,5,Oliver,2020-2025,2,271121300000,2021/01/25 00:00:00+00,1514 31ST AVE NE,45.023813,-93.237486,478.1000(b),Snow emergency parking restrictions - even number address,1,Audubon Park,Northeast,2,2
-93.2276460003626,45.0259469996544,6,Oliver,2020-2026,2,271121300000,2021/01/25 00:00:00+00,2314 32ND AVE NE,45.025947,-93.227646,478.1000(b),Snow emergency parking restrictions - even number address,1,Waite Park,Northeast,2,2
-93.2463779999447,45.029417999641,7,Oliver,2020-2027,2,271121300000,2021/01/25 00:00:00+00,942 34TH AVE NE,45.029418,-93.246378,478.1000(b),Snow emergency parking restrictions - even number address,1,Waite Park,Northeast,2,2
-93.2370040002344,45.0294799998022,8,Oliver,2020-2028,2,271121300000,2021/01/25 00:00:00+00,1604 34TH AVE NE,45.02948,-93.237004,478.1000(b),Snow emergency parking restrictions - even number address,1,Waite Park,Northeast,2,2
-93.2367700002353,45.0313149998874,9,Oliver,2020-2029,2,271121300000,2021/01/25 00:00:00+00,1606 35TH AVE NE,45.031315,-93.23677,478.1000(b),Snow emergency parking restrictions - even number address,1,Waite Park,Northeast,2,2
-93.2345290003131,45.0345679997135,10,Oliver,2020-2030,2,271121300000,2021/01/25 00:00:00+00,1700 HOLLYWOOD AVE,45.034568,-93.234529,478.1000(b),Snow emergency parking restrictions - even number address,1,Waite Park,Northeast,2,2
-93.233304999626,45.0348690001043,11,Oliver,2020-2031,2,271121300000,2021/01/25 00:00:00+00,1736 HOLLYWOOD AVE,45.034869,-93.233305,478.1000(b),Snow emergency parking restrictions - even number address,1,Waite Park,Northeast,2,2
-93.2346689995746,45.0347360002663,12,Oliver,2020-2032,2,271121300000,2021/01/25 00:00:00+00,3604 HAYES ST NE,45.034736,-93.234669,478.1000(b),Snow emergency parking restrictions - even number address,1,Waite Park,Northeast,2,2
-93.2405219996905,45.0354699999406,13,Oliver,2020-2033,2,271121300000,2021/01/25 00:00:00+00,3666 PIERCE PL,45.03547,-93.240522,478.1000(b),Snow emergency parking restrictions - even number address,1,Waite Park,Northeast,2,2
-93.2413920002406,45.0353099997567,14,Oliver,2020-2034,2,271121300000,2021/01/25 00:00:00+00,3664 PIERCE ST NE,45.03531,-93.241392,478.1000(b),Snow emergency parking restrictions - even number address,1,Waite Park,Northeast,2,2
-93.2424420000982,45.0348569995509,15,Oliver,2020-2035,2,271121300000,2021/01/25 00:00:00+00,1144 36 1/2 AVE NE,45.034857,-93.242442,478.1000(b),Snow emergency parking restrictions - even number address,1,Waite Park,Northeast,2,2
-93.238439999906,45.0310049999808,16,Oliver,2020-2036,2,271121300000,2021/01/25 00:00:00+00,3446 LINCOLN ST NE,45.031005,-93.23844,478.1000(b),Snow emergency parking restrictions - even number address,1,Waite Park,Northeast,2,2
-93.2385759998825,45.0284010004059,17,Oliver,2020-2037,2,271121300000,2021/01/25 00:00:00+00,3322 LINCOLN ST NE,45.028401,-93.238576,478.1000(b),Snow emergency parking restrictions - even number address,1,Waite Park,Northeast,2,2
-93.2384470002289,45.0282370000376,18,Oliver,2020-2038,2,271121300000,2021/01/25 00:00:00+00,3318 LINCOLN ST NE,45.028237,-93.238447,478.1000(b),Snow emergency parking restrictions - even number address,1,Waite Park,Northeast,2,2
-93.2384539996523,45.0233060001718,19,Oliver,2020-2039,2,271121300000,2021/01/25 00:00:00+00,3034 LINCOLN ST NE,45.023306,-93.238454,478.1000(b),Snow emergency parking restrictions - even number address,1,Audubon Park,Northeast,2,2
-93.2384230000214,45.0211980000877,20,Oliver,2020-2040,2,271121300000,2021/01/25 00:00:00+00,2922 LINCOLN ST NE,45.021198,-93.238423,478.1000(b),Snow emergency parking restrictions - even number address,1,Audubon Park,Northeast,2,2
-93.2384430000444,45.021171999788,21,Oliver,2020-2041,2,271121300000,2021/01/25 00:00:00+00,2920 LINCOLN ST NE,45.021172,-93.238443,478.1000(b),Snow emergency parking restrictions - even number address,1,Audubon Park,Northeast,2,2
