X,Y,OBJECTID,Snow_Emerg,Snow_Eme_1,Snow_Eme_2,Addess,Civic,Community,Day,Day_of_Dat,Neighborho,Ordinance_,Ordinance1,Street,Ticket__,Tow_Zone,Latitude,Longitude
-93.2776680003779,44.9430770002035,1,Howard,2024,1,1 33RD ST E,1,Powderhorn,3,2024/12/21 00:00:00+00,Lyndale,478.1000(C),Snow emergency parking restrictions - odd number address,33RD ST E,271124488412,5,44.943077,-93.277668
-93.27823899973,44.9429459995583,2,Howard,2024,1,2 33RD ST W,2,Powderhorn,2,2024/12/20 00:00:00+00,Lyndale,478.1000(B),Snow emergency parking restrictions - even number address,33RD ST W,271124487344,5,44.942946,-93.278239
-93.2783050000756,44.9413479996106,3,Howard,2024,1,3 34TH ST W,3,Powderhorn,3,2024/12/21 00:00:00+00,Lyndale,478.1000(C),Snow emergency parking restrictions - odd number address,34TH ST W,271124490680,5,44.941348,-93.278305
-93.2775700003552,44.943032999973,4,Howard,2024,1,5 33RD ST E,5,Powderhorn,3,2024/12/21 00:00:00+00,Lyndale,478.1000(C),Snow emergency parking restrictions - odd number address,33RD ST E,271124488411,5,44.943033,-93.27757
-93.2783670002368,44.9413190000719,5,Howard,2024,1,5 34TH ST W,5,Powderhorn,3,2024/12/21 00:00:00+00,Lyndale,478.1000(C),Snow emergency parking restrictions - odd number address,34TH ST W,271124490681,5,44.941319,-93.278367
-93.2777359999164,44.9431200003878,6,Howard,2024,1,6 33RD ST E,6,Powderhorn,2,2024/12/20 00:00:00+00,Lyndale,478.1000(B),Snow emergency parking restrictions - even number address,33RD ST E,271124487343,5,44.94312,-93.277736
-93.278581000213,44.8955720002477,7,Howard,2024,1,6 59TH ST W,6,Southwest,2,2024/12/20 00:00:00+00,Windom,478.1000(B),Snow emergency parking restrictions - even number address,59TH ST W,271124489453,5,44.895572,-93.278581
-93.2773839998717,44.8924890001673,8,Howard,2024,1,7 61ST ST E,7,Southwest,3,2024/12/21 00:00:00+00,Windom,478.1000(C),Snow emergency parking restrictions - odd number address,61ST ST E,271124490103,5,44.892489,-93.277384
-93.2775820000093,44.9450100003113,9,Howard,2024,1,8 32ND ST E,8,Powderhorn,2,2024/12/20 00:00:00+00,Lyndale,478.1000(B),Snow emergency parking restrictions - even number address,32ND ST E,271124484731,5,44.94501,-93.277582
-93.2775100002863,44.9152260000799,10,Howard,2024,1,8 RUSTIC LODGE E,8,Southwest,2,2024/12/20 00:00:00+00,Tangletown,478.1000(B),Snow emergency parking restrictions - even number address,RUSTIC LODGE E,271124490099,5,44.915226,-93.27751
-93.2773999997102,44.9430800003418,11,Howard,2024,1,9 33RD ST E,9,Powderhorn,3,2024/12/21 00:00:00+00,Lyndale,478.1000(C),Snow emergency parking restrictions - odd number address,33RD ST E,271124488410,5,44.94308,-93.2774
-93.2784769999136,44.9413380000487,12,Howard,2024,1,9 34TH ST W,9,Powderhorn,3,2024/12/21 00:00:00+00,Lyndale,478.1000(C),Snow emergency parking restrictions - odd number address,34TH ST W,271124490682,5,44.941338,-93.278477
-93.2778649995701,44.8924300001444,13,Howard,2024,1,9 61ST ST E,9,Southwest,3,2024/12/21 00:00:00+00,Windom,478.1000(C),Snow emergency parking restrictions - odd number address,61ST ST E,271124490102,5,44.89243,-93.277865
-93.2784529997061,44.9429630003422,14,Howard,2024,1,10 33RD ST W,10,Powderhorn,2,2024/12/20 00:00:00+00,Lyndale,478.1000(B),Snow emergency parking restrictions - even number address,33RD ST W,271124487345,5,44.942963,-93.278453
-93.2762580001066,44.9178660004156,15,Howard,2024,1,10 47TH ST E,10,Southwest,2,2024/12/20 00:00:00+00,Tangletown,478.1000(B),Snow emergency parking restrictions - even number address,47TH ST E,271124490101,5,44.917866,-93.276258
-93.2786119998439,44.9413050003255,16,Howard,2024,1,11 34TH ST W,11,Powderhorn,3,2024/12/21 00:00:00+00,Lyndale,478.1000(C),Snow emergency parking restrictions - odd number address,34TH ST W,271124490683,5,44.941305,-93.278612
-93.2773480000101,44.8924480000752,17,Howard,2024,1,11 61ST ST E,11,Southwest,3,2024/12/21 00:00:00+00,Windom,478.1000(C),Snow emergency parking restrictions - odd number address,61ST ST E,271124490104,5,44.892448,-93.277348
-93.2785770000285,44.9429549999733,18,Howard,2024,1,12 33RD ST W,12,Powderhorn,2,2024/12/20 00:00:00+00,Lyndale,478.1000(B),Snow emergency parking restrictions - even number address,33RD ST W,271124487346,5,44.942955,-93.278577
-93.2760969998766,44.9177660003007,19,Howard,2024,1,12 47TH ST E,12,Southwest,2,2024/12/20 00:00:00+00,Tangletown,478.1000(B),Snow emergency parking restrictions - even number address,47TH ST E,271124490100,5,44.917766,-93.276097
-93.2785460003976,44.9429580001117,20,Howard,2024,1,13 33RD ST W,13,Powderhorn,3,2024/12/21 00:00:00+00,Lyndale,478.1000(C),Snow emergency parking restrictions - odd number address,33RD ST W,271124488413,5,44.942958,-93.278546
-93.2772330001029,44.8924209997294,21,Howard,2024,1,13 61ST ST E,13,Southwest,3,2024/12/21 00:00:00+00,Windom,478.1000(C),Snow emergency parking restrictions - odd number address,61ST ST E,271124490105,5,44.892421,-93.277233
-93.2787289998435,44.9429549999733,22,Howard,2024,1,14 33RD ST W,14,Powderhorn,2,2024/12/20 00:00:00+00,Lyndale,478.1000(B),Snow emergency parking restrictions - even number address,33RD ST W,271124487863,5,44.942955,-93.278729
-93.2788219996355,44.9664630003672,23,Howard,2024,1,14 OAK GROVE ST,14,Central,2,2024/12/20 00:00:00+00,Loring Park,478.1000(B),Snow emergency parking restrictions - even number address,OAK GROVE ST,271124487109,3,44.966463,-93.278822
-93.2769879995965,44.9449920003806,24,Howard,2024,1,15 32ND ST E,15,Powderhorn,3,2024/12/21 00:00:00+00,Lyndale,478.1000(C),Snow emergency parking restrictions - odd number address,32ND ST E,271124487885,5,44.944992,-93.276988
-93.2787010003508,44.9663729998142,25,Howard,2024,1,15 OAK GROVE ST,15,Central,3,2024/12/21 00:00:00+00,Loring Park,478.1000(C),Snow emergency parking restrictions - odd number address,OAK GROVE ST,271124489163,3,44.966373,-93.278701
