X,Y,FID,Snow_Emerg,Snow_Eme_1,Snow_Eme_2,Citation_N,Date,Address,Latitude,Longitude,Ordinance,Ordinanc_1,Ward,Neighborho,Community,Day,Tow_Zone,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56
-10384216.6162664,5614105.35327009,1,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,2729 PLEASANT AVE,44.952873,-93.283005,478.1000(C),Snow emergency parking restrictions - odd number address,7,Whittier,Powderhorn,3,3,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10384210.0484164,5614078.61227502,2,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,2733 PLEASANT AVE,44.952703,-93.282946,478.1000(C),Snow emergency parking restrictions - odd number address,7,Whittier,Powderhorn,3,3,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10384221.8482824,5614039.60202425,3,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,2743 PLEASANT AVE,44.952455,-93.283052,478.1000(C),Snow emergency parking restrictions - odd number address,7,Whittier,Powderhorn,3,3,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10384216.5049469,5614013.01852252,4,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,2745 PLEASANT AVE,44.952286,-93.283004,478.1000(C),Snow emergency parking restrictions - odd number address,7,Whittier,Powderhorn,3,3,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10384216.3936274,5614021.19805316,5,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,2747 PLEASANT AVE,44.952338,-93.283003,478.1000(C),Snow emergency parking restrictions - odd number address,7,Whittier,Powderhorn,3,3,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10384212.8314037,5613979.82857994,6,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,2749 PLEASANT AVE,44.952075,-93.282971,478.1000(C),Snow emergency parking restrictions - odd number address,7,Whittier,Powderhorn,3,3,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10384211.1616113,5613975.10964065,7,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,2751 PLEASANT AVE,44.952045,-93.282956,478.1000(C),Snow emergency parking restrictions - odd number address,7,Whittier,Powderhorn,3,3,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10384035.3881354,5614014.90610584,8,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,2747 PILLSBURY AVE,44.952298,-93.281377,478.1000(C),Snow emergency parking restrictions - odd number address,7,Whittier,Powderhorn,3,3,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10379689.2525758,5612798.91230786,9,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,3203 21ST AVE S,44.944567,-93.242335,478.1000(C),Snow emergency parking restrictions - odd number address,7,Corcoran,Powderhorn,3,6,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10379683.1300038,5612707.37729993,10,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,3219 21ST AVE S,44.943985,-93.24228,478.1000(C),Snow emergency parking restrictions - odd number address,7,Corcoran,Powderhorn,3,6,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10379685.6903521,5612871.57477899,11,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,3149 21ST AVE S,44.945029,-93.242303,478.1000(C),Snow emergency parking restrictions - odd number address,7,Corcoran,Powderhorn,3,6,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10379684.2431987,5612883.68524772,12,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,3147 21ST AVE S,44.945106,-93.24229,478.1000(C),Snow emergency parking restrictions - odd number address,7,Corcoran,Powderhorn,3,6,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10379685.6903521,5612945.81063482,13,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,3133 21ST AVE S,44.945501,-93.242303,478.1000(C),Snow emergency parking restrictions - odd number address,7,Corcoran,Powderhorn,3,6,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10379686.2469496,5612974.43564058,14,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,3127 21ST AVE S,44.945683,-93.242308,478.1000(C),Snow emergency parking restrictions - odd number address,7,Corcoran,Powderhorn,3,6,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10379689.5865343,5612985.75984372,15,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,3125 21ST AVE S,44.945755,-93.242338,478.1000(C),Snow emergency parking restrictions - odd number address,7,Corcoran,Powderhorn,3,6,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10379687.1375055,5613000.0723986,16,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,3123 21ST AVE S,44.945846,-93.242316,478.1000(C),Snow emergency parking restrictions - odd number address,7,Corcoran,Powderhorn,3,6,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10379688.1393809,5613002.43161312,17,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,3121 21ST AVE S,44.945861,-93.242325,478.1000(C),Snow emergency parking restrictions - odd number address,7,Corcoran,Powderhorn,3,6,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10379689.1412563,5613022.72088343,18,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,3117 21ST AVE S,44.94599,-93.242334,478.1000(C),Snow emergency parking restrictions - odd number address,7,Corcoran,Powderhorn,3,6,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10379687.8054224,5613030.74223543,19,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,3115 21ST AVE S,44.946041,-93.242322,478.1000(C),Snow emergency parking restrictions - odd number address,7,Corcoran,Powderhorn,3,6,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10379688.3620199,5613039.70728432,20,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,3111 21ST AVE S,44.946098,-93.242327,478.1000(C),Snow emergency parking restrictions - odd number address,7,Corcoran,Powderhorn,3,6,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
-10379691.2563267,5613202.18067809,21,Omega,2024-2025,2,271125334000,2025/02/10 00:00:00+00,3033 21ST AVE S,44.947131,-93.242353,478.1000(C),Snow emergency parking restrictions - odd number address,7,Corcoran,Powderhorn,3,6,, , , , , , , , , , , ,,, , , , , , , , , ,, , , , , , , , , , , , , , , ,,
