row,date,category,store,address,phone
1,1/1/94,Accessories,Claire's Boutique,E114,854-5504
2,1/1/94,Accessories,Claire's Boutique,N394,851-0050
3,1/1/94,Accessories,Dakota Watch Company,Bloomingdales' Court Level 1,858-8420
4,1/1/94,Accessories,definitely different (Cart),West 1,858-9819
5,1/1/94,Accessories,Deziner Alternative Sunglasses (Cart),East 3,851-9253
6,1/1/94,Accessories,Fossil,E262,854-6447
7,1/1/94,Accessories,Got a Light (Cart),West 1,858-8468
8,1/1/94,Accessories,Hair Diamonds (Cart),West 1,No Phone
9,1/1/94,Accessories,Hearts Desire/Brighton Shoes,E168,854-8043
10,1/1/94,Accessories,Joe Cool's Hot Shop,SNOOPY,883-8789
11,1/1/94,Accessories,Just Silver,E314,814-0144
12,1/1/94,Accessories,Keeping Time,N365,854-0609
13,1/1/94,Accessories,Magnetic Magic (Cart),South 1,No Phone
14,1/1/94,Accessories,Personalized Rice (Cart),East 3,851-9026
15,1/1/94,Accessories,Sara Cura Silver (Cart),West 1,814-8453
16,1/1/94,Accessories,Silver Time (Cart),South 3,854-1404
17,1/1/94,Accessories,Simply Sterling (Cart),West 1,853-9997
18,1/1/94,Accessories,Sox Appeal,W391,858-9141
19,1/1/94,Accessories,Sunglass Hut,N294,858-8445
20,1/1/94,Accessories,Sunglass Hut,W108,858-8548
21,1/1/94,Accessories,Sunglass Hut,E266,858-8547
22,1/1/94,Accessories,Sunglass Hut,W360,858-9963
23,1/1/94,Accessories,Watch World International,E275,854-2280
24,1/1/94,Accessories,"Zap ""Create your Own Cap"" (Cart)",East 2,853-0906
25,1/1/94,APPAREL-CHILDREN'S,abercrombie,W209,854-2671
26,1/1/94,APPAREL-CHILDREN'S,Authentic Northern Reflections,W144,851-0846
27,1/1/94,APPAREL-CHILDREN'S,Baby Place,N276,854-3715
28,1/1/94,APPAREL-CHILDREN'S,Celebrating the Seasons,West 1,854-9693
29,1/1/94,APPAREL-CHILDREN'S,Children's Place,S110,854-6165
30,1/1/94,APPAREL-CHILDREN'S,Gap Kids/baby Gap,S160,854-0984
31,1/1/94,APPAREL-CHILDREN'S,GymBaby,N288,876-0954
32,1/1/94,APPAREL-CHILDREN'S,Gymboree,S140,854-2815
33,1/1/94,APPAREL-CHILDREN'S,Joe Cool's Hot Shop,SNOOPY,883-8789
34,1/1/94,APPAREL-CHILDREN'S,"Kids ""R"" Us",E212,858-8555
35,1/1/94,APPAREL-CHILDREN'S,Limited Too,W200,851-9557
36,1/1/94,APPAREL-CHILDREN'S,Northern Experience,S200,854-4707
37,1/1/94,APPAREL-CHILDREN'S,Old Navy Clothing,E248,853-0100
38,1/1/94,APPAREL-CHILDREN'S,Snoopy's Boutique,SNOOPY,883-8630
39,1/1/94,APPAREL-CHILDREN'S,Varie-tee's (Cart),West 1,858-9615
40,1/1/94,APPAREL-CHILDREN'S,Zutopia,E268,854-7198
41,1/1/94,APPAREL-MEN'S,Desmond's Formalwear,N364,851-9942
42,1/1/94,APPAREL-MEN'S,Formal Affair-Men's Formal Wear,Sears Level 1,854-5517
43,1/1/94,APPAREL-MEN'S,Gap Men,S132,854-0880
44,1/1/94,APPAREL-MEN'S,InSeta,N392,858-8983
45,1/1/94,APPAREL-MEN'S,Mr. Rags,N275,876-0380
46,1/1/94,APPAREL-MEN'S,Pacific Sunwear,N144,854-4090
47,1/1/94,APPAREL-MEN'S,Ralph Marlin,E208,858-8106
48,1/1/94,APPAREL-MEN'S,Structure,W208,851-0744
49,1/1/94,LUGGAGE,Bentley's Luggage & Gifts,W158,858-8712
50,1/1/94,LUGGAGE,Elanté,E163,858-9600
51,1/1/94,LUGGAGE,Trappings,W274,858-9990
52,1/1/94,CONVENIENCE,Dollar Tree,E336,854-1498
53,1/1/94,CONVENIENCE,The Drug Store,E200,854-2723
54,1/1/94,CONVENIENCE,Holiday Convenience Store,W123,854-6660
55,1/1/94,CONVENIENCE,Street Corner News,E122,858-8539
56,1/1/94,CONVENIENCE,Street Corner News,N122,858-9826
57,1/1/94,TRADEMARK,Disney Store,S258,854-9119
58,1/1/94,TRADEMARK,KSTP,West 2,854-7588
59,1/1/94,TRADEMARK,Nordic Track,W133,854-8378
60,1/1/94,TRADEMARK,Warner Bros. Studio Store,W236,854-1658
61,1/1/94,PHOTOGRAPHY,Amazing Pictures,N366,858-8037
62,1/1/94,PHOTOGRAPHY,Foto Fantasy,North 1,No Phone
63,1/1/94,PHOTOGRAPHY,Foto Fantasy,West 1,No Phone
64,1/1/94,PHOTOGRAPHY,Glamour Kids,E108,858-8005
65,1/1/94,PHOTOGRAPHY,Glamour Shots,E104,858-8005
