Row,Date,Category,Store,Address
307,9/1/07,Travel,Custom College Shop,E100
239,9/1/07,Travel,Footaction USA,E102
25,9/1/07,Travel,Glamour Shots,E104
26,9/1/07,Travel,Glamour Shots Kids,E108
135,9/1/07,Travel,Mall of America Gift Store,E110
175,9/1/07,Travel,Lundstrom Jewelers,E112
394,9/1/07,Restaurants & Quick Serve Restaurants,P.B.Loco Peanutbutterlicious Café,E114
59,9/1/07,Travel,Barnes & Noble,E118
104,9/1/07,Travel,Underwater Adventures® Aquarium,E120
148,9/1/07,Travel,Street Corner News,E122
12,9/1/07,Travel,For Love 21,E126
396,9/1/07,Restaurants & Quick Serve Restaurants,Rocky Mountain Chocolate Factory,E128
386,9/1/07,Restaurants & Quick Serve Restaurants,Haagen Dazs,E130
220,9/1/07,Travel,Old Navy,E138
317,9/1/07,Travel,Charlotte Russe,E141
180,9/1/07,Travel,Ultra Diamonds,E142
240,9/1/07,Travel,Johnston & Murphy,E144
63,9/1/07,Travel,Glitz!,E145
232,9/1/07,Travel,Clarks,E146
144,9/1/07,Travel,Ridemakerz,E148
51,9/1/07,Travel,Regis Salons,E152
34,9/1/07,Travel,Basin,E154
125,9/1/07,Travel,Field of Dreams,E156
137,9/1/07,Travel,Minnesot-ah!,E157
314,9/1/07,Travel,The Hockey Lodge,E160
22,9/1/07,Travel,Swatch,E162
399,9/1/07,Restaurants & Quick Serve Restaurants,Starbucks Coffee Company,E164
142,9/1/07,Travel,QVC @ The Mall,E168
120,9/1/07,Travel,Build-A-Bear Workshop®,E170
126,9/1/07,Travel,friends 2B made®,E172
5,9/1/07,Travel,Claire's Boutique,E179
380,9/1/07,Restaurants & Quick Serve Restaurants,Cinnabon,E180
204,9/1/07,Travel,Daniel's Leather,E200
128,9/1/07,Travel,Irish Indeed!,E201
199,9/1/07,Travel,"Buckle, The",E203
190,9/1/07,Travel,Ralph Marlin Ties,E208
319,9/1/07,Women's Fashions,Forever 21,E212
361,9/1/07,Travel,Money Xchange,E218
182,9/1/07,Travel,Zales,E240
236,9/1/07,Travel,"Finish Line, The",E241
373,9/1/07,Restaurants & Quick Serve Restaurants,Auntie Anne's,E242
221,9/1/07,Travel,Pac Sun,E246
219,9/1/07,Travel,Old Navy,E248
257,9/1/07,Travel,Underground Station,E258
124,9/1/07,Travel,Destination Minnesota,E260
13,9/1/07,Travel,Fossil,E262
21,9/1/07,Travel,Sunglass Hut,E266
252,9/1/07,Travel,Shi by Journeys,E268
242,9/1/07,Travel,Kids Foot Locker,E272
243,9/1/07,Travel,Lady Foot Locker,E272
23,9/1/07,Travel,Watch World International,E275
385,9/1/07,Restaurants & Quick Serve Restaurants,Godiva Chocolatier,E278
117,9/1/07,Travel,As Seen On T.V.,E282
392,9/1/07,Restaurants & Quick Serve Restaurants,Nestle Toll House Café,E283
85,9/1/07,Travel,GameStop,E284
53,9/1/07,Travel,Trade Secret,E285
28,9/1/07,Travel,Ritz Camera,E290
163,9/1/07,Travel,Select Comfort,E292
171,9/1/07,Travel,Gordon's Jewelers,E296
359,9/1/07,Travel,Heakin Research,E300
82,9/1/07,Travel,AT&T;,E302
384,9/1/07,Restaurants & Quick Serve Restaurants,Gloria Jean's Gourmet Coffee,E306
173,9/1/07,Travel,Just Silver,E314
152,9/1/07,Travel,"Vaase, The",E315
215,9/1/07,Travel,Marshalls,E320
349,9/1/07,Women's Fashions,Rainbow,E330
155,9/1/07,Travel,Dollar Tree,E336
360,9/1/07,Travel,Metropolitian Learning Alliance,E337
90,9/1/07,Travel,Radio Shack,E338
58,9/1/07,Travel,"Archiver's, The Photo Memory Store",E339
96,9/1/07,Travel,A.C.E.S. Flight Simulation,E340
105,9/1/07,Travel,LensCrafters,E344
62,9/1/07,Travel,Chapel of Love Wedding Chapel,E345
160,9/1/07,Travel,Corda-Roy's Originals,E348
131,9/1/07,Travel,Lake Wobegon USA,E350
47,9/1/07,Travel,Oxynate,E352
168,9/1/07,Travel,Black Hills Gold Jewelers,E357
328,9/1/07,Travel,Games by James,E358
351,9/1/07,Women's Fashions,SXXY,E360
331,9/1/07,Travel,Toy Corner Express,E362
45,9/1/07,Travel,Nail Trix,E363
116,9/1/07,Travel,Alpaca Connection,E367
43,9/1/07,Travel,MasterCuts Salons,E368
31,9/1/07,Travel,Aquamassage,E370
329,9/1/07,Travel,Model Cars,E372
429,9/1/07,Restaurants & Quick Serve Restaurants,Hooters,E404
357,9/1/07,Travel,Mall of America Executive Center,E410
441,9/1/07,Restaurants & Quick Serve Restaurants,Wolfgang Puck Express®,N100
337,9/1/07,Women's Fashions,bebe sport,N101
202,9/1/07,Travel,Club Monaco,N102
336,9/1/07,Women's Fashions,bebe,N104
222,9/1/07,Travel,Puma,N106
17,9/1/07,Travel,Oakley,N107
217,9/1/07,Travel,Metropark,N108
1,9/1/07,Travel,Aldo Accessories,N114
192,9/1/07,Travel,Aeropostale,N118
212,9/1/07,Travel,Heritage 1981,N120
158,9/1/07,Travel,Street Corner News,N122
181,9/1/07,Travel,World of Charms,N124
121,9/1/07,Travel,Callister's Christmas,N127
