Row Number,Date Captured,Location Category,Store,Address
1,2024-09-02,Services,A Sure Fit,N364
2,2024-09-02,Food Court,A&W,S376
3,2024-09-02,Food Court,A&W,C376
4,2024-09-02,Services,AARP,W228
5,2024-09-02,Men's Apparel,Abercrombie & Fitch,N205
6,2024-09-02,Children's Apparel,Abercrombie Kids,N210
7,2024-09-02,n/a,Activate,E312
8,2024-09-02,Women's Apparel,Aerie,E200
9,2024-09-02,Women's Apparel,Aéropostale,N267
10,2024-09-02,Local Business,Air Traffic Toys,E315
11,2024-09-02,Toys + Games + Hobbies,Airbrush Art,UNickelodeon
12,2024-09-02,Books + Cards + Gifts,Airbudz,N6104
13,2024-09-02,Women's Apparel,Akris @ Nordstrom,N1000
14,2024-09-02,Shoes,ALDO,N188
15,2024-09-02,Women's Apparel,All Star ELITE,S210B
16,2024-09-02,Accessories,Almost Famous Body Piercing,E350
17,2024-09-02,Women's Apparel,Alpaca Connection,E367
18,2024-09-02,Women's Apparel,Altar’d State,N105
19,2024-09-02,Attractions + Entertainment,Amazing Mirror Maze,N353
20,2024-09-02,Services,Amazon Lockers,C1001
21,2024-09-02,Women's Apparel,American Eagle,N248
22,2024-09-02,Women's Apparel,American Eagle,S120
23,2024-09-02,Mall of America® Gift Cards,Anime Corner | Cart,E6109
24,2024-09-02,n/a,Anime Figures | Cart,N6103
25,2024-09-02,Toys + Games + Hobbies,Anime Fix,W370
26,2024-09-02,Women's Apparel,Ann Taylor,S218
27,2024-09-02,Women's Apparel,Anthropologie,C128
28,2024-09-02,Services,App-Based Ride Services Pickup/Drop-Off,1Level
29,2024-09-02,Services,App-Based Ride Services Pickup/Drop-Off,1Level
30,2024-09-02,Services,App-Based Ride Services Pickup/Drop-Off,1Level
31,2024-09-02,Electronics + Tech,Apple,W114
32,2024-09-02,Men's Apparel,Arc’teryx,W145
33,2024-09-02,Women's Apparel,Aritzia,W115
34,2024-09-02,Toys + Games + Hobbies,Art Cart,UNickelodeon
35,2024-09-02,Women's Apparel,Arula,S160
36,2024-09-02,Women's Apparel,Arwa Fashion,S220
37,2024-09-02,Women's Apparel,Athleta,S145
38,2024-09-02,Sweets + Treats,Auntie Anne's,N366
39,2024-09-02,Sweets + Treats,Auntie Anne's,E242
40,2024-09-02,Health + Beauty,Aveda Experience Center,W288
41,2024-09-02,Women's Apparel,A|X Armani Exchange,S141
42,2024-09-02,Attractions + Entertainment,B&B Theatres Bloomington 13 at Mall of America®,S401
43,2024-09-02,Luggage + Bags,Baggallini,S280
44,2024-09-02,Electronics + Tech,Bamboo Cases | Kiosk,N6111
45,2024-09-02,Women's Apparel,Banana Republic,W100A
46,2024-09-02,Jewelry + Watches,Banter by Piercing Pagoda,W1808
47,2024-09-02,Books + Cards + Gifts,Barnes & Noble,E118
48,2024-09-02,Local Business,Baseus by 4 Less Tech,E357
49,2024-09-02,Health + Beauty,Bath & Body Works,N172
50,2024-09-02,Health + Beauty,Bath & Body Works,S234A
51,2024-09-02,Sweets + Treats,Beard Papa's,N375
52,2024-09-02,Books + Cards + Gifts,Beef Jerky Experience,N341
53,2024-09-02,Full Service Restaurants,Benihana,S358
54,2024-09-02,Health + Beauty,Blasted Ink,E356
55,2024-09-02,Jewelry + Watches,Body Corner | Cart,N6113
56,2024-09-02,Food Court,Bonchon Korean Fried Chicken,S372
57,2024-09-02,Shoes,Boot Barn,N386
58,2024-09-02,Men's Apparel,BOSS,S176
59,2024-09-02,Books + Cards + Gifts,BoxLunch,N134
60,2024-09-02,Services,BPD,E217
61,2024-09-02,Luggage + Bags,Brighton,S224
62,2024-09-02,Health + Beauty,Brow Art 23,E362
63,2024-09-02,Women's Apparel,Brunello Cucinelli Boutique @ Nordstrom,N1000
64,2024-09-02,Full Service Restaurants,Bubba Gump Shrimp Co.,S396
65,2024-09-02,Women's Apparel,Buckle,E203
66,2024-09-02,Full Service Restaurants,Buffalo Wild Wings,S312
67,2024-09-02,Toys + Games + Hobbies,Build-A-Bear Workshop®,E172
68,2024-09-02,Women's Apparel,Burberry,S178
69,2024-09-02,Fast Casual,Burger Burger,S321
70,2024-09-02,Food Court,Burger King,C360
71,2024-09-02,Food Court,Bussin Birria Tacos,C332
72,2024-09-02,Full Service Restaurants,Cadillac Ranch,S352
73,2024-09-02,Men's Apparel,Canada Goose,W162
74,2024-09-02,Full Service Restaurants,Cantina Laredo,W300
75,2024-09-02,Home,Canvas Corner,N314
