Original_Address,Direction,Direction_Full,Floor,Room
E114,E,East,1,14
N394,N,North,3,94
E262,E,East,2,62
E168,E,East,1,68
E314,E,East,3,14
N365,N,North,3,65
W391,W,West,3,91
N294,N,North,2,94
W108,W,West,1,08
E266,E,East,2,66
W360,W,West,3,60
E275,E,East,2,75
W209,W,West,2,09
W144,W,West,1,44
N276,N,North,2,76
S110,S,South,1,10
S160,S,South,1,60
N288,N,North,2,88
S140,S,South,1,40
E212,E,East,2,12
W200,W,West,2,00
S200,S,South,2,00
E248,E,East,2,48
E268,E,East,2,68
N364,N,North,3,64
S132,S,South,1,32
N392,N,North,3,92
N275,N,North,2,75
N144,N,North,1,44
E208,E,East,2,08
W208,W,West,2,08
W158,W,West,1,58
E163,E,East,1,63
W274,W,West,2,74
E336,E,East,3,36
E200,E,East,2,00
W123,W,West,1,23
E122,E,East,1,22
N122,N,North,1,22
S258,S,South,2,58
W133,W,West,1,33
W236,W,West,2,36
N366,N,North,3,66
E108,E,East,1,08
E104,E,East,1,04
W110,W,West,1,10
N114,N,North,1,14
N367,N,North,3,67
E344,E,East,3,44
W296,W,West,2,96
N236,N,North,2,36
E142,E,East,1,42
W132,W,West,1,32
E357,E,East,3,57
N218,N,North,2,18
N174,N,North,1,74
E296,E,East,2,96
W154,W,West,1,54
S292,S,South,2,92
E280,E,East,2,80
E112,E,East,1,12
W278,W,West,2,78
N124,N,North,1,24
W268,W,West,2,68
N127,N,North,1,27
E240,E,East,2,40
S290,S,South,2,90
W372,W,West,3,72
W385,W,West,3,85
W230,W,West,2,30
S212,S,South,2,12
S225,S,South,2,25
N312,N,North,3,12
E338,E,East,3,38
S208,S,South,2,08
S112,S,South,1,12
W260,W,West,2,60
E372,E,East,3,72
N120,N,North,1,20
E292,E,East,2,92
W135,W,West,1,35
W288,W,West,2,88
W262,W,West,2,62
N270,N,North,2,70
N192,N,North,1,92
W390,W,West,3,90
W383,W,West,3,83
E154,E,East,1,54
S143,S,South,1,43
N172,N,North,1,72
W148,W,West,1,48
S300,S,South,3,00
S170,S,South,1,70
N258,N,North,2,58
W364,W,West,3,64
E368,E,East,3,68
E363,E,East,3,63
W292,W,West,2,92
N219,N,North,2,19
S168,S,South,1,68
W134,W,West,1,34
E152,E,East,1,52
W138,W,West,1,38
S154,S,South,1,54
E290,E,East,2,90
S206,S,South,2,06
N368,N,North,3,68
W387,W,West,3,87
N116,N,North,1,16
E304,E,East,3,04
N268,N,North,2,68
E156,E,East,1,56
W362,W,West,3,62
E145,E,East,1,45
E315,E,East,3,15
W206,W,West,2,06
E282,E,East,2,82
S224,S,South,2,24
N286,N,North,2,86
N168,N,North,1,68
E370,E,East,3,70
E246,E,East,2,46
E160,E,East,1,60
E348,E,East,3,48
N308,N,North,3,08
N314,N,North,3,14
N378,N,North,3,78
E284,E,East,2,84
N142,N,North,1,42
E350,E,East,3,50
W380,W,West,3,80
E352,E,East,3,52
N132,N,North,1,32
E110,E,East,1,10
N128,N,North,1,28
S322,S,South,3,22
W160,W,West,1,60
E157,E,East,1,57
W368,W,West,3,68
S184,S,South,1,84
S254,S,South,2,54
E214,E,East,2,14
W156,W,West,1,56
W384,W,West,3,84
E128,E,East,1,28
W382,W,West,3,82
E244,E,East,2,44
S284,S,South,2,84
E362,E,East,3,62
E367,E,East,3,67
W161,W,West,1,61
E285,E,East,2,85
N154,N,North,1,54
W162,W,West,1,62
W386,W,West,3,86
W388,W,West,3,88
S222,S,South,2,22
N232,N,North,2,32
N300,N,North,3,00
N316,N,North,3,16
S255,S,South,2,55
N170,N,North,1,70
N384,N,North,3,84
S180,S,South,1,80
N272,N,North,2,72
E118,E,East,1,18
N372,N,North,3,72
E174,E,East,1,74
W392,W,West,3,92
E164,E,East,1,64
W366,W,West,3,66
S380,S,South,3,80
E180,E,East,1,80
N194,N,North,1,94
E281,E,East,2,81
E316,E,East,3,16
N126,N,North,1,26
S336,S,South,3,36
W326,W,West,3,26
E306,E,East,3,06
W166,W,West,1,66
W126,W,West,1,26
E283,E,East,2,83
E356,E,East,3,56
