FID,Citation,Date,Address,X_Coord,Y_Coord,Ordinance,Ordinanc_1,Ward,Neighborho,Community,Day_ID,x,y
1,271115543000,12/29/2015 12:00:00 AM,3046 BLOOMINGTON AVE S,-10380826,5613262,478.1000(A),SNOW EMERGENCY PARK,9,Powderhorn Park,Powderhorn,Day 1,-10380826,5613262
2,271115492000,12/29/2015 12:00:00 AM,2940 CHICAGO AVE,-10381959,5613506,478.1000(A),SNOW EMERGENCY PARK,6,Phillips West,Phillips,Day 1,-10381959,5613506
3,271115492000,12/29/2015 12:00:00 AM,2933 CHICAGO AVE,-10381947,5613520,478.1000(A),SNOW EMERGENCY PARK,9,Midtown Phillips,Phillips,Day 1,-10381947,5613520
4,271115559000,12/29/2015 12:00:00 AM,2938 27TH AVE S,-10378669,5613568,478.1000(A),SNOW EMERGENCY PARK,2,Longfellow,Longfellow,Day 1,-10378669,5613568
5,271115543000,12/29/2015 12:00:00 AM,2914 BLOOMINGTON AVE S,-10380826,5613620,478.1000(A),SNOW EMERGENCY PARK,9,Midtown Phillips,Phillips,Day 1,-10380826,5613620
6,271115543000,12/29/2015 12:00:00 AM,2906 BLOOMINGTON AVE S,-10380826,5613640,478.1000(A),SNOW EMERGENCY PARK,9,Midtown Phillips,Phillips,Day 1,-10380826,5613640
7,271115543000,12/29/2015 12:00:00 AM,2904 BLOOMINGTON AVE S,-10380825,5613645,478.1000(A),SNOW EMERGENCY PARK,9,Midtown Phillips,Phillips,Day 1,-10380825,5613645
8,271115543000,12/29/2015 12:00:00 AM,2851 BLOOMINGTON AVE S,-10380813,5613809,478.1000(A),SNOW EMERGENCY PARK,9,East Phillips,Phillips,Day 1,-10380813,5613809
9,271115543000,12/29/2015 12:00:00 AM,2847 BLOOMINGTON AVE S,-10380813,5613820,478.1000(A),SNOW EMERGENCY PARK,9,East Phillips,Phillips,Day 1,-10380813,5613820
10,271115543000,12/29/2015 12:00:00 AM,2845 BLOOMINGTON AVE S,-10380813,5613826,478.1000(A),SNOW EMERGENCY PARK,9,East Phillips,Phillips,Day 1,-10380813,5613826
11,271115497000,12/29/2015 12:00:00 AM,2845 27TH AVE S,-10378659,5613835,478.1000(A),SNOW EMERGENCY PARK,2,Longfellow,Longfellow,Day 1,-10378659,5613835
12,271115497000,12/29/2015 12:00:00 AM,2843 27TH AVE S,-10378659,5613840,478.1000(A),SNOW EMERGENCY PARK,2,Longfellow,Longfellow,Day 1,-10378659,5613840
13,271115543000,12/29/2015 12:00:00 AM,2838 BLOOMINGTON AVE S,-10380825,5613843,478.1000(A),SNOW EMERGENCY PARK,9,Midtown Phillips,Phillips,Day 1,-10380825,5613843
14,271115543000,12/29/2015 12:00:00 AM,2836 BLOOMINGTON AVE S,-10380825,5613849,478.1000(A),SNOW EMERGENCY PARK,9,Midtown Phillips,Phillips,Day 1,-10380825,5613849
15,271115559000,12/29/2015 12:00:00 AM,2839 27TH AVE S,-10378659,5613851,478.1000(A),SNOW EMERGENCY PARK,2,Longfellow,Longfellow,Day 1,-10378659,5613851
