OBJECTID,Citation_N,Date,Address,X_Coordina,Y_Coordina,Ordinance,Ordinanc_1,Ward,Neighborho,Community,Day_ID,TowDist,x,y
1,271116560000,1/11/2017 12:00:00 AM,2802 EMERSON AVE S,-10385494,5613945,478.1000(A),SNOW EMERGENCY PARK,10,Lowry Hill East,Calhoun-Isles,1,3,-10385494,5613945
2,271116560000,1/11/2017 12:00:00 AM,2806 EMERSON AVE S,-10385494,5613933,478.1000(A),SNOW EMERGENCY PARK,10,Lowry Hill East,Calhoun-Isles,1,3,-10385494,5613933
3,271116577000,1/11/2017 12:00:00 AM,4514 BRYANT AVE N,-10385144,5627346,478.1000(A),SNOW EMERGENCY PARK,4,Lind-Bohanon,Camden,1,1,-10385144,5627346
4,271116560000,1/11/2017 12:00:00 AM,2820 EMERSON AVE S,-10385495,5613893,478.1000(A),SNOW EMERGENCY PARK,10,Lowry Hill East,Calhoun-Isles,1,3,-10385495,5613893
5,271116570000,1/11/2017 12:00:00 AM,427 15TH ST W,-10384389,5616489,478.1000(A),SNOW EMERGENCY PARK,7,Loring Park,Central,1,3,-10384389,5616489
6,271116570000,1/11/2017 12:00:00 AM,425 15TH ST W,-10384385,5616489,478.1000(A),SNOW EMERGENCY PARK,7,Loring Park,Central,1,3,-10384385,5616489
7,271116572000,1/11/2017 12:00:00 AM,3022 CHICAGO AVE S,-10381959,5613329,478.1000(A),SNOW EMERGENCY PARK,9,Central,Powderhorn,1,5,-10381959,5613329
8,271116577000,1/11/2017 12:00:00 AM,4522 BRYANT AVE N,-10385144,5627367,478.1000(A),SNOW EMERGENCY PARK,4,Lind-Bohanon,Camden,1,1,-10385144,5627367
9,271116343000,1/11/2017 12:00:00 AM,1106 BROADWAY W,-10385468,5621395,478.1000(A),SNOW EMERGENCY PARK,5,Jordan,Near North,1,1,-10385468,5621395
10,271116560000,1/11/2017 12:00:00 AM,2832 EMERSON AVE S,-10385495,5613858,478.1000(A),SNOW EMERGENCY PARK,10,Lowry Hill East,Calhoun-Isles,1,3,-10385495,5613858
11,271116572000,1/11/2017 12:00:00 AM,3025 CHICAGO AVE S,-10381947,5613324,478.1000(A),SNOW EMERGENCY PARK,9,Powderhorn Park,Powderhorn,1,6,-10381947,5613324
