OBJECTID,Call_Taken,Customer,Location,Latitude,Longitude,Ward,Neighborhood,Community,Day,TowDist,x,y
1,01/12/2017 01:02am,Snow Emergency,"4032 Bloomington Avenue South,Minneapolis,MN",44.929368,-93.252415,8,Bancroft,Powderhorn,2,6,533909.408707522,150437.578536533
2,01/12/2017 08:22am,Snow Emergency,"966 41st st e,Minneapolis,MN",44.928752,-93.260403,8,Bancroft,Powderhorn,2,6,531840.763807676,150209.733843304
3,01/12/2017 08:33am,Snow Emergency,"4042 14tbh ave s,Minneapolis,MN",44.929244,-93.254955,8,Bancroft,Powderhorn,2,6,533251.590578556,150391.313302443
4,01/12/2017 08:39am,Snow Emergency,"1532 41st st e,Minneapolis,MN",44.928724,-93.253302,8,Bancroft,Powderhorn,2,6,533680.042094919,150202.396202445
5,01/12/2017 09:31am,Snow Emergency,"4138 12th Avenue South,Minneapolis,MN",44.927566,-93.25749,8,Bancroft,Powderhorn,2,6,532595.944826839,149778.458454928
6,01/12/2017 09:43am,Snow Emergency,"4020 15th Ave. S.,Minneapolis,MN",44.929619,-93.253683,8,Bancroft,Powderhorn,2,6,533580.835416336,150528.568822026
7,01/12/2017 09:48am,Snow Emergency,"3836 13th ave s,Minneapolis,MN",44.932969,-93.256427,8,Bancroft,Powderhorn,2,6,532868.19690232,151748.905570257
8,01/12/2017 09:48am,Snow Emergency,"4018 15th Avenue South,Minneapolis,MN",44.929619,-93.253683,8,Bancroft,Powderhorn,2,6,533580.835416336,150528.568822026
9,01/12/2017 10:24am,Snow Emergency,"3938 14th ave so,Minneapolis,MN",44.931155,-93.25495,8,Bancroft,Powderhorn,2,6,533251.781309999,151088.095566401
10,01/12/2017 10:40am,Snow Emergency,"3912 13th ave s,Minneapolis,MN",44.931895,-93.256441,8,Bancroft,Powderhorn,2,6,532865.184370826,151357.302678808
11,01/12/2017 10:54am,Snow Emergency,"4102 10th Avenue South,Minneapolis,MN",44.928608,-93.260011,8,Bancroft,Powderhorn,2,6,531942.377438174,150157.383728375
12,01/12/2017 11:00am,Snow Emergency,"1364 39th Street East,Minneapolis,MN",44.932347,-93.255368,8,Bancroft,Powderhorn,2,6,533142.831426778,151522.546104549
13,01/12/2017 12:02pm,Snow Emergency,"3904 17th ave s,Minneapolis,MN",44.932047,-93.250215,8,Bancroft,Powderhorn,2,6,534477.629385805,151415.311774907
14,01/13/2017 08:34am,Snow Emergency,"4019 14th Ave. S.,Minneapolis,MN",44.929624,-93.254917,8,Bancroft,Powderhorn,3,6,533261.213415712,150529.882932894
15,01/13/2017 08:44am,Snow Emergency,"1515 41st st,Minneapolis,MN",44.928701,-93.253507,8,Bancroft,Powderhorn,3,6,533626.957422171,150193.924834187
16,01/13/2017 09:30am,Snow Emergency,"4101 12th ave s,Minneapolis,MN",44.92859,-93.257166,8,Bancroft,Powderhorn,3,6,532679.285716384,150151.955311056
17,01/13/2017 09:47am,Snow Emergency,"4139 17th ave so,Minneapolis,MN",44.927562,-93.249462,8,Bancroft,Powderhorn,3,6,534675.358172701,149780.33290907
18,01/13/2017 10:14am,Snow Emergency,"3919 13th ave s,Minneapolis,MN",44.93171,-93.256168,8,Bancroft,Powderhorn,3,6,532935.997340005,151289.959826447
19,01/13/2017 11:30am,Snow Emergency,"4121 11th ave s,Minneapolis,MN",44.928059,-93.258411,8,Bancroft,Powderhorn,3,6,532357.110338938,149957.844737572
20,01/13/2017 11:32am,Snow Emergency,"3833 11th ave s,Minneapolis,MN",44.93309,-93.258427,8,Bancroft,Powderhorn,3,6,532350.137963706,151792.219134357
21,01/12/2017 12:33pm,Snow Emergency,"742 Polk St ne,Minneapolis,MN",44.998131,-93.244828,3,Beltrami,Northeast,2,2,535831.666806744,175513.030085409
22,01/12/2017 12:49pm,Snow Emergency,"750 Buchanan St ne,Minneapolis,MN",44.998382,-93.239983,3,Beltrami,Northeast,2,2,537084.916984019,175606.729819829
23,01/12/2017 12:50pm,Snow Emergency,"740 Buchanan st ne,Minneapolis,MN",44.998099,-93.239735,3,Beltrami,Northeast,2,2,537149.257667734,175503.655977162
24,01/12/2017 01:08pm,Snow Emergency,"414 Buchanan St ne,Minneapolis,MN",44.993796,-93.239969,3,Beltrami,Northeast,2,2,537091.497706672,173934.592163353
25,01/12/2017 01:09pm,Snow Emergency,"620 Buchanan St ne,Minneapolis,MN",44.995796,-93.239953,3,Beltrami,Northeast,2,2,537094.346630284,174663.837738287
26,01/12/2017 01:10pm,Snow Emergency,"432 Buchanan st ne,Minneapolis,MN",44.994276,-93.239983,3,Beltrami,Northeast,2,2,537087.565994511,174109.60281954
27,01/12/2017 01:32pm,Snow Emergency,"1308 Summer st ne,Minneapolis,MN",44.996919,-93.240874,3,Beltrami,Northeast,2,2,536855.352436952,175072.885071839
28,01/13/2017 11:56am,Snow Emergency,"611 Fillmore st ne,Minneapolis,MN",44.995516,-93.242228,3,Beltrami,Northeast,3,2,536505.953198987,174560.711183656
29,01/13/2017 11:57am,Snow Emergency,"719 Tyler st ne,Minneapolis,MN",44.99738,-93.246062,3,Beltrami,Northeast,3,2,535512.892443813,175238.657389195
30,01/12/2017 12:45am,Snow Emergency,"1900 2nd st ne,Minneapolis,MN",45.007453,-93.266201,3,Bottineau,Northeast,2,2,530297.509693813,178903.293303627
31,01/13/2017 08:18am,Snow Emergency,"2001 3rd St n,Minneapolis,MN",45.008718,-93.26432,3,Bottineau,Northeast,3,2,530783.372314623,179365.24691379
32,01/13/2017 11:31am,Snow Emergency,"2215 Grand st ne,Minneapolis,MN",45.010596,-93.269884,3,Bottineau,Northeast,3,2,529343.258907215,180047.939337141
33,01/13/2017 12:27pm,Snow Emergency,"305 17th ave ne,Minneapolis,MN",45.005424,-93.264322,3,Bottineau,Northeast,3,2,530784.619307208,178164.18740258
34,01/11/2017 10:52pm,Snow Emergency,"3032 DuPont Ave s,Minneapolis,MN",44.947195,-93.293507,10,CARAG,Calhoun Isles,1,5,523258.889491076,156923.091452401
35,01/11/2017 10:59pm,Snow Emergency,"3040 DuPont Ave s,Minneapolis,MN",44.946856,-93.293554,10,CARAG,Calhoun Isles,1,5,523246.856582785,156799.47278259
36,01/12/2017 03:51am,Snow Emergency,"3500 LYNDALE AVE S,Minneapolis,MN",44.93938,-93.288521,10,CARAG,Calhoun Isles,2,5,524553.257225628,154075.084873305
37,01/12/2017 04:19am,Snow Emergency,"3300 block of Lyndale Avenue South,Minneapolis,MN",44.942787,-93.288192,10,CARAG,Calhoun Isles,2,5,524636.998444091,155317.432765768
38,01/12/2017 04:22am,Snow Emergency,"3400 block of Lyndale ave s,Minneapolis,MN",44.941135,-93.288533,10,CARAG,Calhoun Isles,2,5,524549.40094255,154714.9827859
39,01/12/2017 11:53am,Snow Emergency,"3328 fremont Ave s,Minneapolis,MN",44.942028,-93.296165,10,CARAG,Calhoun Isles,2,5,522572.6761361,155038.365940052
40,01/12/2017 02:11pm,Snow Emergency,"3124 Girard ave s,Minneapolis,MN",44.945673,-93.297346,10,CARAG,Calhoun Isles,2,5,522265.439692561,156367.066295254
41,01/12/2017 02:12pm,Snow Emergency,"3108 girard ave s,Minneapolis,MN",44.94615,-93.297393,10,CARAG,Calhoun Isles,2,5,522253.085228289,156540.975339691
42,01/12/2017 02:57pm,Snow Emergency,"3220 girard ave s,Minneapolis,MN",44.944048,-93.297479,10,CARAG,Calhoun Isles,2,5,522231.628795567,155774.527730131
43,01/12/2017 02:59pm,Snow Emergency,"3336 Fremont ave s,Minneapolis,MN",44.941814,-93.296169,10,CARAG,Calhoun Isles,2,5,522571.724217578,154960.336924326
44,01/12/2017 03:33pm,Snow Emergency,"1012 33rd st w,Minneapolis,MN",44.942924,-93.292491,10,CARAG,Calhoun Isles,2,5,523523.710204073,155366.107444111
45,01/12/2017 04:05pm,Snow Emergency,"3344 Fremont ave s,Minneapolis,MN",44.941593,-93.29617,10,CARAG,Calhoun Isles,2,5,522571.551943733,154879.756314721
46,01/12/2017 04:08pm,Snow Emergency,"3204 Fremont ave s,Minneapolis,MN",44.944454,-93.29606,10,CARAG,Calhoun Isles,2,5,522598.913618405,155922.95458669
47,01/13/2017 09:24am,Snow Emergency,"3229 Girard,Minneapolis,MN",44.94377,-93.296809,10,CARAG,Calhoun Isles,3,5,522405.230829989,155673.348825538
48,01/13/2017 10:07am,Snow Emergency,"3321 Fremont Ave s,Minneapolis,MN",44.942243,-93.295438,10,CARAG,Calhoun Isles,3,5,522760.851366982,155116.961876235
49,01/13/2017 10:52am,Snow Emergency,"1325 33rd st w,Minneapolis,MN",44.942894,-93.296127,10,CARAG,Calhoun Isles,3,5,522582.176528663,155354.134165303
