X,Y,OBJECTID,Call_Taken,Tow_Reason,Location,Latitude,Longitude,Ward,Community,Neighborho,Tow_Zone,Day,Snow_Emerg
-93.2471309995959,44.9847310001356,1,03/10/2019 09:45pm,Snow Emergency,"592 4TH ST SE,Minneapolis,MN",44.984731,-93.247131,3,University,Marcy Holmes,4,1,Diamond Lake
-93.2785669995673,44.9677199998782,2,03/10/2019 09:45pm,Snow Emergency,"w 15th/ oak grove,Minneapolis,MN",44.96772,-93.278567,7,Central,Loring Park,3,1,Diamond Lake
-93.2324590001827,44.9331239998727,3,03/10/2019 09:47pm,Snow Emergency,"3832 28th Avenue s,Minneapolis,MN",44.933124,-93.232459,12,Powderhorn,Standish,6,1,Diamond Lake
-93.2485860001437,44.9853059996722,4,03/10/2019 09:51pm,Snow Emergency,"464 4TH ST SE,Minneapolis,MN",44.985306,-93.248586,3,University,Marcy Holmes,4,1,Diamond Lake
-93.287992999877,45.0002499999376,5,03/10/2019 09:54pm,Snow Emergency,"2101-2199 lyndale ave n ,Minneapolis,MN",45.00025,-93.287993,5,Near North,Hawthorne,1,1,Diamond Lake
-93.2796249997939,45.0050069998732,6,03/10/2019 09:55pm,Snow Emergency,"2502 2ND ST N,Minneapolis,MN",45.005007,-93.279625,5,Near North,Hawthorne,1,1,Diamond Lake
-93.2705830001053,44.9230930004417,7,03/10/2019 09:55pm,Snow Emergency,"4400 block of 4th ave s,Minneapolis,MN",44.923093,-93.270583,8,Nokomis,Regina,5,1,Diamond Lake
-93.2802370001374,45.0058029997087,8,03/10/2019 09:56pm,Snow Emergency,"2552 2 st n,Minneapolis,MN",45.005803,-93.280237,5,Near North,Hawthorne,1,1,Diamond Lake
-93.2805160004131,45.0048380001736,9,03/10/2019 09:59pm,Snow Emergency,"2501 2nd st n ,Minneapolis,MN",45.004838,-93.280516,5,Near North,Hawthorne,1,1,Diamond Lake
-93.2805160004131,45.0048380001736,10,03/10/2019 10:00pm,Snow Emergency,"2501 2nd st n,Minneapolis,MN",45.004838,-93.280516,5,Near North,Hawthorne,1,1,Diamond Lake
-93.2785669995673,44.9677199998782,11,03/10/2019 10:02pm,Snow Emergency,"w 15th/ oak grove,Minneapolis,MN",44.96772,-93.278567,7,Central,Loring Park,3,1,Diamond Lake
-93.2704850000827,44.9213639998488,12,03/10/2019 10:06pm,Snow Emergency,"4500 block of 4th ave s,Minneapolis,MN",44.921364,-93.270485,8,Nokomis,Regina,5,1,Diamond Lake
-93.2802370001374,45.0058029997087,13,03/10/2019 10:06pm,Snow Emergency,"2552 2 St N,Minneapolis,MN",45.005803,-93.280237,5,Near North,Hawthorne,1,1,Diamond Lake
-93.2798670001619,44.9930760000574,14,03/10/2019 10:11pm,Snow Emergency,"1348 2nd st n,Minneapolis,MN",44.993076,-93.279867,5,Near North,Near - North,1,1,Diamond Lake
-93.2831010000111,44.9675530002708,15,03/10/2019 10:11pm,Snow Emergency,"315 15th st w,Minneapolis,MN",44.967553,-93.283101,7,Central,Loring Park,3,1,Diamond Lake
-93.2371160000034,45.0312670003718,16,03/10/2019 10:13pm,Snow Emergency,"3498 Johnson St. Ne,Minneapolis,MN",45.031267,-93.237116,1,Northeast,Waite Park,2,1,Diamond Lake
-93.2778190001467,44.9896460001628,17,03/10/2019 10:20pm,Snow Emergency,"815 2ND ST N,Minneapolis,MN",44.989646,-93.277819,3,Central,North Loop,1,1,Diamond Lake
-93.2537809995934,45.0011490000264,18,03/10/2019 10:20pm,Snow Emergency,"679 13th ave ne,Minneapolis,MN",45.001149,-93.253781,1,Northeast,Logan Park,2,1,Diamond Lake
-93.2628820002041,44.9446210003589,19,03/10/2019 10:21pm,Snow Emergency,"3200 CHICAGO AVE S,Minneapolis,MN",44.944621,-93.262882,9,Powderhorn,Central,5,1,Diamond Lake
-93.2805160004131,45.0048380001736,20,03/10/2019 10:22pm,Snow Emergency,"2501 2nd st n ,Minneapolis,MN",45.004838,-93.280516,5,Near North,Hawthorne,1,1,Diamond Lake
-93.2629790001807,44.9456310001706,21,03/10/2019 10:22pm,Snow Emergency,"3132 Chicago Ave S,Minneapolis,MN",44.945631,-93.262979,9,Powderhorn,Central,5,1,Diamond Lake
-93.2785669995673,44.9677199998782,22,03/10/2019 10:24pm,Snow Emergency,"OAK GROVE ST / 15TH AVE W,Minneapolis,MN",44.96772,-93.278567,7,Central,Loring Park,3,1,Diamond Lake
-93.2761000000149,44.9883899997987,23,03/10/2019 10:25pm,Snow Emergency,"701 2 st N,Minneapolis,MN",44.98839,-93.2761,3,Central,North Loop,1,1,Diamond Lake
-93.2471309995959,44.9847310001356,24,03/10/2019 10:25pm,Snow Emergency,"592 4TH ST SE,Minneapolis,MN",44.984731,-93.247131,3,University,Marcy Holmes,4,1,Diamond Lake
-93.2838579998468,44.9677670002469,25,03/10/2019 10:26pm,Snow Emergency,"329 15TH ST W,Minneapolis,MN",44.967767,-93.283858,7,Central,Loring Park,3,1,Diamond Lake
-93.2558820002541,45.001114000211,26,03/10/2019 10:28pm,Snow Emergency,"641 13th ave Ne,Minneapolis,MN",45.001114,-93.255882,1,Northeast,Logan Park,2,1,Diamond Lake
-93.2880360000613,45.0167079998744,27,03/10/2019 10:29pm,Snow Emergency,"3400 lyndale av no,Minneapolis,MN",45.016708,-93.288036,4,Camden,McKinley,1,1,Diamond Lake
-93.2629400001808,44.9412240001875,28,03/10/2019 10:29pm,Snow Emergency,"3400 CHICAGO AVE S,Minneapolis,MN",44.941224,-93.26294,9,Powderhorn,Central,5,1,Diamond Lake
-93.2471309995959,44.9847310001356,29,03/10/2019 10:30pm,Snow Emergency,"592 4TH ST SE,Minneapolis,MN",44.984731,-93.247131,3,University,Marcy Holmes,4,1,Diamond Lake
-93.2558820002541,45.001114000211,30,03/10/2019 10:32pm,Snow Emergency,"641 13th ave ne,Minneapolis,MN",45.001114,-93.255882,1,Northeast,Logan Park,2,1,Diamond Lake
-93.2745119996291,44.98761299994,31,03/10/2019 10:33pm,Snow Emergency,"561 2ND ST N,Minneapolis,MN",44.987613,-93.274512,3,Central,North Loop,1,1,Diamond Lake
-93.2755069996483,44.9887639999587,32,03/10/2019 10:34pm,Snow Emergency,"680 2nd st n,Minneapolis,MN",44.988764,-93.275507,3,Central,North Loop,1,1,Diamond Lake
-93.2813249999488,44.9678949998544,33,03/10/2019 10:35pm,Snow Emergency,"200 15TH ST E,Minneapolis,MN",44.967895,-93.281325,7,Central,Loring Park,3,1,Diamond Lake
-93.27326499968,44.986357999622,34,03/10/2019 10:40pm,Snow Emergency,"401 2ND ST N,Minneapolis,MN",44.986358,-93.273265,3,Central,North Loop,3,1,Diamond Lake
-93.2816559999244,44.9680319998769,35,03/10/2019 10:45pm,Snow Emergency,"214 15th st w ,Minneapolis,MN",44.968032,-93.281656,7,Central,Loring Park,3,1,Diamond Lake
