X,Y,OBJECTID,Citation_N,Service_Da,Address,Ordinance,Latitude,Longitude,Ward,Community,Neighborho,Tow_Zone,Day
-93.2511640003183,44.9598539995625,1,271119333173,2019/01/29 00:00:00+00,2302 16TH AVE S,478.1000(b),44.959854,-93.251164,6,Phillips,Ventura Village,3,2
-93.2511699996957,44.9605439999057,2,271119333172,2019/01/29 00:00:00+00,2204 16TH AVE S,478.1000(b),44.960544,-93.25117,6,Phillips,Ventura Village,3,2
-93.2511689996496,44.9604979995831,3,271119333171,2019/01/29 00:00:00+00,2206 16TH AVE S,478.1000(b),44.960498,-93.251169,6,Phillips,Ventura Village,3,2
-93.2511479995805,44.9604649998599,4,271119333170,2019/01/29 00:00:00+00,2208 16TH AVE S,478.1000(b),44.960465,-93.251148,6,Phillips,Ventura Village,3,2
-93.2511569999955,44.9603720000678,5,271119333169,2019/01/29 00:00:00+00,2210 16TH AVE S,478.1000(b),44.960372,-93.251157,6,Phillips,Ventura Village,3,2
-93.2511349998803,44.9620389996002,6,271119333168,2019/01/29 00:00:00+00,2014 16TH AVE S,478.1000(b),44.962039,-93.251135,6,Phillips,Ventura Village,3,2
-93.251141000157,44.9621199997383,7,271119333167,2019/01/29 00:00:00+00,2012 16TH AVE S,478.1000(b),44.96212,-93.251141,6,Phillips,Ventura Village,3,2
-93.2511299996497,44.9621829999455,8,271119333166,2019/01/29 00:00:00+00,2010 16TH AVE S,478.1000(b),44.962183,-93.25113,6,Phillips,Ventura Village,3,2
-93.2511339998342,44.9622549996686,9,271119333165,2019/01/29 00:00:00+00,2008 16TH AVE S,478.1000(b),44.962255,-93.251134,6,Phillips,Ventura Village,3,2
-93.2535679996634,44.9607050001357,10,271119333164,2019/01/29 00:00:00+00,2206 15TH AVE S,478.1000(b),44.960705,-93.253568,6,Phillips,Ventura Village,3,2
-93.2535800002168,44.9608060002967,11,271119333163,2019/01/29 00:00:00+00,2202 15TH AVE S,478.1000(b),44.960806,-93.25358,6,Phillips,Ventura Village,3,2
-93.2535810002629,44.9608579999967,12,271119333162,2019/01/29 00:00:00+00,2202 15TH AVE S,478.1000(b),44.960858,-93.253581,6,Phillips,Ventura Village,3,2
-93.2534959999404,44.9611699999955,13,271119333161,2019/01/29 00:00:00+00,2122 15TH AVE S,478.1000(b),44.96117,-93.253496,6,Phillips,Ventura Village,3,2
-93.2536319999168,44.9587079997744,14,271119333160,2019/01/29 00:00:00+00,2406 15TH AVE S,478.1000(b),44.958708,-93.253632,9,Phillips,Midtown Phillips,3,2
-93.2536960001702,44.9582169996149,15,271119333159,2019/01/29 00:00:00+00,2426 15TH AVE S,478.1000(b),44.958217,-93.253696,9,Phillips,Midtown Phillips,3,2
-93.2537180002855,44.9580299999845,16,271119333158,2019/01/29 00:00:00+00,2432 15TH AVE S,478.1000(b),44.95803,-93.253718,9,Phillips,Midtown Phillips,3,2
-93.2537279998473,44.9579299998696,17,271119333157,2019/01/29 00:00:00+00,2434 15TH AVE S,478.1000(b),44.95793,-93.253728,9,Phillips,Midtown Phillips,3,2
-93.2537190003316,44.9577559999395,18,271119333156,2019/01/29 00:00:00+00,2442 15TH AVE S,478.1000(b),44.957756,-93.253719,9,Phillips,Midtown Phillips,3,2
-93.253714000101,44.9577210001241,19,271119333155,2019/01/29 00:00:00+00,2444 15TH AVE S,478.1000(b),44.957721,-93.253714,9,Phillips,Midtown Phillips,3,2
-93.2537200003777,44.957182000449,20,271119333154,2019/01/29 00:00:00+00,2502 15TH AVE S,478.1000(b),44.957182,-93.25372,9,Phillips,Midtown Phillips,3,2
-93.253684999663,44.9570260004496,21,271119333153,2019/01/29 00:00:00+00,2504 15TH AVE S,478.1000(b),44.957026,-93.253685,9,Phillips,Midtown Phillips,3,2
-93.2536669997322,44.9567300002893,22,271119333152,2019/01/29 00:00:00+00,2518 15TH AVE S,478.1000(b),44.95673,-93.253667,9,Phillips,Midtown Phillips,3,2
-93.2536780002395,44.9560409999922,23,271119333151,2019/01/29 00:00:00+00,2528 15TH AVE S,478.1000(b),44.956041,-93.253678,9,Phillips,Midtown Phillips,3,2
-93.2536439995709,44.9553369999027,24,271119333150,2019/01/29 00:00:00+00,2604 15TH AVE S,478.1000(b),44.955337,-93.253644,9,Phillips,Midtown Phillips,3,2
-93.2537499999625,44.9525790004206,25,271119333149,2019/01/29 00:00:00+00,2726 15TH AVE S,478.1000(b),44.952579,-93.25375,9,Phillips,Midtown Phillips,3,2
-93.2537679998932,44.9512450000568,26,271119333148,2019/01/29 00:00:00+00,2820 15TH AVE S,478.1000(b),44.951245,-93.253768,9,Phillips,Midtown Phillips,3,2
-93.2537819996396,44.9511520002646,27,271119333147,2019/01/29 00:00:00+00,2822 15TH AVE S,478.1000(b),44.951152,-93.253782,9,Phillips,Midtown Phillips,3,2
-93.2537889999624,44.9510409996425,28,271119333146,2019/01/29 00:00:00+00,2824 15TH AVE S,478.1000(b),44.951041,-93.253789,9,Phillips,Midtown Phillips,3,2
-93.2537930001468,44.9509920000808,29,271119333145,2019/01/29 00:00:00+00,2826 15TH AVE S,478.1000(b),44.950992,-93.253793,9,Phillips,Midtown Phillips,3,2
-93.2551099997266,44.9488819999044,30,271119333144,2019/01/29 00:00:00+00,2932 14TH AVE S,478.1000(b),44.948882,-93.25511,9,Phillips,Midtown Phillips,3,2
-93.2550770000035,44.9499329998081,31,271119333143,2019/01/29 00:00:00+00,2904 14TH AVE S,478.1000(b),44.949933,-93.255077,9,Phillips,Midtown Phillips,3,2
-93.2907460000279,44.9213900001484,32,271119332482,2019/01/29 00:00:00+00,902 45TH ST W,478.1000(b),44.92139,-93.290746,13,Southwest,East Harriet,5,2
-93.2907749995666,44.921354000287,33,271119332481,2019/01/29 00:00:00+00,904 45TH ST W,478.1000(b),44.921354,-93.290775,13,Southwest,East Harriet,5,2
-93.284406999983,44.9213219997106,34,271119332480,2019/01/29 00:00:00+00,402 45TH ST W,478.1000(b),44.921322,-93.284407,8,Southwest,King Field,5,2
