X,Y,OBJECTID,Call_Taken,Community,Customer,Day,Latitude,Location,Longitude,Neighbohoo,Tow_Zone,Ward
-10378460.8419721,5618979.35744559,1,2020/02/09 00:00:00+00,University,Snow Emergency,1,44.98385,"8th st se & 15th ave se,Minneapolis,MN",-93.2313,Marcy Holmes,4,3
-10381934.5666946,5613052.91901435,2,2020/02/09 00:00:00+00,Powderhorn,Snow Emergency,1,44.946182,"3106 Chicago ave S,Minneapolis,MN",-93.262505,Powderhorn Park,6,9
-10382839.0375205,5608764.54629254,3,2020/02/09 00:00:00+00,Nokomis,Snow Emergency,1,44.91891,"4624 4th ave s,Minneapolis,MN",-93.27063,Field,5,8
-10382760.0007414,5608377.82484406,4,2020/02/09 00:00:00+00,Nokomis,Snow Emergency,1,44.91645,"4749 4th ave s ,Minneapolis,MN",-93.26992,Field,5,8
-10384748.166829,5625034.42317632,5,2020/02/09 00:00:00+00,Camden,Snow Emergency,1,45.02231,"3700 BLOCK LYNDALE AVE N,Minneapolis,MN",-93.28778,McKinley,1,4
-10382742.1896024,5610421.66222603,6,2020/02/09 00:00:00+00,Powderhorn,Snow Emergency,1,44.92945,"4033 4TH AVE S,Minneapolis,MN",-93.26976,Bryant,5,8
-10381993.0094194,5612928.35254766,7,2020/02/09 00:00:00+00,Powderhorn,Snow Emergency,1,44.94539,"3140 Chicago ave S,Minneapolis,MN",-93.26303,Central,5,9
-10382843.4903052,5608357.38885359,8,2020/02/09 00:00:00+00,Nokomis,Snow Emergency,1,44.91632,"4748 4th ave south,Minneapolis,MN",-93.27067,Field,5,8
-10384733.6953287,5623889.5372691,9,2020/02/09 00:00:00+00,Camden,Snow Emergency,1,45.01504,"3300 lyndale ave n ,Minneapolis,MN",-93.28765,McKinley,1,4
-10382824.5660201,5611064.78050357,10,2020/02/09 00:00:00+00,Powderhorn,Snow Emergency,1,44.93354,"3816 4TH AVE S,Minneapolis,MN",-93.2705,Bryant,5,8
-10384740.3745058,5622122.88705831,11,2020/02/09 00:00:00+00,Near North,Snow Emergency,1,45.00382,"2400 block Lyndale Ave N,Minneapolis,MN",-93.28771,Hawthorne,1,5
-10384733.6953287,5623889.5372691,12,2020/02/09 00:00:00+00,Camden,Snow Emergency,1,45.01504,"3300 lyndale ave n ,Minneapolis,MN",-93.28765,McKinley,1,4
-10384731.4689363,5625311.61140318,13,2020/02/09 00:00:00+00,Camden,Snow Emergency,1,45.02407,"3800 LYNDALE AVE N,Minneapolis,MN",-93.28763,Webber - Camden,1,4
-10384731.4689363,5625311.61140318,14,2020/02/09 00:00:00+00,Camden,Snow Emergency,1,45.02407,"3800 block lyndale ave n ,Minneapolis,MN",-93.28763,Webber - Camden,1,4
-10384731.4689363,5625311.61140318,15,2020/02/09 00:00:00+00,Camden,Snow Emergency,1,45.02407,"3800 block lyndale ave n ,Minneapolis,MN",-93.28763,Webber - Camden,1,4
-10381988.5566346,5612620.08967214,16,2020/02/09 00:00:00+00,Powderhorn,Snow Emergency,1,44.94343,"3242 Chicago Avenue South,Minneapolis,MN",-93.26299,Central,5,9
-10378460.8419721,5618979.35744559,17,2020/02/09 00:00:00+00,University,Snow Emergency,1,44.98385,"8th st se & 15th ave se,Minneapolis,MN",-93.2313,Marcy Holmes,4,3
-10382771.6892263,5611509.01486658,18,2020/02/09 00:00:00+00,Powderhorn,Snow Emergency,1,44.936365,"3643 4TH AVE S,Minneapolis,MN",-93.270025,Central,5,8
-10384633.5077719,5627438.05415927,19,2020/02/09 00:00:00+00,Camden,Snow Emergency,1,45.03757,"4600 LYNDALE AVE N,Minneapolis,MN",-93.28675,Camden Industrial,1,4
