X,Y,OBJECTID,Snow_Emerg,Snow_Eme_1,Snow_Eme_2,Key_,Call_Taken,Customer,Location,Latitude,Longitude,Ward,Neighborho,Community,Day,Tow_Zone
-10388170.1280039,5609503.45034476,1,Victory 2,2022-2023,4,1,2023/02/24 00:00:00+00,Snow Emergency,"3016 W 44TH ST,Minneapolis,MN",44.92361,-93.31852,13,Linden Hills,Southwest,1,5
-10381994.1226656,5613274.37448715,2,Victory 2,2022-2023,4,2,2023/02/24 00:00:00+00,Snow Emergency,"3022 Chicago Avenue South,Minneapolis,MN",44.94759,-93.26304,9,Central,Powderhorn,1,5
-10381908.4066093,5613220.89757871,3,Victory 2,2022-2023,4,3,2023/02/24 00:00:00+00,Snow Emergency,"3035 Chicago Avenue South,Minneapolis,MN",44.94725,-93.26227,9,Powderhorn Park,Powderhorn,1,6
-10388539.7087376,5609487.72833451,4,Victory 2,2022-2023,4,4,2023/02/24 00:00:00+00,Snow Emergency,"3306 44th street w,Minneapolis,MN",44.92351,-93.32184,13,Linden Hills,Southwest,1,5
-10387629.1152577,5609495.58940692,5,Victory 2,2022-2023,4,5,2023/02/24 00:00:00+00,Snow Emergency,"2700 W 44th st,Minneapolis,MN",44.92356,-93.31366,13,Linden Hills,Southwest,1,5
-10387629.1152577,5609495.58940692,6,Victory 2,2022-2023,4,6,2023/02/24 00:00:00+00,Snow Emergency,"2700 44th St W,Minneapolis,MN",44.92356,-93.31366,13,Linden Hills,Southwest,1,5
-10387629.1152577,5609495.58940692,7,Victory 2,2022-2023,4,7,2023/02/24 00:00:00+00,Snow Emergency,"2700 44th St W,Minneapolis,MN",44.92356,-93.31366,13,Linden Hills,Southwest,1,5
-10381984.1038499,5612118.39842177,8,Victory 2,2022-2023,4,8,2023/02/24 00:00:00+00,Snow Emergency,"3430 Chicago ave,Minneapolis,MN",44.94024,-93.26295,9,Central,Powderhorn,1,5
-10381984.1038499,5612118.39842177,9,Victory 2,2022-2023,4,9,2023/02/24 00:00:00+00,Snow Emergency,"3430 Chicago ave s,Minneapolis,MN",44.94024,-93.26295,9,Central,Powderhorn,1,5
-10382010.8205584,5611921.81856061,10,Victory 2,2022-2023,4,10,2023/02/24 00:00:00+00,Snow Emergency,"3500 Chicago ave s,Minneapolis,MN",44.93899,-93.26319,9,Central,Powderhorn,1,5
-10382819.5566122,5608294.35174914,11,Victory 2,2022-2023,4,11,2023/02/24 00:00:00+00,Snow Emergency,"4800 4th Ave s ,Minneapolis,MN",44.915919,-93.270455,8,Field,Nokomis,1,5
-10386357.8467136,5613538.61839449,12,Victory 2,2022-2023,4,12,2023/02/24 00:00:00+00,Snow Emergency,"2900 Irving AV S,Minneapolis,MN",44.94927,-93.30224,7,East Isles,Calhoun Isle,1,3
-10386357.8467136,5613538.61839449,13,Victory 2,2022-2023,4,13,2023/02/24 00:00:00+00,Snow Emergency,"2900 irving ave s,Minneapolis,MN",44.94927,-93.30224,7,East Isles,Calhoun Isle,1,3
-10387629.1152577,5609495.58940692,14,Victory 2,2022-2023,4,14,2023/02/24 00:00:00+00,Snow Emergency,"2700 44th ST W,Minneapolis,MN",44.92356,-93.31366,13,Linden Hills,Southwest,1,5
-10381993.0094194,5607810.34896483,15,Victory 2,2022-2023,4,15,2023/02/24 00:00:00+00,Snow Emergency,"4948 Chicago Avenue South,Minneapolis,MN",44.91284,-93.26303,8,Field,Nokomis,1,5
-10381969.8549988,5607994.57823182,16,Victory 2,2022-2023,4,16,2023/02/24 00:00:00+00,Snow Emergency,"4904 Chicago Avenue South,Minneapolis,MN",44.914012,-93.262822,8,Field,Nokomis,1,5
-10381975.1982804,5611082.07766584,17,Victory 2,2022-2023,4,17,2023/02/24 00:00:00+00,Snow Emergency,"3814 CHICAGO AVE,Minneapolis,MN",44.93365,-93.26287,8,Bryant,Powderhorn,1,5
-10381984.1038499,5612181.30494912,18,Victory 2,2022-2023,4,18,2023/02/24 00:00:00+00,Snow Emergency,"3416 chicago,Minneapolis,MN",44.94064,-93.26295,9,Central,Powderhorn,1,5
-10382841.2639129,5608582.1877157,19,Victory 2,2022-2023,4,19,2023/02/24 00:00:00+00,Snow Emergency,"4700 4th Ave S,Minneapolis,MN",44.91775,-93.27065,8,Field,Nokomis,1,5
-10386387.9029606,5612549.31649122,20,Victory 2,2022-2023,4,20,2023/02/24 00:00:00+00,Snow Emergency,"3300 irving ave s ,Minneapolis,MN",44.94298,-93.30251,10,East Bde Maka Ska,Calhoun Isle,1,5
