0,1,2,3,4,5
Club,Last Name,First Name,Position,2022 Base Salary,2022 Guar. Comp.
Atlanta United,Almada,Thiago,M-F,"$1,650,000.00","$2,332,000.00"
Atlanta United,Alonso,Osvaldo,M,"$84,000.00","$84,000.00"
Atlanta United,Ambrose,Mikey,D,"$85,444.00","$85,444.00"
Atlanta United,Araujo,Luiz,F-M,"$3,600,000.00","$4,480,333.00"
Atlanta United,Barco,Ezequiel,M,"$2,200,000.00","$2,200,000.00"
Atlanta United,Campbell,George,D,"$98,000.00","$98,000.00"
Atlanta United,Castanheira,Dylan,GK,"$85,444.00","$85,444.00"
Atlanta United,Centeno,Erik,D,"$65,500.00","$75,276.00"
Atlanta United,Chol,Machop,M,"$65,500.00","$65,500.00"
Atlanta United,Cisneros,Ronaldo,F,"$244,000.00","$244,000.00"
Atlanta United,Conway,Jackson,F,"$84,000.00","$84,000.00"
Atlanta United,De John,Alex,D,"$85,444.00","$85,444.00"
Atlanta United,Dwyer,Dom,F,"$84,000.00","$84,000.00"
Atlanta United,Franco,Alan,D,"$540,000.00","$667,500.00"
Atlanta United,Garces,Justin,GK,"$65,500.00","$65,500.00"
Atlanta United,Gudiño,Raúl,GK,"$200,000.00","$247,333.00"
Atlanta United,Gutman,Andrew,D,"$300,000.00","$331,250.00"
Atlanta United,Guzan,Brad,GK,"$445,716.00","$458,216.00"
Atlanta United,Hernandez,Ronald,D,"$300,000.00","$300,000.00"
Atlanta United,Hyndman,Emerson,M,"$657,143.00","$657,143.00"
Atlanta United,Ibarra,Franco,D-M,"$450,000.00","$520,000.00"
Atlanta United,Lennon,Brooks,D,"$500,000.00","$500,000.00"
Atlanta United,Lopez Samaniego,Erik,F,"$360,000.00","$528,300.00"
Atlanta United,Martinez,Josef,F,"$3,750,000.00","$4,141,667.00"
Atlanta United,McFadden,Aiden,D,"$65,500.00","$65,500.00"
Atlanta United,Morales,Efrain,D,"$65,500.00","$65,500.00"
Atlanta United,Moreno,Marcelino,F-M,"$460,000.00","$568,333.00"
Atlanta United,Mosquera,Edwin,M-F,"$300,000.00","$337,000.00"
Atlanta United,Purata,Juan Jose,D,"$400,000.00","$483,500.00"
