
First Name,Last Name,Team Name,Position,PA Base Salary,Guaranteed Comp
Aleksey,Miranchuk,Atlanta United,Attacking Midfield,"$3,600,000.00","$4,885,441.00"
Emmanuel,Latte Lath,Atlanta United,Center Forward,"$3,534,546.00","$4,030,546.00"
Jamal,ThiarÃ©,Atlanta United,Center Forward,"$700,000.00","$730,000.00"
Cayman,Togashi,Atlanta United,Center Forward,"$104,000.00","$104,000.00"
Enea,Mihaj,Atlanta United,Center-back,"$1,030,000.00","$1,372,000.00"
Juan,Berrocal,Atlanta United,Center-back,"$1,200,000.00","$1,200,000.00"
Stian,Gregersen,Atlanta United,Center-back,"$800,000.00","$920,000.00"
Noah,Cobb,Atlanta United,Center-back,"109,000.00","109,000.00"
Will,Reilly,Atlanta United,Central Midfield,"$80,622.00","$80,622.00"
Cooper,Sanchez,Atlanta United,Central Midfield,"$80,622.00","$80,622.00"
Steven,Alzate,Atlanta United,Central Midfield,"$1,125,200.00","$1,440,101.00"
Ajani,Fortune,Atlanta United,Central Midfield,"109,000.00","109,000.00"
Tristan,Muyumba,Atlanta United,Defensive Midfield,"$550,000.00","$591,600.00"
Bartosz,Slisz,Atlanta United,Defensive Midfield,"$670,000.00","$870,000.00"
Adyn,Torres,Atlanta United,Defensive Midfield,"$80,622.00","$80,622.00"
Josh,Cohen,Atlanta United,Goalkeeper,"$289,992.00","$328,492.00"
Brad,Guzan,Atlanta United,Goalkeeper,"$300,000.00","$312,500.00"
Jayden,Hibbert,Atlanta United,Goalkeeper,"$80,622.00","$80,622.00"
Edwin,Mosquera,Atlanta United,Left Wing,"$425,000.00","$455,833.00"
Leo,Afonso,Atlanta United,Left Wing,"$80,622.00","$80,622.00"
Saba,Lobjanidze,Atlanta United,Left Wing,"$900,000.00","$998,750.00"
Dominik,Chong Qui,Atlanta United,Left-back,"$80,622.00","$80,622.00"
Pedro,Amador,Atlanta United,Left-back,"$231,996.00","$267,608.00"
Luke,Brennan,Atlanta United,Right Midfield,"$104,000.00","$104,000.00"
Miguel,AlmirÃ³n,Atlanta United,Right Wing,"$6,056,000.00","$7,871,000.00"
Ashton,Gordon,Atlanta United,Right Wing,"$80,622.00","$80,622.00"
Matthew,Edwards,Atlanta United,Right-back,"$80,622.00","$80,622.00"
Nyk,Sessock,Atlanta United,Right-back,"$104,000.00","$104,000.00"
Ronald,HernÃ¡ndez,Atlanta United,Right-back,"$275,000.00","$290,750.00"
Brooks,Lennon,Atlanta United,Right-back,"$740,000.00","$740,000.00"
Micah,Burton,Austin FC,Attacking Midfield,"$104,000.00","$115,000.00"
Brandon,Vazquez,Austin FC,Center Forward,"$3,200,000.00","$3,551,778.00"
Diego,Rubio,Austin FC,Center Forward,"$208,000.00","$208,000.00"
Brendan,Hines-Ike,Austin FC,Center-back,"$325,000.00","$325,000.00"
Julio,Cascante,Austin FC,Center-back,"$780,000.00","$853,750.00"
Oleksandr,Svatok,Austin FC,Center-back,"$500,000.00","$505,000.00"
Mateja,DjordjeviÄ‡,Austin FC,Center-back,"337,500.00","$347,500.00"
NicolÃ¡s,Dubersarsky,Austin FC,Central Midfield,"$275,000.00","$297,986.00"
Besard,Å aboviÄ‡,Austin FC,Central Midfield,"$550,000.00","$550,000.00"
Owen,Wolff,Austin FC,Central Midfield,"$208,000.00","$221,600.00"
Daniel,Pereira,Austin FC,Central Midfield,"$475,000.00","$514,375.00"
