Club,Last Name,First Name,Position,Salary,Compensation,Year
FC Dallas,Acosta,Kellyn,M,55000,79000,2014
FC Dallas,Akindele,Tesho,F,48500,48500,2014
Vancouver Whitecaps,Adekugbe,Samuel,D,50000,55000,2014
Vancouver Whitecaps,Alderson,Bryce,M,100000,115000,2014
Chicago Fire,Alex,,M,123750,133700,2014
Chicago Fire,Amarikwa,Quincy,F,60000,60000,2014
Chicago Fire,Anangono,Juan Luis,F,175000,175000,2014
Portland Timbers,Adi,Fanendo,F,580800,593300,2014
Portland Timbers,Alhassan,Kalif,M,120000,120000,2014
Columbus Crew,Anor,Bernardo,M,48825,48825,2014
Columbus Crew,Arrieta,Jairo,F,135000,135000,2014
Colorado Rapids,Agbossoumonde,Gale,D,48825,55491.67,2014
Colorado Rapids,Alvarez,Carlos,M,73150,108150,2014
Colorado Rapids,Armstrong,David,M,36504,36504,2014
New England Revolution,Akpan,Andre,F,48500,51333.33,2014
New England Revolution,Alston,Kevin,D,125000,143333.33,2014
DC United,Arnaud,Davy,M,212500,212500,2014
DC United,Attakora,Nana,D,62500,65575.52,2014
Houston Dynamo,Arena,Anthony,D,36504,36504,2014
Houston Dynamo,Ashe,Corey,M,165000,174750,2014
New York Red Bulls,Alexander,Eric,M,115000,128750,2014
Real Salt Lake,Allen,Jordan,M/F,80000,90000,2014
Seattle Sounders FC,Alonso,Osvaldo,M,400000,400000,2014
Seattle Sounders FC,Anibaba,Jalil,D,119620,159620,2014
Seattle Sounders FC,Apam,Onyekachi,D,60000,60000,2014
Orlando City SC,Alvarez,Yordany,M,48500,56000,2014
Toronto FC,Aparicio,Manuel,M,36504,36504,2014
Real Salt Lake,Attinella,Jeff,GK,48825,48825,2014
Chivas USA,Avila,Eric,M,115000,135000,2014
Seattle Sounders FC,Azira,Michael,D,48504,51147.54,2014
Columbus Crew,Baiden,Kingsley,M,36504,36504,2014
Real Salt Lake,Balchan,Rich,D,48500,48500,2014
Vancouver Whitecaps,Ballouchy,Mehdi,M,65000,65000,2014
San Jose Earthquakes,Barklage,Brandon,M,65000,68415.21,2014
New England Revolution,Barnes,Darrius,D,80000,86666.67,2014
Houston Dynamo,Barnes,Giles,M,230000,241158.33,2014
Chivas USA,Barrera,Leandro,F,50000,50000,2014
Seattle Sounders FC,Barrett,Chad,F,80000,85000,2014
Columbus Crew,Barson,Chad,D,48825,48825,2014
Houston Dynamo,Beasley,DaMarcus,D,750000,779166.67,2014
Real Salt Lake,Beckerman,Kyle,M,350000,378750,2014
Columbus Crew,Bedell,Adam,F,36504,36504,2014
Vancouver Whitecaps,Beitashour,Steven,D,170000,177166.67,2014
Toronto FC,Bekker,Kyle,M,51150,77400,2014
Montreal Impact,Beland-Goyette,Louis,M,36504,36504,2014
Real Salt Lake,Beltran,Anthony,D,186450,186450,2014
Toronto FC,Bendik,Joe,GK,140000,147375,2014
New England Revolution,Bengtson,Jerry,F,144000,144000,2014
FC Dallas,Benitez,Jair,D,97875,97875,2014
San Jose Earthquakes,Bernardez,Victor,D,100008,141608,2014
Colorado Rapids,Berner,John,GK,36500,36500,2014
Montreal Impact,Bernier,Patrice,F-M,165000,205000,2014
Philadelphia Union,Berry,Austin,D,86994,101994,2014
Sporting Kansas City,Besler,Matt,D,600000,633250,2014
Sporting Kansas City,Bieler,Claudio,F,225000,225000,2014
San Jose Earthquakes,Bingham,David,GK,85910,130285,2014
DC United,Birnbaum,Steven,D,55000,85000,2014
Montreal Impact,Bissue,James,F,48500,48500,2014
New York Red Bulls,Bitolo,Ambroise,D,36500,36500,2014
Philadelphia Union,Blake,Andre,GK,75000,113000,2014
Toronto FC,Bloom,Mark,D,48825,48825,2014
Chivas USA,Bocanegra,Carlos,D,300000,333333.33,2014
Chivas USA,Bolanos,Luis,F,48504,48504,2014
Philadelphia Union,Bone,Corben,M,48825,51325,2014
