X,Y,OBJECTID,Citation_N,Address,Latitude,Longitude,Neighborho,Community,Ward,Day_ID,Date,Code,Descriptio,Tow_Dist
-93.2971496586298,45.0052986149392,1,271118300119,2510 GIRARD AVE N,45.0052986145,-93.2971496582,Jordan,Near North,5,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2971572875787,45.0052948000151,2,271118300120,2512 GIRARD AVE N,45.0052947998,-93.2971572876,Jordan,Near North,5,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2971572875787,45.0055809022369,3,271118300121,2516 GIRARD AVE N,45.0055809021,-93.2971572876,Jordan,Near North,5,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2971572875787,45.0056419374255,4,271118300122,2522 GIRARD AVE N,45.0056419373,-93.2971572876,Jordan,Near North,5,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2968063352441,45.0062026979962,5,271118300123,2608 GIRARD AVE N,45.0062026978,-93.2968063354,Jordan,Near North,5,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2968063352441,45.006687164581,6,271118300124,2622 GIRARD AVE N,45.0066871643,-93.2968063354,Jordan,Near North,5,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2968292238895,45.0069389342844,7,271118300125,2626 GIRARD AVE N,45.0069389343,-93.2968292236,Jordan,Near North,5,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2968368528385,45.0080680843747,8,271118300126,2706 GIRARD AVE N,45.0080680847,-93.296836853,Jordan,Near North,5,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2968292238895,45.0087318416013,9,271118300127,2804 GIRARD AVE N,45.008731842,-93.2968292236,Jordan,Near North,5,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2968215940413,45.0089874271281,10,271118300128,2810 GIRARD AVE N,45.0089874268,-93.2968215942,Jordan,Near North,5,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2968368528385,45.0098304749965,11,271118300129,2906 GIRARD AVE N,45.0098304749,-93.296836853,Jordan,Near North,5,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2968368528385,45.0098381039454,12,271118300130,2908 GIRARD AVE N,45.0098381042,-93.296836853,Jordan,Near North,5,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2968444826867,45.0100669859027,13,271118300131,2916 GIRARD AVE N,45.0100669861,-93.2968444824,Jordan,Near North,5,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
-93.2968521116356,45.0106506351188,14,271118300132,2934 GIRARD AVE N,45.0106506348,-93.2968521118,Jordan,Near North,5,2,2018/01/16 00:00:00+00,478.1000(b),Snow emergency parking restrictions - even number address,1
