OBJECTID,Call_Taken,Customer,Location,Latitude,Longitude,Ward,Neighborho,Community,Tow_Zone,Day,Snow_Emerg
1,12/30/2019 09:25pm,Snow Emergency,"2006 DUPONT AVE S,Minneapolis,MN",44.96237,-93.29343,7,Lowry Hill,Calhoun Isle,3,1,Kasota
2,12/30/2019 09:28pm,Snow Emergency,"2006 DUPONT AVE S,Minneapolis,MN",44.96237,-93.29343,7,Lowry Hill,Calhoun Isle,1,1,Kasota
3,12/30/2019 09:36pm,Snow Emergency,"1200 8TH ST SE,Minneapolis,MN",44.985312,-93.235291,3,Marcy Holmes,University,1,1,Kasota
4,12/30/2019 09:37pm,Snow Emergency,"4805 Lyndale Ave N,Minneapolis,MN",45.04247,-93.28671,4,Lind - Bohanon,Camden,1,1,Kasota
5,12/30/2019 09:39pm,Snow Emergency,"1435 8TH ST SE,Minneapolis,MN",44.984309,-93.23208,3,Marcy Holmes,University,4,1,Kasota
6,12/30/2019 09:39pm,Snow Emergency,"4805 Lyndale Ave N,Minneapolis,MN",45.04247,-93.28671,4,Lind - Bohanon,Camden,3,1,Kasota
7,12/30/2019 09:43pm,Snow Emergency,"3322 CHICAGO AVE S,Minneapolis,MN",44.94243,-93.26297,9,Central,Powderhorn,3,1,Kasota
8,12/30/2019 09:45pm,Snow Emergency,"4643 LYNDALE AVE N ,Minneapolis,MN",45.03987,-93.28777,4,Lind - Bohanon,Camden,1,1,Kasota
9,12/30/2019 09:47pm,Snow Emergency,"4729 LYNDALE AVE N ,Minneapolis,MN",45.04112,-93.28707,4,Lind - Bohanon,Camden,5,1,Kasota
10,12/30/2019 09:58pm,Snow Emergency,"36TH & CHICAGO AVE S,Minneapolis,MN",44.93776,-93.26253,9,Central,Powderhorn,4,1,Kasota
11,12/30/2019 09:59pm,Snow Emergency,"CHICAGO & LAKE ST ,Minneapolis,MN",44.94837,-93.26265,9,Midtown Phillips,Phillips,4,1,Kasota
12,12/30/2019 09:59pm,Snow Emergency,"19TH & NICOLLET AVE S,Minneapolis,MN",44.96392,-93.2778,6,Steven's Square - Loring Heights,Central,4,1,Kasota
13,12/30/2019 10:03pm,Snow Emergency,"1 19TH AVE S,Minneapolis,MN",44.975313,-93.245359,2,University of Minnesota,University,1,1,Kasota
14,12/30/2019 10:04pm,Snow Emergency,"2100 DUPONT AVE S,Minneapolis,MN",44.96177,-93.29344,7,Lowry Hill,Calhoun Isle,3,1,Kasota
15,12/30/2019 10:05pm,Snow Emergency,"1000 8TH ST SE,Minneapolis,MN",44.98617,-93.23808,3,Marcy Holmes,University,3,1,Kasota
16,12/30/2019 10:06pm,Snow Emergency,"4537 4th ave s,Minneapolis,MN",44.92039,-93.26986,8,Regina,Nokomis,5,1,Kasota
17,12/30/2019 10:06pm,Snow Emergency,"2701 2ND ST ,Minneapolis,MN",45.007238,-93.280441,5,Hawthorne,Near North,5,1,Kasota
18,12/30/2019 10:08pm,Snow Emergency,"3819 LYNDALE AVE N ,Minneapolis,MN",45.02452,-93.28842,4,Webber - Camden,Camden,1,1,Kasota
19,12/30/2019 10:10pm,Snow Emergency,"3320 CHICAGO AVE S,Minneapolis,MN",44.942333,-93.262705,9,Central,Powderhorn,3,1,Kasota
20,12/30/2019 10:11pm,Snow Emergency,"36TH & CHICAGO AVE S,Minneapolis,MN",44.93776,-93.26253,9,Central,Powderhorn,5,1,Kasota
21,12/30/2019 10:14pm,Snow Emergency,"3649 LYNDALE AVE S,Minneapolis,MN",44.936153,-93.287988,8,King Field,Southwest,5,1,Kasota
22,12/30/2019 10:17pm,Snow Emergency,"401-499 university ave se,Minneapolis,MN",44.98532,-93.25015,3,Marcy Holmes,University,5,1,Kasota
23,12/30/2019 10:21pm,Snow Emergency,"3550 LYNDALE AVE N ,Minneapolis,MN",45.01995,-93.2876,4,McKinley,Camden,4,1,Kasota
24,12/30/2019 10:21pm,Snow Emergency,"600 UNIVERSITY AVE SE,Minneapolis,MN",44.9835,-93.24756,3,Marcy Holmes,University,3,1,Kasota
25,12/30/2019 10:24pm,Snow Emergency,"1000 8TH ST SE,Minneapolis,MN",44.98617,-93.23808,3,Marcy Holmes,University,3,1,Kasota
26,12/30/2019 10:24pm,Snow Emergency,"98-2 UNIVERSITY AVE SE,Minneapolis,MN",44.986755,-93.255062,3,Nicollet Island - East Bank,University,1,1,Kasota
27,12/30/2019 10:25pm,Snow Emergency,"LAKE PLACE & IRVING AVE S ,Minneapolis,MN",44.95985,-93.29971,7,East Isles,Calhoun Isle,3,1,Kasota
28,12/30/2019 10:27pm,Snow Emergency,"7TH & UNIVERSITY AVE SE,Minneapolis,MN",44.98338,-93.24628,3,Marcy Holmes,University,3,1,Kasota
29,12/30/2019 10:28pm,Snow Emergency,"99 UNIVERSITY AVE NE,Minneapolis,MN",44.988968,-93.256872,3,Nicollet Island - East Bank,University,3,1,Kasota
30,12/30/2019 10:30pm,Snow Emergency,"3317 LYNDALE AVE N ,Minneapolis,MN",45.01554,-93.28837,4,McKinley,Camden,1,1,Kasota
31,12/30/2019 10:33pm,Snow Emergency,"1000 8TH ST SE,Minneapolis,MN",44.98617,-93.23808,3,Marcy Holmes,University,5,1,Kasota
32,12/30/2019 10:34pm,Snow Emergency,"2401 2ND ST N ,Minneapolis,MN",45.003791,-93.280335,5,Hawthorne,Near North,1,1,Kasota
33,12/30/2019 10:35pm,Snow Emergency,"700 8TH ST SE,Minneapolis,MN",44.98794,-93.24235,3,Marcy Holmes,University,5,1,Kasota
34,12/30/2019 10:36pm,Snow Emergency,"2315 IRVING AVE S,Minneapolis,MN",44.95956,-93.29925,7,East Isles,Calhoun Isle,5,1,Kasota
35,12/30/2019 10:40pm,Snow Emergency,"800 8TH ST SE,Minneapolis,MN",44.987532,-93.240879,3,Marcy Holmes,University,6,1,Kasota
36,12/30/2019 10:40pm,Snow Emergency,"4400 CHICAGO AVE S,Minneapolis,MN",44.92307,-93.26295,8,Regina,Nokomis,4,1,Kasota
37,12/30/2019 10:42pm,Snow Emergency,"4741 4TH AVE S,Minneapolis,MN",44.91666,-93.26992,8,Field,Nokomis,5,1,Kasota
38,12/30/2019 10:44pm,Snow Emergency,"3200 CHICAGO AVE S,Minneapolis,MN",44.94457,-93.26301,9,Central,Powderhorn,5,1,Kasota
39,12/30/2019 10:44pm,Snow Emergency,"4741 4TH AVE S,Minneapolis,MN",44.91666,-93.26992,8,Field,Nokomis,4,1,Kasota
40,12/30/2019 10:46pm,Snow Emergency,"3101 4TH AVE S,Minneapolis,MN",44.9465,-93.26999,9,Central,Powderhorn,5,1,Kasota
41,12/30/2019 10:47pm,Snow Emergency,"LAKE PL & IRVING AVE S,Minneapolis,MN",44.95985,-93.29971,7,East Isles,Calhoun Isle,1,1,Kasota
42,12/30/2019 10:46pm,Snow Emergency,"1000 8TH ST SE,Minneapolis,MN",44.98617,-93.23808,3,Marcy Holmes,University,4,1,Kasota
43,12/30/2019 10:49pm,Snow Emergency,"CHICAGO AVE & LAKE ST ,Minneapolis,MN",44.94837,-93.26265,9,Midtown Phillips,Phillips,6,1,Kasota
44,12/30/2019 10:49pm,Snow Emergency,"27TH & IRVING AVE S,Minneapolis,MN",44.95406,-93.30056,7,East Isles,Calhoun Isle,1,1,Kasota
45,12/30/2019 10:50pm,Snow Emergency,"29TH & IRVING AVE ,Minneapolis,MN",45.00957,-93.29937,5,Jordan,Near North,4,1,Kasota
46,12/30/2019 10:51pm,Snow Emergency,"4600 CHICAGO AVE S,Minneapolis,MN",44.91953,-93.26298,8,Field,Nokomis,3,1,Kasota
47,12/30/2019 10:52pm,Snow Emergency,"44TH & CHICAGO AVE S,Minneapolis,MN",44.92333,-93.26252,11,Northrop,Nokomis,4,1,Kasota
48,12/30/2019 10:52pm,Snow Emergency,"701 UNIVERSITY AVE SE,Minneapolis,MN",44.98356,-93.24579,3,Marcy Holmes,University,4,1,Kasota
49,12/30/2019 10:53pm,Snow Emergency,"2401-2599 2ND ST N ,Minneapolis,MN",45.003791,-93.280335,5,Hawthorne,Near North,1,1,Kasota
50,12/30/2019 10:54pm,Snow Emergency,"1201-1299 2nd st n,Minneapolis,MN",44.991719,-93.279911,5,North Loop,Central,4,1,Kasota
51,12/30/2019 10:54pm,Snow Emergency,"402 4TH ST SE,Minneapolis,MN",44.985897,-93.249709,3,Marcy Holmes,University,4,1,Kasota
52,12/30/2019 10:55pm,Snow Emergency,"700 UNIVERSITY AVE SE,Minneapolis,MN",44.98297,-93.24622,3,Marcy Holmes,University,3,1,Kasota
53,12/30/2019 10:55pm,Snow Emergency,"26TH & IRVING AVE S,Minneapolis,MN",44.95611,-93.29974,7,East Isles,Calhoun Isle,5,1,Kasota
54,12/30/2019 10:55pm,Snow Emergency,"1201 2ND AVE N ,Minneapolis,MN",44.978835,-93.295791,5,Harrison,Near North,1,1,Kasota
55,12/30/2019 10:56pm,Snow Emergency,"201 21ST AVE N ,Minneapolis,MN",45.000115,-93.28039,5,Hawthorne,Near North,6,1,Kasota
56,12/30/2019 10:58pm,Snow Emergency,"501 2ND ST N ,Minneapolis,MN",44.98713,-93.27452,3,North Loop,Central,3,1,Kasota
57,12/30/2019 10:59pm,Snow Emergency,"THE MALL & IRVING AVE S,Minneapolis,MN",44.94992,-93.30209,7,East Isles,Calhoun Isle,4,1,Kasota
58,12/30/2019 10:59pm,Snow Emergency,"3015 IRVING AVE S,Minneapolis,MN",44.94782,-93.301975,10,ECCO,Calhoun Isle,1,1,Kasota
59,12/30/2019 11:00pm,Snow Emergency,"29TH & IRVING AVE ,Minneapolis,MN",45.00957,-93.29937,5,Jordan,Near North,4,1,Kasota
60,12/30/2019 11:02pm,Snow Emergency,"4TH ST SE & 6TH AVE SE,Minneapolis,MN",44.98492,-93.24688,3,Marcy Holmes,University,5,1,Kasota
