X,Y,OBJECTID,Snow_Emerg,Snow_Eme_1,Snow_Eme_2,Citation_N,Date,Time,Date___Tim,Address,Latitude,Longitude,Ordinance_,Violation,Ward,Neighborho,Community,Day,Tow_Zone
-10380093.8989266,5622925.86689044,1,Lourdes,2022-2023,3,271122481375,2022/12/23 00:00:00+00,01:27:00,12/23/22 1:27 PM,959 20TH AVE NE,45.00892,-93.24597,478.1000(c),Snow emergency parking restrictions - odd number address,1,Windom Park,Northeast,3,2
-10382314.3887932,5619770.40998662,2,Lourdes,2022-2023,3,271122481374,2022/12/23 00:00:00+00,01:05:00,12/23/22 1:05 PM,101 ISLAND AVE W,44.988876,-93.265917,478.1000(c),Snow emergency parking restrictions - odd number address,3,Nicollet Island - East Bank,University,3,2
-10382184.0336649,5619529.27803814,3,Lourdes,2022-2023,3,271122481373,2022/12/23 00:00:00+00,01:03:00,12/23/22 1:03 PM,29 ISLAND AVE W,44.987344,-93.264746,478.1000(c),Snow emergency parking restrictions - odd number address,3,Nicollet Island - East Bank,University,3,2
-10379421.8632043,5619448.53483882,4,Lourdes,2022-2023,3,271122481372,2022/12/23 00:00:00+00,12:49:00,12/23/22 12:49 PM,717 9TH AVE SE,44.986831,-93.239933,478.1000(c),Snow emergency parking restrictions - odd number address,3,Marcy Holmes,University,3,4
-10379456.1495868,5619404.93695399,5,Lourdes,2022-2023,3,271122481371,2022/12/23 00:00:00+00,12:46:00,12/23/22 12:46 PM,705 9TH AVE SE,44.986554,-93.240241,478.1000(c),Snow emergency parking restrictions - odd number address,3,Marcy Holmes,University,3,4
-10379541.7542184,5619394.70653509,6,Lourdes,2022-2023,3,271122481370,2022/12/23 00:00:00+00,12:45:00,12/23/22 12:45 PM,819 7TH ST SE,44.986489,-93.24101,478.1000(c),Snow emergency parking restrictions - odd number address,3,Marcy Holmes,University,3,4
-10379717.0824928,5619487.25377594,7,Lourdes,2022-2023,3,271122481369,2022/12/23 00:00:00+00,12:42:00,12/23/22 12:42 PM,715 7TH ST SE,44.987077,-93.242585,478.1000(c),Snow emergency parking restrictions - odd number address,3,Marcy Holmes,University,3,4
-10379819.162468,5619548.32285445,8,Lourdes,2022-2023,3,271122481368,2022/12/23 00:00:00+00,12:40:00,12/23/22 12:40 PM,627 7TH ST SE,44.987465,-93.243502,478.1000(c),Snow emergency parking restrictions - odd number address,3,Marcy Holmes,University,3,4
-10379827.0661159,5619554.77607048,9,Lourdes,2022-2023,3,271122481367,2022/12/23 00:00:00+00,12:39:00,12/23/22 12:39 PM,623 7TH ST SE,44.987506,-93.243573,478.1000(c),Snow emergency parking restrictions - odd number address,3,Marcy Holmes,University,3,4
-10379843.5413594,5619553.67425323,10,Lourdes,2022-2023,3,271122481366,2022/12/23 00:00:00+00,12:38:00,12/23/22 12:38 PM,619 7TH ST SE,44.987499,-93.243721,478.1000(c),Snow emergency parking restrictions - odd number address,3,Marcy Holmes,University,3,4
-10380199.6524142,5619758.91990492,11,Lourdes,2022-2023,3,271122481365,2022/12/23 00:00:00+00,12:35:00,12/23/22 12:35 PM,413 7TH ST SE,44.988803,-93.24692,478.1000(c),Snow emergency parking restrictions - odd number address,3,Marcy Holmes,University,3,4
-10380210.0052038,5619767.262004,12,Lourdes,2022-2023,3,271122481364,2022/12/23 00:00:00+00,12:35:00,12/23/22 12:35 PM,411 7TH ST SE,44.988856,-93.247013,478.1000(c),Snow emergency parking restrictions - odd number address,3,Marcy Holmes,University,3,4
-10380230.4879336,5619777.65039328,13,Lourdes,2022-2023,3,271122481363,2022/12/23 00:00:00+00,12:33:00,12/23/22 12:33 PM,407 7TH ST SE,44.988922,-93.247197,478.1000(c),Snow emergency parking restrictions - odd number address,3,Marcy Holmes,University,3,4
-10380235.3860168,5619778.90964427,14,Lourdes,2022-2023,3,271122481362,2022/12/23 00:00:00+00,12:32:00,12/23/22 12:32 PM,405 7TH ST SE,44.98893,-93.247241,478.1000(c),Snow emergency parking restrictions - odd number address,3,Marcy Holmes,University,3,4
-10380361.5110097,5619847.22101797,15,Lourdes,2022-2023,3,271122481361,2022/12/23 00:00:00+00,12:31:00,12/23/22 12:31 PM,315 7TH ST SE,44.989364,-93.248374,478.1000(c),Snow emergency parking restrictions - odd number address,3,Marcy Holmes,University,3,4
-10380376.5391332,5619852.5727356,16,Lourdes,2022-2023,3,271122481360,2022/12/23 00:00:00+00,12:29:00,12/23/22 12:29 PM,313 7TH ST SE,44.989398,-93.248509,478.1000(c),Snow emergency parking restrictions - odd number address,3,Marcy Holmes,University,3,4
