OBJECTID,Snow_Emerg,Snow_Eme_1,Snow_Eme_2,Citation_N,Date,Address,Latitude,Longitude,Ordinance_,Violation,Ward,Neighborho,Community,Day,Tow_Zone,x,y
1,Dover,2022,1,271122466186,12/1/2022 12:00:00 AM,1859 NEW BRIGHTON BLVD,45.007457,-93.225468,478.1000(c),Snow emergency parking restric...,1,Windom Park,Northeast,3,2,-10377811.6266966,5622695.51469812
2,Dover,2022,1,271122466185,12/1/2022 12:00:00 AM,2329 TAFT ST NE,45.012619,-93.224208,478.1000(c),Snow emergency parking restric...,1,Windom Park,Northeast,3,2,-10377671.3641773,5623508.3083193
3,Dover,2022,1,271122466184,12/1/2022 12:00:00 AM,2301 BENJAMIN ST NE,45.011478,-93.229443,478.1000(c),Snow emergency parking restric...,1,Windom Park,Northeast,3,2,-10378254.1216554,5623328.64336451
4,Dover,2022,1,271122466183,12/1/2022 12:00:00 AM,2357 BENJAMIN ST NE,45.012993,-93.229422,478.1000(c),Snow emergency parking restric...,1,Windom Park,Northeast,3,2,-10378251.7840385,5623567.20015427
5,Dover,2022,1,271122466182,12/1/2022 12:00:00 AM,2355 BENJAMIN ST NE,45.012964,-93.22944,478.1000(c),Snow emergency parking restric...,1,Windom Park,Northeast,3,2,-10378253.7877816,5623562.63359431
6,Dover,2022,1,271122466181,12/1/2022 12:00:00 AM,1827 CLEVELAND ST NE,45.006776,-93.230743,478.1000(c),Snow emergency parking restric...,1,Windom Park,Northeast,3,2,-10378398.8370596,5622588.29173683
7,Dover,2022,1,271122466180,12/1/2022 12:00:00 AM,1825 CLEVELAND ST NE,45.00674,-93.230737,478.1000(c),Snow emergency parking restric...,1,Windom Park,Northeast,3,2,-10378398.1691119,5622582.62362683
8,Dover,2022,1,271122466179,12/1/2022 12:00:00 AM,2251 ARTHUR ST NE,45.011191,-93.231974,478.1000(c),Snow emergency parking restric...,1,Windom Park,Northeast,3,2,-10378535.8713651,5623283.45218767
9,Dover,2022,1,271122466178,12/1/2022 12:00:00 AM,1829 HAYES ST NE,45.006869,-93.234597,478.1000(c),Snow emergency parking restric...,1,Windom Park,Northeast,3,2,-10378827.8623396,5622602.93453601
10,Dover,2022,1,271122466177,12/1/2022 12:00:00 AM,1809 HAYES ST NE,45.00635,-93.234652,478.1000(c),Snow emergency parking restric...,1,Windom Park,Northeast,3,2,-10378833.9848936,5622521.2190942
11,Dover,2022,1,271122466176,12/1/2022 12:00:00 AM,1835 ULYSSES ST NE,45.006946,-93.235883,478.1000(c),Snow emergency parking restric...,1,Windom Park,Northeast,3,2,-10378971.019199,5622615.05806447
12,Dover,2022,1,271122466175,12/1/2022 12:00:00 AM,2323 BUCHANAN ST NE,45.012175,-93.239677,478.1000(c),Snow emergency parking restric...,1,Windom Park,Northeast,3,2,-10379393.3654019,5623438.39451054
13,Dover,2022,1,271122466174,12/1/2022 12:00:00 AM,1847 BUCHANAN ST NE,45.007593,-93.239736,478.1000(c),Snow emergency parking restric...,1,Windom Park,Northeast,3,2,-10379399.9332544,5622716.92792349
14,Dover,2022,1,271122466173,12/1/2022 12:00:00 AM,1811 BUCHANAN ST NE,45.006343,-93.239733,478.1000(c),Snow emergency parking restric...,1,Windom Park,Northeast,3,2,-10379399.5992806,5622520.11705615
15,Dover,2022,1,271122466172,12/1/2022 12:00:00 AM,1805 BUCHANAN ST NE,45.006304,-93.239736,478.1000(c),Snow emergency parking restric...,1,Windom Park,Northeast,3,2,-10379399.9332544,5622513.97662663
16,Dover,2022,1,271122466171,12/1/2022 12:00:00 AM,2403 PIERCE ST NE,45.012544,-93.24097,478.1000(c),Snow emergency parking restric...,1,Windom Park,Northeast,3,2,-10379537.3014337,5623496.49853253
17,Dover,2022,1,271122466170,12/1/2022 12:00:00 AM,2407 FILLMORE ST NE,45.012441,-93.242254,478.1000(c),Snow emergency parking restric...,1,Windom Park,Northeast,3,2,-10379680.235744,5623480.27971404
18,Dover,2022,1,271122466169,12/1/2022 12:00:00 AM,2409 FILLMORE ST NE,45.012592,-93.242293,478.1000(c),Snow emergency parking restric...,1,Windom Park,Northeast,3,2,-10379684.5772041,5623504.05673198
19,Dover,2022,1,271122466168,12/1/2022 12:00:00 AM,1811 TAYLOR ST NE,45.006392,-93.243833,478.1000(c),Snow emergency parking restric...,1,Windom Park,Northeast,3,2,-10379856.0092167,5622527.83189172
20,Dover,2022,1,271122466167,12/1/2022 12:00:00 AM,2409 TAYLOR ST NE,45.012582,-93.243783,478.1000(c),Snow emergency parking restric...,1,Windom Park,Northeast,3,2,-10379850.4431858,5623502.48215968
21,Dover,2022,1,271122466166,12/1/2022 12:00:00 AM,2503 POLK ST NE,45.013382,-93.245569,478.1000(c),Snow emergency parking restric...,1,Audubon Park,Northeast,3,2,-10380049.2598546,5623628.45433557
22,Dover,2022,1,271122466165,12/1/2022 12:00:00 AM,2429 POLK ST NE,45.012893,-93.245552,478.1000(c),Snow emergency parking restric...,1,Windom Park,Northeast,3,2,-10380047.367336,5623551.4536253
23,Dover,2022,1,271122466164,12/1/2022 12:00:00 AM,2401 POLK ST NE,45.012362,-93.245583,478.1000(c),Snow emergency parking restric...,1,Windom Park,Northeast,3,2,-10380050.8182992,5623467.84008086
24,Dover,2022,1,271122466163,12/1/2022 12:00:00 AM,2331 POLK ST NE,45.012045,-93.245579,478.1000(c),Snow emergency parking restric...,1,Windom Park,Northeast,3,2,-10380050.3730007,5623417.92424981
25,Dover,2022,1,271122466162,12/1/2022 12:00:00 AM,2329 POLK ST NE,45.011993,-93.245566,478.1000(c),Snow emergency parking restric...,1,Windom Park,Northeast,3,2,-10380048.9258807,5623409.7362435
26,Dover,2022,1,271122466161,12/1/2022 12:00:00 AM,2327 POLK ST NE,45.011746,-93.245555,478.1000(c),Snow emergency parking restric...,1,Windom Park,Northeast,3,2,-10380047.7013098,5623370.84313804
27,Dover,2022,1,271122466160,12/1/2022 12:00:00 AM,2127 POLK ST NE,45.009715,-93.24556,478.1000(c),Snow emergency parking restric...,1,Windom Park,Northeast,3,2,-10380048.257933,5623051.04383618
28,Dover,2022,1,271122466159,12/1/2022 12:00:00 AM,2009 POLK ST NE,45.009253,-93.24558,478.1000(c),Snow emergency parking restric...,1,Windom Park,Northeast,3,2,-10380050.4843253,5622978.29925171
29,Dover,2022,1,271122466158,12/1/2022 12:00:00 AM,1835 POLK ST NE,45.007161,-93.245585,478.1000(c),Snow emergency parking restric...,1,Windom Park,Northeast,3,2,-10380051.0409485,5622648.90958532
30,Dover,2022,1,271122466157,12/1/2022 12:00:00 AM,1627 TYLER ST NE,45.004872,-93.246131,478.1000(c),Snow emergency parking restric...,1,Northeast Park,Northeast,3,2,-10380111.8213902,5622288.51548353
31,Dover,2022,1,271122466156,12/1/2022 12:00:00 AM,717 9TH AVE SE,44.986866,-93.239955,478.1000(c),Snow emergency parking restric...,3,Marcy Holmes,University,3,4,-10379424.3121458,5619454.04357911
32,Dover,2022,1,271122466155,12/1/2022 12:00:00 AM,705 9TH AVE SE,44.986489,-93.240405,478.1000(c),Snow emergency parking restric...,3,Marcy Holmes,University,3,4,-10379474.4059242,5619394.70653509
33,Dover,2022,1,271122466154,12/1/2022 12:00:00 AM,615 7TH ST SE,44.987687,-93.24397,478.1000(c),Snow emergency parking restric...,3,Marcy Holmes,University,3,4,-10379871.2599895,5619583.26454774
34,Dover,2022,1,271122466153,12/1/2022 12:00:00 AM,617 7TH ST SE,44.987616,-93.243793,478.1000(c),Snow emergency parking restric...,3,Marcy Holmes,University,3,4,-10379851.556432,5619572.08950992
35,Dover,2022,1,271122466152,12/1/2022 12:00:00 AM,403 6TH ST SE,44.98802,-93.248089,478.1000(c),Snow emergency parking restric...,3,Marcy Holmes,University,3,4,-10380329.7848933,5619635.67748295
36,Dover,2022,1,271122466151,12/1/2022 12:00:00 AM,409 6TH ST SE,44.987949,-93.247915,478.1000(c),Snow emergency parking restric...,3,Marcy Holmes,University,3,4,-10380310.4153097,5619624.50238021
37,Dover,2022,1,271122466150,12/1/2022 12:00:00 AM,413 6TH ST SE,44.987898,-93.247746,478.1000(c),Snow emergency parking restric...,3,Marcy Holmes,University,3,4,-10380291.6023492,5619616.47507868
38,Dover,2022,1,271122466149,12/1/2022 12:00:00 AM,415 6TH ST SE,44.987871,-93.247664,478.1000(c),Snow emergency parking restric...,3,Marcy Holmes,University,3,4,-10380282.4741304,5619612.22546692
39,Dover,2022,1,271122466148,12/1/2022 12:00:00 AM,423 6TH ST SE,44.987745,-93.247341,478.1000(c),Snow emergency parking restric...,3,Marcy Holmes,University,3,4,-10380246.5179787,5619592.39350002
40,Dover,2022,1,271122466147,12/1/2022 12:00:00 AM,425 6TH ST SE,44.98773,-93.247225,478.1000(c),Snow emergency parking restric...,3,Marcy Holmes,University,3,4,-10380233.6049229,5619590.03259492
