OBJECTID,Snow_Emerg,Snow_Eme_1,Snow_Eme_2,Citation_N,Date,Time,Date___Tim,Address,Latitude,Longitude,Ordinance_,Violation,Ward,Neighborho,Community,Day,Tow_Zone,x,y
1,Northrop,2022-2023,4,271123317011,1/6/23 12:00 AM,2:47 PM,1/6/23 2:47 PM,1031 23RD AVE NE,45.010902,-93.244008,478.1000(c),Snow emergency parking restrictions - odd number address,1,Windom Park,Northeast,3,2,-10379875.490125,5623237.94630375
2,Northrop,2022-2023,4,271123317010,1/6/23 12:00 AM,2:44 PM,1/6/23 2:44 PM,1127 23RD AVE NE,45.01093,-93.242512,478.1000(c),Snow emergency parking restrictions - odd number address,1,Windom Park,Northeast,3,2,-10379708.9560955,5623242.35509085
3,Northrop,2022-2023,4,271123317009,1/6/23 12:00 AM,2:13 PM,1/6/23 2:13 PM,1829 MCKINLEY ST NE,45.006864,-93.228196,478.1000(c),Snow emergency parking restrictions - odd number address,1,Windom Park,Northeast,3,2,-10378115.3062561,5622602.14725769
4,Northrop,2022-2023,4,271123317008,1/6/23 12:00 AM,2:06 PM,1/6/23 2:06 PM,2239 BENJAMIN ST NE,45.010878,-93.229452,478.1000(c),Snow emergency parking restrictions - odd number address,1,Windom Park,Northeast,3,2,-10378255.123577,5623234.16724395
5,Northrop,2022-2023,4,271123317006,1/6/23 12:00 AM,1:50 PM,1/6/23 1:50 PM,2307 GARFIELD ST NE,45.011521,-93.233263,478.1000(c),Snow emergency parking restrictions - odd number address,1,Windom Park,Northeast,3,2,-10378679.3621984,5623335.41422255
6,Northrop,2022-2023,4,271123317003,1/6/23 12:00 AM,12:22 PM,1/6/23 12:22 PM,1837 ULYSSES ST NE,45.007192,-93.235909,478.1000(c),Snow emergency parking restrictions - odd number address,1,Windom Park,Northeast,3,2,-10378973.9135392,5622653.79045414
7,Northrop,2022-2023,4,271123317002,1/6/23 12:00 AM,12:12 PM,1/6/23 12:12 PM,2217 LINCOLN ST NE,45.010286,-93.238412,478.1000(c),Snow emergency parking restrictions - odd number address,1,Windom Park,Northeast,3,2,-10379252.5462595,5623140.95169193
8,Northrop,2022-2023,4,271123317001,1/6/23 12:00 AM,11:41 AM,1/6/23 11:41 AM,1903 TAYLOR ST NE,45.00786,-93.243829,478.1000(c),Snow emergency parking restrictions - odd number address,1,Windom Park,Northeast,3,2,-10379855.5639182,5622758.96723476
9,Northrop,2022-2023,4,271123316420,1/6/23 12:00 AM,1:13 PM,1/6/23 1:13 PM,2209 21ST AVE S,44.960567,-93.242502,478.1000(c),Snow emergency parking restrictions - odd number address,6,Seward,Longfellow,3,4,-10379707.8429494,5615315.70218903
10,Northrop,2022-2023,4,271123316419,1/6/23 12:00 AM,1:12 PM,1/6/23 1:12 PM,2203 21ST AVE S,44.960678,-93.242475,478.1000(c),Snow emergency parking restrictions - odd number address,6,Seward,Longfellow,3,4,-10379704.8372847,5615333.16482627
11,Northrop,2022-2023,4,271123316418,1/6/23 12:00 AM,1:08 PM,1/6/23 1:08 PM,2113 21ST AVE S,44.961307,-93.242475,478.1000(c),Snow emergency parking restrictions - odd number address,6,Seward,Longfellow,3,4,-10379704.8372847,5615432.12069172
12,Northrop,2022-2023,4,271123316417,1/6/23 12:00 AM,1:07 PM,1/6/23 1:07 PM,2109 21ST AVE S,44.961453,-93.242508,478.1000(c),Snow emergency parking restrictions - odd number address,6,Seward,Longfellow,3,4,-10379708.5108971,5615455.08985387
13,Northrop,2022-2023,4,271123316416,1/6/23 12:00 AM,1:02 PM,1/6/23 1:02 PM,2019 21ST AVE S,44.961925,-93.242483,478.1000(c),Snow emergency parking restrictions - odd number address,6,Seward,Longfellow,3,4,-10379705.7278816,5615529.34698685
14,Northrop,2022-2023,4,271123316415,1/6/23 12:00 AM,1:02 PM,1/6/23 1:02 PM,2015 21ST AVE S,44.962008,-93.242482,478.1000(c),Snow emergency parking restrictions - odd number address,6,Seward,Longfellow,3,4,-10379705.616557,5615542.40500923
15,Northrop,2022-2023,4,271123316414,1/6/23 12:00 AM,1:01 PM,1/6/23 1:01 PM,2015 21ST AVE S,44.962031,-93.24249,478.1000(c),Snow emergency parking restrictions - odd number address,6,Seward,Longfellow,3,4,-10379706.5070539,5615546.02351604
16,Northrop,2022-2023,4,271123316413,1/6/23 12:00 AM,1:00 PM,1/6/23 1:00 PM,2015 21ST AVE S,44.962106,-93.24249,478.1000(c),Snow emergency parking restrictions - odd number address,6,Seward,Longfellow,3,4,-10379706.5070539,5615557.82290028
17,Northrop,2022-2023,4,271123316412,1/6/23 12:00 AM,12:59 PM,1/6/23 12:59 PM,2013 21ST AVE S,44.96209,-93.242501,478.1000(c),Snow emergency parking restrictions - odd number address,6,Seward,Longfellow,3,4,-10379707.7316248,5615555.30571776
18,Northrop,2022-2023,4,271123316411,1/6/23 12:00 AM,12:58 PM,1/6/23 12:58 PM,2013 21ST AVE S,44.962198,-93.242452,478.1000(c),Snow emergency parking restrictions - odd number address,6,Seward,Longfellow,3,4,-10379702.2769184,5615572.29681948
19,Northrop,2022-2023,4,271123316410,1/6/23 12:00 AM,12:50 PM,1/6/23 12:50 PM,917 21ST AVE S,44.963215,-93.24249,478.1000(c),Snow emergency parking restrictions - odd number address,6,Seward,Longfellow,3,4,-10379706.5070539,5615732.29856602
