X,Y,OBJECTID,Snow_Emerg,Snow_Eme_1,Snow_Eme_2,Key_,Call_Taken,Customer,Location,Latitude,Longitude,Ward,Neighborho,Community,Day,Tow_Zone
-10379058.7389985,5619296.02200412,1,Victory 1,2022-2023,4,1,2023/02/22 00:00:00+00,Snow Emergency,"1100 BLK 8TH ST SE,Minneapolis,MN",44.985862,-93.236671,3,Marcy Holmes,University,1,4
-10378905.1181249,5619209.45750485,2,Victory 1,2022-2023,4,2,2023/02/22 00:00:00+00,Snow Emergency,"1200 8th st se ,Minneapolis,MN",44.985312,-93.235291,3,Marcy Holmes,University,1,4
-10382840.1507667,5608626.20500027,3,Victory 1,2022-2023,4,3,2023/02/22 00:00:00+00,Snow Emergency,"4656 4th Ave s,Minneapolis,MN",44.91803,-93.27064,8,Field,Nokomis,1,5
-10379838.97725,5619722.2460718,4,Victory 1,2022-2023,4,4,2023/02/22 00:00:00+00,Snow Emergency,"600 8th st se ,Minneapolis,MN",44.98857,-93.24368,3,Marcy Holmes,University,1,4
-10378905.1181249,5619209.45750485,5,Victory 1,2022-2023,4,5,2023/02/22 00:00:00+00,Snow Emergency,"1200 BLOCK 8TH ST SE,Minneapolis,MN",44.985312,-93.235291,3,Marcy Holmes,University,1,4
-10382824.5660201,5610821.05050086,6,Victory 1,2022-2023,4,6,2023/02/22 00:00:00+00,Snow Emergency,"3908 4TH AVE S,Minneapolis,MN",44.93199,-93.2705,8,Bryant,Powderhorn,1,5
-10379058.7389985,5619296.02200412,7,Victory 1,2022-2023,4,7,2023/02/22 00:00:00+00,Snow Emergency,"1100-BLOCK 8TH ST SE,Minneapolis,MN",44.985862,-93.236671,3,Marcy Holmes,University,1,4
-10382840.1507667,5608626.20500027,8,Victory 1,2022-2023,4,8,2023/02/22 00:00:00+00,Snow Emergency,"4656 4 av south,Minneapolis,MN",44.91803,-93.27064,8,Field,Nokomis,1,5
-10381914.1951894,5611566.25581225,9,Victory 1,2022-2023,4,9,2023/02/22 00:00:00+00,Snow Emergency,"3629 Chicago Ave S ,Minneapolis,MN",44.936729,-93.262322,9,Powderhorn Park,Powderhorn,1,6
-10382833.4715896,5609118.2694664,10,Victory 1,2022-2023,4,10,2023/02/22 00:00:00+00,Snow Emergency,"4508 4th Ave S,Minneapolis,MN",44.92116,-93.27058,8,Regina,Nokomis,1,5
-10381892.8218627,5611624.5979704,11,Victory 1,2022-2023,4,11,2023/02/22 00:00:00+00,Snow Emergency,"3619 Chicago Avenue South,Minneapolis,MN",44.9371,-93.26213,9,Powderhorn Park,Powderhorn,1,6
-10382840.1507667,5608626.20500027,12,Victory 1,2022-2023,4,12,2023/02/22 00:00:00+00,Snow Emergency,"4656 4th Ave S,Minneapolis,MN",44.91803,-93.27064,8,Field,Nokomis,1,5
-10380181.8412752,5619893.81165752,13,Victory 1,2022-2023,4,13,2023/02/22 00:00:00+00,Snow Emergency,"400 8th st se ,Minneapolis,MN",44.98966,-93.24676,3,Marcy Holmes,University,1,4
-10381891.7087165,5611604.15463209,14,Victory 1,2022-2023,4,14,2023/02/22 00:00:00+00,Snow Emergency,"3623 Chicago ave so,Minneapolis,MN",44.93697,-93.26212,9,Powderhorn Park,Powderhorn,1,6
-10379211.5805997,5619378.80988901,15,Victory 1,2022-2023,4,15,2023/02/22 00:00:00+00,Snow Emergency,"1000 BLK 8TH ST SE,Minneapolis,MN",44.986388,-93.238044,3,Marcy Holmes,University,1,4
-10385647.2943732,5615062.10386927,16,Victory 1,2022-2023,4,16,2023/02/22 00:00:00+00,Snow Emergency,"1305 24th st w,Minneapolis,MN",44.958955,-93.295857,7,East Isles,Calhoun Isle,1,3
